commune,zone,typezone,n_polygones,surface_ha,vocation_reglement,habitat_autorise,verdict_moteur,usages_moteur,faisabilite_moteur,ecart,anomalie_rattachement,source,verif
Bras-Panon,1AUa,AUc,3,15,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
Bras-Panon,1AUb,AUc,5,17,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
Bras-Panon,1AUc,AUc,2,3,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
Bras-Panon,1AUd,AUc,3,2,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
Bras-Panon,1AUe,AUc,3,23,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)","ECART PROBABLE (libellé économique/activités, non vérifié au règlement) : moteur = constructible logement",,,non vérifié
Bras-Panon,1AUec,AUc,5,18,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)","ECART PROBABLE (libellé économique/activités, non vérifié au règlement) : moteur = constructible logement",,,non vérifié
Bras-Panon,1AUt,AUc,2,2,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
Bras-Panon,2AUa,AUs,2,9,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",ECART : zone AU STRICTE (typezone GPU AUs — ouverture subordonnée à modification/révision) traitée comme constructible par la cascade,,,non vérifié
Bras-Panon,2AUb,AUs,2,2,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",ECART : zone AU STRICTE (typezone GPU AUs — ouverture subordonnée à modification/révision) traitée comme constructible par la cascade,,,non vérifié
Bras-Panon,2AUc,AUs,2,3,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",ECART : zone AU STRICTE (typezone GPU AUs — ouverture subordonnée à modification/révision) traitée comme constructible par la cascade,,,non vérifié
Bras-Panon,2AUec,AUs,1,3,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)","ECART PROBABLE (libellé économique/activités, non vérifié au règlement) : moteur = constructible logement",,,non vérifié
Bras-Panon,A,A,25,1215,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
Bras-Panon,AUst,AUs,1,2,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",ECART : zone AU STRICTE (typezone GPU AUs — ouverture subordonnée à modification/révision) traitée comme constructible par la cascade,,,non vérifié
Bras-Panon,Acu,A,2,185,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
Bras-Panon,N,N,21,882,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
Bras-Panon,Nli,N,3,164,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
Bras-Panon,Npnr,N,1,5180,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
Bras-Panon,Nr,N,18,639,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
Bras-Panon,Nsc,N,1,46,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
Bras-Panon,Nt2,N,1,1,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
Bras-Panon,Nt3,N,1,3,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
Bras-Panon,Nup,N,1,0,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
Bras-Panon,Ua,U,1,10,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
Bras-Panon,Ub,U,2,152,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
Bras-Panon,Uba,U,2,43,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
Bras-Panon,Uc,U,3,59,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
Bras-Panon,Ud,U,11,35,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
Bras-Panon,Udu,U,1,7,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
Bras-Panon,Ue,U,5,20,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)","ECART PROBABLE (libellé économique/activités, non vérifié au règlement) : moteur = constructible logement",,,non vérifié
Cilaos,A,A,66,636,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
Cilaos,AUb,AUc,11,27,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
Cilaos,AUb1,AUc,1,1,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
Cilaos,AUb2,AUc,1,2,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
Cilaos,AUst,AUs,1,2,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",ECART : zone AU STRICTE (typezone GPU AUs — ouverture subordonnée à modification/révision) traitée comme constructible par la cascade,,,non vérifié
Cilaos,Anc,A,22,21,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
Cilaos,N,N,8,7408,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
Cilaos,Ndé,N,1,4,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
Cilaos,Nto,N,5,12,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
Cilaos,NtoPOS,N,1,13,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
Cilaos,Ua,U,1,16,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
Cilaos,Uah,U,2,8,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
Cilaos,Ub,U,18,267,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
Cilaos,Ub1,U,1,1,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
Cilaos,Uc,U,10,19,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
Entre-Deux,A,A,19,356,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
Entre-Deux,AUb,AUc,16,16,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
Entre-Deux,AUe,AUc,4,4,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)","ECART PROBABLE (libellé économique/activités, non vérifié au règlement) : moteur = constructible logement",,,non vérifié
Entre-Deux,AUst,AUs,1,2,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",ECART : zone AU STRICTE (typezone GPU AUs — ouverture subordonnée à modification/révision) traitée comme constructible par la cascade,,,non vérifié
Entre-Deux,Aba,A,9,4,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
Entre-Deux,N,N,33,877,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
Entre-Deux,Nci,N,1,1,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
Entre-Deux,Npnr,N,5,2829,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
Entre-Deux,Nr,N,44,815,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
Entre-Deux,Nstep,N,2,2,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
Entre-Deux,Nt,N,24,4,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
Entre-Deux,Ua,U,3,56,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
Entre-Deux,Ub,U,15,149,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
Entre-Deux,Ub1,U,4,7,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
Entre-Deux,Ub2,U,2,4,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
L'Étang-Salé,A,A,14,1062,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
L'Étang-Salé,AUa,AUc,1,5,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
L'Étang-Salé,AUb,AUc,3,7,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
L'Étang-Salé,AUc,AUc,3,5,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
L'Étang-Salé,AUe,AUc,1,6,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)","ECART PROBABLE (libellé économique/activités, non vérifié au règlement) : moteur = constructible logement",,,non vérifié
L'Étang-Salé,AUs,AUs,2,15,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",ECART : zone AU STRICTE (typezone GPU AUs — ouverture subordonnée à modification/révision) traitée comme constructible par la cascade,,,non vérifié
L'Étang-Salé,AUt,AUc,2,6,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
L'Étang-Salé,Acu,A,1,53,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
L'Étang-Salé,N,N,14,119,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
L'Étang-Salé,Na,N,1,2,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
L'Étang-Salé,Nce,N,3,463,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
L'Étang-Salé,Ne,N,1,4,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
L'Étang-Salé,Nep,N,1,2,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
L'Étang-Salé,Nerl,N,1,900,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
L'Étang-Salé,Nparc,N,1,640,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
L'Étang-Salé,Nt,N,2,68,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
L'Étang-Salé,Nt1,N,1,16,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
L'Étang-Salé,UA,U,2,118,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
L'Étang-Salé,UB,U,3,41,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
L'Étang-Salé,UBv,U,2,49,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
L'Étang-Salé,UC,U,10,188,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
L'Étang-Salé,UD,U,4,19,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
L'Étang-Salé,UE,U,3,56,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)","ECART PROBABLE (libellé économique/activités, non vérifié au règlement) : moteur = constructible logement",,,non vérifié
L'Étang-Salé,UT,U,2,12,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
La Plaine-des-Palmistes,A,A,60,909,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
La Plaine-des-Palmistes,AUb,AUc,22,30,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
La Plaine-des-Palmistes,AUc,AUc,7,13,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
La Plaine-des-Palmistes,AUe,AUc,1,4,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)","ECART PROBABLE (libellé économique/activités, non vérifié au règlement) : moteur = constructible logement",,,non vérifié
La Plaine-des-Palmistes,AUr,AUc,7,12,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
La Plaine-des-Palmistes,AUs1,AUc,10,12,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
La Plaine-des-Palmistes,AUs2,AUs,13,20,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",ECART : zone AU STRICTE (typezone GPU AUs — ouverture subordonnée à modification/révision) traitée comme constructible par la cascade,,,non vérifié
La Plaine-des-Palmistes,Aco,A,22,88,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
La Plaine-des-Palmistes,Ama,A,1,44,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
La Plaine-des-Palmistes,N,N,41,552,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
La Plaine-des-Palmistes,Nco,N,5,184,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
La Plaine-des-Palmistes,Nma,N,1,2,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
La Plaine-des-Palmistes,Np,N,3,620,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
La Plaine-des-Palmistes,Nr,N,7,5285,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
La Plaine-des-Palmistes,Nto,N,8,28,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
La Plaine-des-Palmistes,Nu,N,6,10,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
La Plaine-des-Palmistes,Ua,U,1,10,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
La Plaine-des-Palmistes,Ub,U,8,238,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
La Plaine-des-Palmistes,Uc,U,16,89,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
La Plaine-des-Palmistes,Ue,U,1,3,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)","ECART PROBABLE (libellé économique/activités, non vérifié au règlement) : moteur = constructible logement",,,non vérifié
La Plaine-des-Palmistes,Ur,U,34,139,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
La Possession,A,A,19,420,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
La Possession,AUAv,AUc,2,16,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
La Possession,AUB,AUc,4,28,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
La Possession,AUBb,AUc,1,1,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
La Possession,AUBm,AUc,3,14,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
La Possession,AUBpsfr2,AUc,1,4,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
La Possession,AUEm,AUc,3,6,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)","ECART PROBABLE (libellé économique/activités, non vérifié au règlement) : moteur = constructible logement",,,non vérifié
La Possession,AUT,AUc,1,2,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
La Possession,AUst,AUs,5,14,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",ECART : zone AU STRICTE (typezone GPU AUs — ouverture subordonnée à modification/révision) traitée comme constructible par la cascade,,,non vérifié
La Possession,N,N,32,525,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
La Possession,Ni1,N,54,42,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
La Possession,Ni2,N,48,51,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
La Possession,Nli,N,2,1511,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
La Possession,Npnr,N,1,7841,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
La Possession,Nr,N,9,527,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
La Possession,UA,U,13,144,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
La Possession,UAa,U,4,15,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
La Possession,UAm,U,1,23,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
La Possession,UApsfr2,U,1,32,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
La Possession,UAv,U,2,13,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
La Possession,UB,U,11,351,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
La Possession,UBa,U,1,10,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
La Possession,UBb,U,1,79,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
La Possession,UBc,U,9,88,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
La Possession,UBpsfr2,U,4,55,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
