idu,commune,status,tier_v2,rang_v2,etage0,n_zones_raw,n_zones_dedup,total_cov_raw_pct,total_cov_dedup_pct,an_cov_raw_pct,an_cov_dedup_pct,uau_cov_raw_pct,uau_cov_dedup_pct,zone_majoritaire_raw,zone_majoritaire_dedup,verdict_raw,verdict_dedup,hard_exclude_infonde,zone_majoritaire_change,verdict_change
97408000AN0145,La Possession,ecartee,ecartee,4201,1,3,2,106.9,100.0,13.7,6.9,93.1,93.1,U,U,POSITIVE_mixte,POSITIVE_mixte,f,f,f
97408000AN0292,La Possession,ecartee,ecartee,415690,1,4,2,200.0,100.0,100.0,100.0,0.0,0.0,N,N,HARD_EXCLUDE,HARD_EXCLUDE,f,f,f
97408000AN0299,La Possession,ecartee,ecartee,376498,1,4,2,200.0,100.0,100.0,100.0,0.0,0.0,N,N,HARD_EXCLUDE,HARD_EXCLUDE,f,f,f
97408000AN0300,La Possession,ecartee,ecartee,376481,1,4,2,200.0,100.0,100.0,100.0,0.0,0.0,N,N,HARD_EXCLUDE,HARD_EXCLUDE,f,f,f
97408000AN0309,La Possession,ecartee,a_creuser,350216,0,3,2,100.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AN0326,La Possession,ecartee,ecartee,19571,1,4,3,108.0,100.0,15.9,8.0,92.0,92.0,U,U,POSITIVE_mixte,POSITIVE_mixte,f,f,f
97408000AN0337,La Possession,ecartee,ecartee,378279,1,2,1,200.0,100.0,100.0,100.0,0.0,0.0,N,N,HARD_EXCLUDE,HARD_EXCLUDE,f,f,f
97408000AN0342,La Possession,ecartee,ecartee,257986,1,3,2,100.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AN0343,La Possession,a_creuser,a_creuser,13553,0,3,2,100.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AN0345,La Possession,ecartee,ecartee,168011,1,3,2,100.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AN0347,La Possession,ecartee,ecartee,188602,1,3,2,100.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AN0362,La Possession,ecartee,ecartee,144147,1,3,2,100.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AN0374,La Possession,a_surveiller,a_creuser,288300,0,3,2,100.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AN0431,La Possession,a_surveiller,a_creuser,380100,0,3,2,100.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AN0432,La Possession,ecartee,ecartee,357043,1,3,2,100.1,100.0,0.2,0.1,99.9,99.9,U,U,POSITIVE,POSITIVE,f,f,f
97408000AN0433,La Possession,ecartee,ecartee,408316,1,3,2,108.6,100.0,17.2,8.6,91.4,91.4,U,U,POSITIVE_mixte,POSITIVE_mixte,f,f,f
97408000AN0436,La Possession,ecartee,ecartee,246689,1,4,3,100.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AN0445,La Possession,ecartee,ecartee,368614,1,5,4,100.0,100.0,100.0,100.0,0.0,0.0,A,A,HARD_EXCLUDE,HARD_EXCLUDE,f,f,f
97408000AN0454,La Possession,ecartee,ecartee,275616,1,3,2,128.3,100.0,56.7,28.3,71.7,71.7,AUs,AUs,POSITIVE_mixte,POSITIVE_mixte,f,f,f
97408000AN0466,La Possession,ecartee,ecartee,286900,1,3,2,100.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AN0469,La Possession,ecartee,ecartee,238314,1,3,2,100.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
