idu,commune,statut_avant,statut_apres,etage0_avant,etage0_apres,tier_avant,tier_apres,rang_avant,rang_apres,motifs_he_v5
97415000BH0155,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,119181,119187,bati:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000BH0158,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,115084,115093,bati:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000BH0164,Saint-Paul,a_creuser,exclue,0,1,a_creuser,a_creuser,27063,27059,zonage_plu_gpu:HARD_EXCLUDE
97415000BH0165,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,27817,27814,surface:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000BH0166,Saint-Paul,a_creuser,exclue,0,1,a_creuser,a_creuser,23439,23438,zonage_plu_gpu:HARD_EXCLUDE
97415000BH0167,Saint-Paul,a_creuser,exclue,0,1,a_creuser,a_creuser,27391,27386,zonage_plu_gpu:HARD_EXCLUDE
97415000BH0172,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,51168,51168,bati:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000BH0183,Saint-Paul,a_creuser,exclue,0,1,a_creuser,a_creuser,81912,81911,zonage_plu_gpu:HARD_EXCLUDE
97415000BH0203,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,59552,59547,emprise_lineaire:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000BH0217,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,27845,27842,bati:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000BH0218,Saint-Paul,faux_positif_probable,exclue,1,1,a_creuser,a_creuser,75093,75084,emprise_routiere:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000BH0220,Saint-Paul,a_creuser,exclue,0,1,a_creuser,a_creuser,8265,8268,zonage_plu_gpu:HARD_EXCLUDE
97415000BH0222,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,43708,43706,bati:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000BH0227,Saint-Paul,a_creuser,exclue,0,1,a_creuser,a_creuser,66973,66962,zonage_plu_gpu:HARD_EXCLUDE
97415000BH0230,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,89132,89138,bati:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000BH0232,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,223592,223587,bati:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000BH0237,Saint-Paul,a_creuser,exclue,0,1,a_creuser,a_creuser,302179,302199,zonage_plu_gpu:HARD_EXCLUDE
97415000BH0238,Saint-Paul,a_creuser,exclue,0,1,a_creuser,a_creuser,25045,25044,zonage_plu_gpu:HARD_EXCLUDE
97415000BH0239,Saint-Paul,a_creuser,exclue,0,1,a_creuser,a_creuser,234814,234809,zonage_plu_gpu:HARD_EXCLUDE
97415000BH0240,Saint-Paul,a_creuser,exclue,0,1,a_creuser,a_creuser,31796,31787,zonage_plu_gpu:HARD_EXCLUDE
97415000BH0248,Saint-Paul,a_creuser,exclue,0,1,a_creuser,a_creuser,52846,52846,zonage_plu_gpu:HARD_EXCLUDE
97415000BH0250,Saint-Paul,opportunite,a_creuser,0,0,a_creuser,a_creuser,214963,214955,
97415000BH0251,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,94017,94025,bati:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000BH0252,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,112994,113005,bati:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000BH0257,Saint-Paul,a_creuser,exclue,0,1,a_creuser,a_creuser,74690,74680,zonage_plu_gpu:HARD_EXCLUDE
97415000BH0264,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,7194,7198,surface:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000BH0265,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,9746,9750,surface:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000BH0270,Saint-Paul,a_creuser,exclue,0,1,a_creuser,a_creuser,78652,78647,zonage_plu_gpu:HARD_EXCLUDE
97415000BH0271,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,17334,17333,surface:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000BH0272,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,87240,87243,bati:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000BH0273,Saint-Paul,a_creuser,exclue,0,1,a_creuser,a_creuser,12056,12057,zonage_plu_gpu:HARD_EXCLUDE
