idu,p_arene,p_raw,ponderee_au,ecart
97415000CV0414,0.016022841787033924,0.016023,False,1.5821296607543278e-07
97414000DM0423,0.03275862068965517,0.032759,False,3.7931034483490444e-07
97422000BO1308,0.012004865408006769,0.012005,False,1.3459199323107018e-07
97402000AK1558,0.00907911802853437,0.009079,False,1.1802853436965188e-07
97411000IT0321,0.007278472085084773,0.007278,False,4.720850847730537e-07
97413000CQ0040,0.010575332927147707,0.010575,False,3.329271477080231e-07
97414000CO1564,0.05029013539651837,0.05029,False,1.3539651837202182e-07
97405000AL0099,0.016187989556135773,0.016188,False,1.0443864228298905e-08
97416000IA1792,0.010575332927147707,0.010575,False,3.329271477080231e-07
97415000HI0014,0.009585067473830243,0.009585,False,6.747383024356679e-08
97420000AC0848,0.041367351994054995,0.041367,False,3.519940549936984e-07
97416000IB0239,0.011601693517347555,0.011602,False,3.064826524443176e-07
97407000AM0393,0.01264591439688716,0.012646,False,8.56031128395468e-08
97422000CN1058,0.011601693517347555,0.011602,False,3.064826524443176e-07
97418000AV1680,0.041367351994054995,0.041367,False,3.519940549936984e-07
97422000EN0321,0.010575332927147707,0.010575,False,3.329271477080231e-07
97415000CV1432,0.011834319526627219,0.011834,False,3.1952662721788927e-07
97410000AH1148,0.009541397353031703,0.009541,False,3.973530317037677e-07
97414000CH0031,0.00805142928473349,0.008051,False,4.292847334899652e-07
97405000AO0677,0.009541397353031703,0.009541,False,3.973530317037677e-07
97408000AM0404,0.010575332927147707,0.010575,False,3.329271477080231e-07
97407000AM0606,0.011601693517347555,0.011602,False,3.064826524443176e-07
97415000BP0402,0.010575332927147707,0.010575,False,3.329271477080231e-07
97422000BD2643,0.012004865408006769,0.012005,False,1.3459199323107018e-07
97406000AI0105,0.013878849212086165,0.013879,False,1.5078791383571488e-07
97415000HO0942,0.00907911802853437,0.009079,False,1.1802853436965188e-07
97414000DH1089,0.00805142928473349,0.008051,False,4.292847334899652e-07
97415000DL0204,0.041367351994054995,0.041367,False,3.519940549936984e-07
97422000BI0255,0.011601693517347555,0.011602,False,3.064826524443176e-07
97409000AS1236,0.016883261135177165,0.016883,False,2.6113517716599977e-07
97413000DB0168,0.012004865408006769,0.012005,False,1.3459199323107018e-07
97415000CH2849,0.009404388714733543,0.009404,False,3.887147335436547e-07
97411000BZ1166,0.011834319526627219,0.011834,False,3.1952662721788927e-07
97422000EC0225,0.00805142928473349,0.008051,False,4.292847334899652e-07
97401000AM1755,0.013754472403073493,0.013754,False,4.72403073492611e-07
97411000CH0351,0.00907911802853437,0.009079,False,1.1802853436965188e-07
97413000DK0557,0.009585067473830243,0.009585,False,6.747383024356679e-08
97415000BY0426,0.00907911802853437,0.009079,False,1.1802853436965188e-07
97416000HV0601,0.041367351994054995,0.041367,False,3.519940549936984e-07
97408000AM0966,0.018904958677685952,0.018905,False,4.132231404968545e-08
97414000CY0287,0.009404388714733543,0.009404,False,3.887147335436547e-07
97414000HE0079,0.013754472403073493,0.013754,False,4.72403073492611e-07
97417000BD1085,0.016022841787033924,0.016023,False,1.5821296607543278e-07
97420000BC0892,0.012004865408006769,0.012005,False,1.3459199323107018e-07
97409000AT1079,0.016022841787033924,0.016023,False,1.5821296607543278e-07
97411000AD0377,0.041367351994054995,0.041367,False,3.519940549936984e-07
97416000IM0753,0.010575332927147707,0.010575,False,3.329271477080231e-07
97422000EM0086,0.00907911802853437,0.009079,False,1.1802853436965188e-07
97404000AL1411,0.013754472403073493,0.013754,False,4.72403073492611e-07
97419000AN0386,0.013878849212086165,0.013879,False,1.5078791383571488e-07
97415000CD0244,0.006731287022078621,0.006731,False,2.870220786209063e-07
97415000CX1472,0.006731287022078621,0.006731,False,2.870220786209063e-07
97415000DP0003,0.006731287022078621,0.006731,False,2.870220786209063e-07
97408000BO0268,0.020465278992478575,0.020465,False,2.78992478574408e-07
97422000CY0460,0.008840227088402269,0.00884,False,2.270884022683578e-07
97414000CR0095,0.006731287022078621,0.006731,False,2.870220786209063e-07
97407000AT0129,0.020465278992478575,0.020465,False,2.78992478574408e-07
97405000AZ0928,0.00907911802853437,0.009079,False,1.1802853436965188e-07
97420000AV0504,0.016022841787033924,0.016023,False,1.5821296607543278e-07
97401000AK0020,0.007718034473887318,0.007718,False,3.447388731772638e-08
97415000DK0696,0.013703943115707821,0.013704,False,5.6884292177691864e-08
97402000AI0773,0.016022841787033924,0.016023,False,1.5821296607543278e-07
97422000CM0124,0.0029154518950437317,0.002915,False,4.518950437316753e-07
97413000BH0872,0.006572420634920635,0.006572,False,4.2063492063527247e-07
97403000AM0711,0.007278472085084773,0.007278,False,4.720850847730537e-07
97416000CO0992,0.041367351994054995,0.041367,False,3.519940549936984e-07
97422000BW1200,0.016022841787033924,0.016023,False,1.5821296607543278e-07
97413000CY1562,0.007278472085084773,0.007278,False,4.720850847730537e-07
97414000CV0936,0.016883261135177165,0.016883,False,2.6113517716599977e-07
97411000HB0447,0.016022841787033924,0.016023,False,1.5821296607543278e-07
97423000AC0484,0.006731287022078621,0.006731,False,2.870220786209063e-07
97416000DE1066,0.010748560460652593,0.010749,False,4.3953934740666167e-07
97422000AZ0422,0.006731287022078621,0.006731,False,2.870220786209063e-07
97415000CL0516,0.00805142928473349,0.008051,False,4.292847334899652e-07
97402000AH1060,0.011834319526627219,0.011834,False,3.1952662721788927e-07
