millesime,vue,n_pos,taux,rr@1158
2019,early,1952,0.004522046133210398,3.2464249943373256
2019,late,7213,0.01670979444613043,3.9276603580131537
2020,early,3175,0.007355274832450315,3.2873849836128
2020,late,7078,0.01639705047687664,3.4232535219447158
