copro,permis_bin,n,taux_mutation
False,10a+,2562,0.00897736143637783
False,2-5a,18619,0.01364197862398625
False,5-10a,27846,0.011779070602600014
False,<2a,14234,0.054025572572713225
False,jamais,793217,0.015338803883426603
True,10a+,45,0.3111111111111111
True,2-5a,223,0.21076233183856502
True,5-10a,384,0.23958333333333334
True,<2a,145,0.2620689655172414
True,jamais,6051,0.31251032887126096
