parcelle_id,commune,p_mutation_fonciere_12m,contrib_z,contrib_d,contribution_1,contribution_2,contribution_3,contribution_4,contribution_5
97405000AN0449,97405,0.091398,-0.0296,1.6299,permis_bin [<2a]: +1.295,tenure_bin*permis_bin: +0.221,nu_constructible [true]: +0.195,surface_m2*permis_bin: +0.125,"canopee_pct [(0.4, 1.9]]: +0.123"
97415000CY1051,97415,0.091398,0.811,1.4136,tenure_bin [<1]: +0.892,zone_plu [AU]: +0.388,tenure_bin*surface_m2: -0.364,canopee_pct [≤ 0.4]: +0.239,nu_constructible [true]: +0.195
97415000DE0203,97415,0.091398,0.4162,0.9592,tenure_bin [<1]: +0.892,tenure_bin*surface_m2: +0.415,piscine [true]: +0.412,rot_bati [> 0.01526]: +0.182,"canopee_pct [(18, 27.5]]: -0.168"
97415000CZ1405,97415,0.091398,0.0881,1.4862,permis_bin [<2a]: +1.295,tenure_bin*permis_bin: +0.221,nu_constructible [true]: +0.195,surface_m2*permis_bin: +0.083,zone_plu [U]: +0.077
97415000DE0490,97415,0.091398,0.2547,1.1258,tenure_bin [<1]: +0.892,tenure_bin*surface_m2: +0.415,piscine [true]: +0.412,rot_bati [> 0.01526]: +0.182,tenure_bin*permis_bin: +0.085
97415000DE0517,97415,0.091398,0.319,1.301,permis_bin [<2a]: +1.295,tenure_bin*permis_bin: +0.221,rot_bati [> 0.01526]: +0.182,pv_candidat [true]: +0.081,zone_plu [U]: +0.077
97415000DE0816,97415,0.091398,0.4142,1.1688,permis_bin [<2a]: +1.295,tenure_bin*permis_bin: +0.221,rot_bati [> 0.01526]: +0.182,filo_pct_pauv [≤ 0.07692]: +0.136,surface_m2*permis_bin: +0.125
97405000AK1779,97405,0.091398,0.2095,1.3881,permis_bin [<2a]: +1.295,tenure_bin*permis_bin: +0.221,nu_constructible [true]: +0.195,"rot_nu [(0.006453, 0.008753]]: +0.132",surface_m2*permis_bin: +0.125
97415000DI0656,97415,0.091398,0.1538,0.8673,tenure_bin [<1]: +0.892,tenure_bin*surface_m2: +0.619,tenure_bin*rot_nu: +0.290,rot_nu [≤ 0.001202]: -0.276,filo_pct_pauv [≤ 0.07692]: +0.136
97415000DK0042,97415,0.091398,0.687,1.0571,permis_bin [<2a]: +1.295,rot_nu [> 0.01151]: +0.312,tenure_bin*permis_bin: +0.221,pct_bati_secteur [≤ 0.3421]: +0.213,dens_bati_secteur [≤ 0.01005]: +0.156
97405000AO0556,97405,0.091398,0.1625,1.3412,permis_bin [<2a]: +1.295,tenure_bin*permis_bin: +0.221,surface_m2*permis_bin: +0.125,"pct_bati_secteur [(0.3421, 0.4356]]: +0.123",zone_plu [U]: +0.077
97401000AI1074,97401,0.091398,0.2721,1.333,permis_bin [<2a]: +1.295,tenure_bin*permis_bin: +0.221,filo_pct_pauv [≤ 0.07692]: +0.136,"rot_nu [(0.006453, 0.008753]]: +0.132","canopee_pct [(0.4, 1.9]]: +0.123"
97405000AO0706,97405,0.091398,0.1199,1.4054,permis_bin [<2a]: +1.295,tenure_bin*permis_bin: +0.221,nu_constructible [true]: +0.195,"pct_bati_secteur [(0.3421, 0.4356]]: +0.123",surface_m2*permis_bin: +0.086
97415000CY0250,97415,0.091398,0.5513,0.8505,tenure_bin [<1]: +0.892,tenure_bin*surface_m2: +0.619,nu_constructible [true]: +0.195,sdp_residuelle_m2 [> 1341]: -0.148,tenure_bin*rot_nu: -0.138
97415000CX1306,97415,0.091398,0.7323,0.5928,tenure_bin [<1]: +0.892,tenure_bin*surface_m2: +0.619,sdp_residuelle_m2 [> 1341]: -0.148,tenure_bin*rot_nu: -0.138,filo_pct_pauv [≤ 0.07692]: +0.136
97423000AE0889,97423,0.091398,0.1479,1.5089,permis_bin [<2a]: +1.295,tenure_bin*permis_bin: +0.221,nu_constructible [true]: +0.195,"rot_nu [(0.006453, 0.008753]]: +0.132",surface_m2*permis_bin: +0.125
97415000CX0938,97415,0.091398,0.5894,1.0725,permis_bin [<2a]: +1.295,"canopee_pct [(27.5, 44.8]]: -0.255",tenure_bin*permis_bin: +0.221,nu_constructible [true]: +0.195,sdp_residuelle_m2 [manquant]: -0.156
97415000CX0802,97415,0.091398,0.6819,0.557,tenure_bin [<1]: +0.892,tenure_bin*surface_m2: +0.619,"sdp_residuelle_m2 [(719, 1341]]: -0.215",tenure_bin*rot_nu: -0.138,"rot_nu [(0.006453, 0.008753]]: +0.132"
97415000CX0662,97415,0.091398,0.65,1.2445,tenure_bin [<1]: +0.892,piscine [true]: +0.412,tenure_bin*rot_nu: -0.138,"rot_nu [(0.006453, 0.008753]]: +0.132","pct_bati_secteur [(0.3421, 0.4356]]: +0.123"
97415000CX0650,97415,0.091398,0.65,1.2885,piscine [true]: +0.412,tenure_bin [3+]: +0.319,canopee_pct [≤ 0.4]: +0.239,nu_constructible [true]: +0.195,"rot_nu [(0.006453, 0.008753]]: +0.132"
97405000AV0204,97405,0.091398,0.4948,1.1332,permis_bin [<2a]: +1.295,tenure_bin*permis_bin: +0.221,"sdp_residuelle_m2 [(493, 719]]: -0.144","pct_bati_secteur [(0.3421, 0.4356]]: +0.123","canopee_pct [(0.4, 1.9]]: +0.123"
97405000AW1680,97405,0.091398,0.0508,1.4268,permis_bin [<2a]: +1.295,tenure_bin*permis_bin: +0.221,nu_constructible [true]: +0.195,surface_m2*permis_bin: +0.125,"canopee_pct [(11.9, 18]]: -0.093"
97415000CW0194,97415,0.091398,0.3393,1.0538,tenure_bin [<1]: +0.892,tenure_bin*surface_m2: +0.415,piscine [true]: +0.412,"sdp_residuelle_m2 [(493, 719]]: -0.144",filo_pct_pauv [≤ 0.07692]: +0.136
97415000CT3279,97415,0.091398,0.4927,1.1357,tenure_bin [<1]: +0.892,tenure_bin*surface_m2: +0.415,zone_plu [AU]: +0.388,canopee_pct [≤ 0.4]: +0.239,nu_constructible [true]: +0.195
97415000CT3278,97415,0.091398,0.4927,1.1357,tenure_bin [<1]: +0.892,tenure_bin*surface_m2: +0.415,zone_plu [AU]: +0.388,canopee_pct [≤ 0.4]: +0.239,nu_constructible [true]: +0.195
97415000CT3276,97415,0.091398,0.5008,1.1714,tenure_bin [<1]: +0.892,zone_plu [AU]: +0.388,canopee_pct [≤ 0.4]: +0.239,tenure_bin*surface_m2: +0.217,nu_constructible [true]: +0.195
97405000BE1083,97405,0.091398,0.2243,1.2354,permis_bin [<2a]: +1.295,tenure_bin*permis_bin: +0.221,"rot_nu [(0.006453, 0.008753]]: +0.132",surface_m2*permis_bin: +0.125,zone_plu [U]: +0.077
97415000DK1007,97415,0.091398,0.8,1.0447,piscine [true]: +0.412,zone_plu [AU]: +0.388,tenure_bin [3+]: +0.319,rot_nu [> 0.01151]: +0.312,canopee_pct [≤ 0.4]: +0.239
97415000DK1031,97415,0.091398,0.8122,1.2882,piscine [true]: +0.412,zone_plu [AU]: +0.388,tenure_bin [3+]: +0.319,rot_nu [> 0.01151]: +0.312,canopee_pct [≤ 0.4]: +0.239
97415000DK1012,97415,0.091398,0.8122,1.1844,piscine [true]: +0.412,zone_plu [AU]: +0.388,tenure_bin [2-3]: +0.336,rot_nu [> 0.01151]: +0.312,canopee_pct [≤ 0.4]: +0.239
97404000AT0351,97404,0.091398,0.2134,1.3706,permis_bin [<2a]: +1.295,tenure_bin*permis_bin: +0.221,"rot_nu [(0.008753, 0.01151]]: +0.214","canopee_pct [(0.4, 1.9]]: +0.123",surface_m2*permis_bin: +0.083
97415000EW0992,97415,0.091398,0.2578,1.3262,permis_bin [<2a]: +1.295,tenure_bin*permis_bin: +0.221,nu_constructible [true]: +0.195,"canopee_pct [(18, 27.5]]: -0.168",filo_pct_pauv [≤ 0.07692]: +0.136
97415000EV0577,97415,0.091398,0.3783,0.7193,tenure_bin [<1]: +0.892,tenure_bin*surface_m2: +0.619,zone_plu [AU]: +0.388,nu_constructible [true]: +0.195,sdp_residuelle_m2 [> 1341]: -0.148
97401000AL0629,97401,0.091398,0.4453,1.2963,permis_bin [<2a]: +1.295,zone_plu [AU]: +0.388,tenure_bin*permis_bin: +0.221,"sdp_residuelle_m2 [(719, 1341]]: -0.215",nu_constructible [true]: +0.195
97415000ET1048,97415,0.091398,0.4333,1.1655,permis_bin [<2a]: +1.295,rot_nu [> 0.01151]: +0.312,tenure_bin*permis_bin: +0.221,zone_plu [U]: +0.077,tenure_bin [inconnu]: -0.074
97415000ET0133,97415,0.091398,0.4132,1.5562,permis_bin [<2a]: +1.295,piscine [true]: +0.412,rot_nu [> 0.01151]: +0.312,tenure_bin*permis_bin: +0.221,surface_m2*permis_bin: -0.213
97415000ER1173,97415,0.091398,0.1885,1.3764,permis_bin [<2a]: +1.295,tenure_bin*permis_bin: +0.221,nu_constructible [true]: +0.195,"rot_nu [(0.006453, 0.008753]]: +0.132",surface_m2*permis_bin: +0.125
97415000ER1172,97415,0.091398,0.1885,1.3262,permis_bin [<2a]: +1.295,tenure_bin*permis_bin: +0.221,nu_constructible [true]: +0.195,"canopee_pct [(18, 27.5]]: -0.168","rot_nu [(0.006453, 0.008753]]: +0.132"
97423000AB1750,97423,0.091398,0.934,1.254,tenure_bin [<1]: +0.892,zone_plu [AU]: +0.388,tenure_bin*surface_m2: -0.241,canopee_pct [≤ 0.4]: +0.239,tenure_bin*rot_nu: -0.224
97415000ER0522,97415,0.091398,0.2439,1.2929,permis_bin [<2a]: +1.295,tenure_bin*permis_bin: +0.221,"rot_nu [(0.006453, 0.008753]]: +0.132",surface_m2*permis_bin: +0.086,pv_candidat [true]: +0.081
97415000EP1179,97415,0.091398,0.0077,1.5158,permis_bin [<2a]: +1.295,tenure_bin*permis_bin: +0.221,nu_constructible [true]: +0.195,surface_m2*permis_bin: +0.125,zone_plu [U]: +0.077
97415000EO1102,97415,0.091398,0.2388,1.2356,permis_bin [<2a]: +1.295,tenure_bin*permis_bin: +0.221,"rot_nu [(0.008753, 0.01151]]: +0.214",surface_m2*permis_bin: +0.125,zone_plu [U]: +0.077
