modele,cible_eval,k,taux_global,taux_topk,rr,positifs_topk,ic95_bas,ic95_haut,n_boot,ece,overlap_top1158_m3_m36
"M3 (L2, gelé)",L2 hors copro,1158,0.015166764353550237,0.04404145077720207,2.903813216224517,51,2.0357196661664396,3.61070881747835,1000,0.0015008341799016868,0.13903281519861832
"M3 (L2, gelé)",L2-F hors copro,1158,0.015148083196532778,0.04404145077720207,2.9073943023552085,51,2.03873690118482,3.61406930244394,1000,0.001496163890647322,0.13903281519861832
"M3.6 (L2-F, fold 2025)",L2-F hors copro,1158,0.015148083196532778,0.10189982728842832,6.72691230741009,118,5.525390342613976,7.841291486356931,1000,0.001125779010038119,0.13903281519861832
