parcelle_id,commune,p_mutation_12m,contrib_z,contrib_d,contribution_1,contribution_2,contribution_3,contribution_4,contribution_5
97411000AD0213,97411,0.694444,0.4755,1.3076,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,permis_bin [<2a]: +0.697,rot_bati [> 0.04573]: +0.331
97411000ES0044,97411,0.694444,0.394,0.9921,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97411000HT0053,97411,0.694444,0.3245,0.9424,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97415000EY0054,97415,0.694444,0.0546,0.9124,tenure_bin*surface_m2: +3.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: -0.649,tenure_bin*rot_bati: +0.599,piscine [true]: +0.414
97411000AL0478,97411,0.694444,0.4228,0.9848,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97411000ES0054,97411,0.694444,0.3811,0.9807,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97411000HM0217,97411,0.694444,0.4393,0.8553,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97416000DR0515,97416,0.694444,0.2742,1.0264,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97422000BZ0289,97422,0.694444,0.3692,0.9848,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97411000HE0401,97411,0.691284,0.4095,0.8793,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97411000HT0061,97411,0.685185,0.3157,0.7842,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97411000BD1065,97411,0.685185,0.2779,0.8439,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97411000AW1015,97411,0.685185,0.3598,0.8468,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97411000HR0033,97411,0.685185,0.3341,0.9762,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97411000AW0055,97411,0.685185,0.3515,0.8229,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97411000EM0087,97411,0.685185,0.1684,1.0161,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97411000HT0050,97411,0.685185,0.3238,0.8821,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97422000BZ0144,97422,0.685185,0.4027,0.8015,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97416000DW0020,97416,0.685185,0.3416,0.9204,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97411000AY0287,97411,0.685185,0.2568,1.078,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97411000AD0080,97411,0.685185,0.3671,0.8014,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97411000HN0126,97411,0.685185,0.208,1.0161,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97415000HM0187,97415,0.685185,0.5078,0.6778,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97411000HH0069,97411,0.685185,0.3717,0.8793,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97411000AS0204,97411,0.685185,0.2547,1.1101,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,piscine [true]: +0.414
97416000DR0435,97416,0.685185,0.2758,0.7366,tenure_bin*rot_bati: +1.440,tenure_bin*surface_m2: +0.981,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331
97411000BD0234,97411,0.685185,0.2186,1.0186,tenure_bin*rot_bati: +1.440,tenure_bin*surface_m2: +0.981,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331
