parcelle_id,commune,p_mutation_12m,contrib_z,contrib_d,contribution_1,contribution_2,contribution_3,contribution_4,contribution_5
97411000AD0205,97411,0.403727,0.4529,0.9021,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: -0.424,rot_bati [> 0.04573]: +0.331
97418000BM0054,97418,0.403727,0.1803,0.2523,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,"canopee_pct [(34.6, 61.2]]: -0.332"
97411000AN0513,97411,0.403727,0.3037,0.8198,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331,tenure_bin*surface_m2: -0.236
97411000AT0474,97411,0.403727,-0.0157,0.7087,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331,tenure_bin*filo_pct_prop: +0.300
97408000AP1631,97408,0.403727,0.7583,1.2917,tenure_bin*surface_m2: +0.981,tenure_bin [<1]: +0.950,tenure_bin*rot_bati: +0.667,nu_constructible [true]: +0.458,zone_plu [AU]: +0.247
97411000EM0046,97411,0.403727,0.2299,0.6568,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,tenure_bin*ndvi_moyen: -0.340
97411000DE0213,97411,0.403727,0.2111,0.6775,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331,tenure_bin*filo_pct_prop: +0.300
97408000AP0813,97408,0.403727,0.3918,0.9327,tenure_bin*surface_m2: +0.981,tenure_bin [<1]: +0.950,tenure_bin*rot_bati: +0.667,tenure_bin*filo_pct_prop: +0.300,rot_nu [> 0.01331]: +0.215
97416000DR0338,97416,0.403727,0.2742,0.8454,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331,filo_pct_prop [≤ 0.3676]: +0.143
97422000AX1253,97422,0.403727,0.1734,0.4893,tenure_bin*surface_m2: +3.440,tenure_bin [<1]: +0.950,tenure_bin*rot_bati: -0.308,zone_plu [AU]: +0.247,tenure_bin*filo_pct_prop: -0.238
97415000CX0461,97415,0.403727,0.4413,1.0548,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,tenure_bin*rot_bati: +0.667,nu_constructible [true]: +0.458
97418000AS0839,97418,0.403727,0.4816,1.4512,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*rot_bati: +0.667,piscine [true]: +0.414,pv_candidat [true]: +0.203
97411000DE0242,97411,0.403727,0.2678,0.9014,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331,tenure_bin*surface_m2: -0.236
97422000DH0211,97422,0.403727,-0.1871,0.4618,tenure_bin*surface_m2: +3.440,tenure_bin [<1]: +0.950,tenure_bin*rot_bati: -0.308,zone_plu [A]: -0.219,surface_m2 [> 1.204e+04]: -0.167
97411000AL0175,97411,0.403727,0.4228,0.858,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331,tenure_bin*surface_m2: -0.236
97411000AS0017,97411,0.403727,0.2564,0.535,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331,tenure_bin*filo_pct_prop: +0.300
97415000DH0325,97415,0.403727,0.4795,0.8343,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,rot_bati [> 0.04573]: +0.331,tenure_bin*filo_pct_prop: +0.300,pv_candidat [true]: +0.203
97411000EO0105,97411,0.403727,0.3098,0.835,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331,filo_pct_prop [≤ 0.3676]: +0.143
97411000AT0402,97411,0.403727,-0.0146,0.8553,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331,tenure_bin*filo_pct_prop: +0.300
97416000DX0123,97416,0.403727,0.2919,0.5885,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331,tenure_bin*filo_pct_prop: +0.300
97411000AW0326,97411,0.403727,0.3425,0.8901,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331,tenure_bin*surface_m2: -0.236
97411000AT0403,97411,0.403727,-0.0128,0.6959,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331,tenure_bin*filo_pct_prop: +0.300
97422000CH0080,97422,0.403727,0.366,0.9559,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331,tenure_bin*surface_m2: -0.236
97411000AY0564,97411,0.403727,0.332,1.1881,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,nu_constructible [true]: +0.458,rot_bati*nu_constructible: -0.434
97415000BO0065,97415,0.403727,0.3667,0.9457,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,tenure_bin*rot_bati: +0.599,pv_candidat [true]: +0.203
97411000DL0028,97411,0.403727,0.253,1.5735,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,permis_bin [<2a]: +0.697,tenure_bin*rot_bati: +0.667
97416000DV0260,97416,0.403727,0.0944,0.901,tenure_bin*surface_m2: +0.981,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*rot_bati: +0.599,pv_candidat [true]: +0.203
97411000AS0596,97411,0.403727,0.2401,1.2615,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: -0.565,rot_bati [> 0.04573]: +0.331
97411000BH0832,97411,0.403727,0.2185,0.3995,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,"canopee_pct [(34.6, 61.2]]: -0.332"
97411000EP0237,97411,0.403727,0.2275,1.0319,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,tenure_bin*rot_bati: +0.599,piscine [true]: +0.414
97415000EY1415,97415,0.403727,0.2151,1.0827,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,tenure_bin*rot_bati: +0.599,piscine [true]: +0.414
97415000BI0490,97415,0.403727,0.2955,0.6586,tenure_bin*surface_m2: +0.981,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*rot_bati: +0.667,"canopee_pct [(18, 34.6]]: -0.206"
97407000AE0467,97407,0.403727,0.1986,1.0102,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,tenure_bin*rot_bati: +0.599,pv_candidat [true]: +0.203
97411000ES0072,97411,0.403727,0.4091,0.514,tenure_bin*rot_bati: +1.440,tenure_bin*surface_m2: +0.981,tenure_bin [<1]: +0.950,rot_bati [> 0.04573]: +0.331,"canopee_pct [(18, 34.6]]: -0.206"
97411000BH0023,97411,0.403727,0.1087,0.7609,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331,tenure_bin*surface_m2: +0.235
97411000EM0151,97411,0.403727,0.2428,1.1552,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,piscine [true]: +0.414,rot_bati [> 0.04573]: +0.331,tenure_bin*filo_pct_prop: +0.300
97411000AW0970,97411,0.403727,0.3059,1.5615,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,nu_constructible [true]: +0.458,rot_bati*nu_constructible: -0.434
97416000DS0513,97416,0.403727,0.2304,0.9875,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,tenure_bin*rot_bati: +0.599,pv_candidat [true]: +0.203
97422000BL0320,97422,0.403727,-0.3276,0.9847,tenure_bin*surface_m2: +3.440,tenure_bin [<1]: +0.950,piscine [true]: +0.414,tenure_bin*filo_pct_prop: -0.238,zone_plu [A]: -0.219
97415000CZ0185,97415,0.403727,0.235,0.9204,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,tenure_bin*rot_bati: +0.599,canopee_pct [≤ 0.4]: +0.244
97411000BZ0174,97411,0.403727,0.2519,1.2052,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,permis_bin [<2a]: +0.697,tenure_bin*rot_bati: +0.599
97415000BO0543,97415,0.403727,0.1949,1.0264,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,tenure_bin*rot_bati: +0.599,pv_candidat [true]: +0.203
97422000EK0264,97422,0.403727,0.087,1.0161,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,tenure_bin*rot_bati: +0.667,pv_candidat [true]: +0.203
97411000AD0161,97411,0.403727,0.4348,0.9999,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: -0.424,rot_bati [> 0.04573]: +0.331
97411000BH0309,97411,0.403727,0.1794,0.7616,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331,tenure_bin*filo_pct_prop: +0.300
97411000HA0048,97411,0.403727,0.2414,0.8729,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331,canopee_pct [≤ 0.4]: +0.244
97411000AH0229,97411,0.403727,0.3176,0.6932,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331,filo_pct_prop [≤ 0.3676]: +0.143
97411000DH0181,97411,0.403727,0.2855,0.5627,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331,tenure_bin*surface_m2: +0.235
97422000AX1479,97422,0.403727,0.0413,1.2348,tenure_bin*surface_m2: +3.440,tenure_bin*filo_pct_prop: -1.074,tenure_bin [<1]: +0.950,nu_constructible [true]: +0.458,tenure_bin*rot_bati: -0.308
97413000CU0827,97413,0.403727,0.4895,0.7909,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,tenure_bin*rot_bati: +0.599,zone_plu [AU]: +0.247
97415000HM0183,97415,0.403727,0.5078,1.5226,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,nu_constructible [true]: +0.458,rot_bati*nu_constructible: -0.434
97411000BK0391,97411,0.403727,0.0577,1.3075,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,tenure_bin*rot_bati: +0.667,piscine [true]: +0.414
97411000DL0616,97411,0.403727,0.1166,0.9568,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,tenure_bin*rot_bati: +0.667,pv_candidat [true]: +0.203
97411000BD0724,97411,0.403727,0.2197,0.9133,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331,filo_pct_prop [≤ 0.3676]: +0.143
97408000AP1634,97408,0.403727,0.5309,1.4897,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*rot_bati: +0.667,nu_constructible [true]: +0.458,canopee_pct [≤ 0.4]: +0.244
97411000AD0500,97411,0.403727,0.4016,0.6458,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331,tenure_bin*ndvi_moyen: +0.159
97415000DH0170,97415,0.403727,0.5835,0.4702,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331,sdp_residuelle_m2 [manquant]: -0.162
97411000AK0201,97411,0.403727,0.302,0.4513,tenure_bin*rot_bati: +1.440,tenure_bin*surface_m2: +0.981,tenure_bin [<1]: +0.950,rot_bati [> 0.04573]: +0.331,tenure_bin*filo_pct_prop: +0.300
97411000HC0299,97411,0.403727,0.4157,0.8253,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331,tenure_bin*ndvi_moyen: -0.209
97411000BH0179,97411,0.403727,0.2153,0.6511,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331,tenure_bin*surface_m2: +0.235
97411000BD0064,97411,0.403727,0.219,0.9002,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331,tenure_bin*surface_m2: +0.235
97416000EI1498,97416,0.403727,0.3268,0.6776,tenure_bin*surface_m2: +0.981,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*rot_bati: +0.599,filo_pct_prop [≤ 0.3676]: +0.143
97416000DX0314,97416,0.403727,0.3506,0.8126,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,rot_bati [> 0.04573]: +0.331,tenure_bin*filo_pct_prop: +0.300,tenure_bin*surface_m2: +0.235
97402000AI0775,97402,0.403727,0.2417,0.8119,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,tenure_bin*rot_bati: +0.667,"rot_bati [(0.03087, 0.04573]]: +0.153"
97415000CX0216,97415,0.403727,-0.1106,0.3848,tenure_bin*surface_m2: +3.440,tenure_bin*filo_pct_prop: -1.074,tenure_bin [<1]: +0.950,tenure_bin*rot_bati: +0.667,filo_pct_prop [manquant]: -0.200
97411000AL0101,97411,0.403727,0.5229,0.742,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331,tenure_bin*surface_m2: -0.236
97415000CY0666,97415,0.403727,0.3367,0.9848,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,tenure_bin*rot_bati: +0.599,canopee_pct [≤ 0.4]: +0.244
97402000AI0964,97402,0.403727,0.3001,0.7775,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,tenure_bin*rot_bati: +0.667,"rot_bati [(0.03087, 0.04573]]: +0.153"
97411000AS0754,97411,0.403727,0.2559,0.762,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331,filo_pct_prop [≤ 0.3676]: +0.143
97416000ER0146,97416,0.403727,0.3398,0.6649,tenure_bin*surface_m2: +0.981,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*rot_bati: +0.599,pv_candidat [true]: +0.203
97415000CX0639,97415,0.403727,0.3902,1.19,tenure_bin [<1]: +0.950,tenure_bin*surface_m2: +0.713,tenure_bin*rot_bati: +0.667,piscine [true]: +0.414,tenure_bin*filo_pct_prop: +0.300
97411000ID0104,97411,0.403727,0.3241,0.8111,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331,rot_nu [≤ 0.00116]: -0.161
97413000AV2276,97413,0.403727,0.4221,1.3047,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,tenure_bin*rot_bati: +0.599,nu_constructible [true]: +0.458
97416000CX0508,97416,0.403727,0.2248,0.7182,tenure_bin*surface_m2: +0.981,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*rot_bati: +0.599,filo_pct_prop [≤ 0.3676]: +0.143
97411000AS0041,97411,0.403727,0.2394,1.0212,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331,pv_candidat [true]: +0.203
97416000DW0124,97416,0.403727,0.5306,0.9967,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: -0.565,rot_bati [> 0.04573]: +0.331
97411000ID0289,97411,0.403727,0.3237,1.0309,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331,canopee_pct [≤ 0.4]: +0.244
97411000ES0107,97411,0.403727,0.3532,0.7958,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*surface_m2: +0.713,"canopee_pct [(34.6, 61.2]]: -0.332",rot_bati [> 0.04573]: +0.331
97411000AC0104,97411,0.403727,0.4724,1.4794,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,permis_bin [<2a]: +0.697,rot_bati [> 0.04573]: +0.331,tenure_bin*filo_pct_prop: +0.300
97411000BZ0498,97411,0.403727,0.3381,0.9921,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,tenure_bin*rot_bati: +0.599,pv_candidat [true]: +0.203
97402000AI0764,97402,0.403727,0.2415,1.3019,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,tenure_bin*rot_bati: +0.667,nu_constructible [true]: +0.458
97411000AD0163,97411,0.403727,0.4348,1.064,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: -0.424,rot_bati [> 0.04573]: +0.331
97422000BW0629,97422,0.403727,0.0963,1.0914,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,tenure_bin*rot_bati: +0.599,pv_candidat [true]: +0.203
97415000DH0313,97415,0.403727,0.4667,0.6152,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331,filo_pct_prop [≤ 0.3676]: +0.143
97401000AS0473,97401,0.403727,0.2815,0.9008,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,tenure_bin*rot_bati: +0.599,filo_pct_prop [≤ 0.3676]: +0.143
97411000AN0558,97411,0.403727,0.2225,1.6057,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,permis_bin [<2a]: +0.697,rot_bati [> 0.04573]: +0.331,tenure_bin*filo_pct_prop: +0.300
97411000AT0404,97411,0.403727,-0.0146,0.6959,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331,tenure_bin*filo_pct_prop: +0.300
97411000AS0141,97411,0.403727,0.2406,1.1562,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,piscine [true]: +0.414,rot_bati [> 0.04573]: +0.331
97416000DW0138,97416,0.403727,0.5312,0.9629,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: -0.565,rot_bati [> 0.04573]: +0.331
97411000DH0233,97411,0.403727,0.4359,0.7876,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331,"canopee_pct [(18, 34.6]]: -0.206"
97411000EM0273,97411,0.400437,0.2526,0.5257,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331,tenure_bin*filo_pct_prop: +0.300
97411000BD0213,97411,0.4,0.2203,0.9282,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331,tenure_bin*surface_m2: -0.236
97411000BH0709,97411,0.4,0.0921,1.0549,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331,canopee_pct [≤ 0.4]: +0.244
97415000DE0279,97415,0.4,0.37,0.9448,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*surface_m2: +0.713,piscine [true]: +0.414,rot_bati [> 0.04573]: +0.331
97411000AP0083,97411,0.4,0.1156,2.0588,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,permis_bin [<2a]: +0.697,tenure_bin*rot_bati: +0.667,nu_constructible [true]: +0.458
97411000AW0814,97411,0.4,0.3609,0.6374,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331,"canopee_pct [(18, 34.6]]: -0.206"
97413000CX2545,97413,0.4,0.2761,1.2822,tenure_bin*surface_m2: +0.981,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,nu_constructible [true]: +0.458,zone_plu [AU]: +0.247
97411000HB0156,97411,0.4,0.301,0.8476,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331,tenure_bin*surface_m2: -0.236
97411000BD0558,97411,0.4,0.1819,0.8381,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331,filo_pct_prop [≤ 0.3676]: +0.143
97416000DS0329,97416,0.4,0.0932,1.0264,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,tenure_bin*rot_bati: +0.599,pv_candidat [true]: +0.203
97411000HA0206,97411,0.4,0.2414,0.5979,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331,tenure_bin*ndvi_moyen: +0.159
97411000BD0745,97411,0.4,0.2187,0.8041,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331,"canopee_pct [(18, 34.6]]: -0.206"
97415000DE0892,97415,0.395598,0.3558,0.6776,tenure_bin*rot_bati: +1.440,tenure_bin*surface_m2: +0.981,tenure_bin [<1]: +0.950,rot_bati [> 0.04573]: +0.331,tenure_bin*filo_pct_prop: -0.238
97411000EL0464,97411,0.393939,0.4786,1.2828,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*rot_bati: +0.667,nu_constructible [true]: +0.458,tenure_bin*surface_m2: +0.235
97415000EV0692,97415,0.393939,0.5289,1.1789,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*rot_bati: +0.599,piscine [true]: +0.414,zone_plu [AU]: +0.247
97416000DT0491,97416,0.393939,0.1632,0.8097,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,tenure_bin*rot_bati: +0.667,pv_candidat [true]: +0.203
97408000AO1437,97408,0.393939,0.2868,0.6603,tenure_bin*surface_m2: +0.981,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*rot_bati: +0.599,filo_pct_prop [≤ 0.3676]: +0.143
97422000CH0103,97422,0.393939,0.3073,1.5079,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*surface_m2: -0.915,tenure_bin*filo_pct_prop: +0.764,permis_bin [<2a]: +0.697
97408000AO0282,97408,0.393939,0.1559,0.8879,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,tenure_bin*rot_bati: +0.599,pv_candidat [true]: +0.203
97409000AE0571,97409,0.393939,-0.073,0.9147,tenure_bin*surface_m2: +0.981,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*rot_bati: +0.599,pv_candidat [true]: +0.203
97416000EI1370,97416,0.393939,0.2381,0.7477,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,tenure_bin*rot_bati: +0.599,tenure_bin*ndvi_moyen: +0.203
97415000CY0420,97415,0.393939,0.3445,0.6778,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,tenure_bin*rot_bati: +0.599,tenure_bin*ndvi_moyen: +0.159
97416000HT0302,97416,0.393939,-0.0042,1.0728,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,tenure_bin*rot_bati: +0.599,pv_candidat [true]: +0.203
97411000AS0011,97411,0.393939,0.2396,1.064,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: -0.424,rot_bati [> 0.04573]: +0.331
97411000AK0022,97411,0.393939,0.3697,0.4711,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*surface_m2: +0.713,"canopee_pct [(34.6, 61.2]]: -0.332",rot_bati [> 0.04573]: +0.331
97411000AV0412,97411,0.393939,0.3931,0.6088,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,tenure_bin*rot_bati: +0.667,"rot_bati [(0.03087, 0.04573]]: +0.153"
97411000AN0207,97411,0.393939,0.2712,0.9327,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331,tenure_bin*surface_m2: -0.236
97415000DE0902,97415,0.393939,0.3699,1.1525,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,piscine [true]: +0.414,rot_bati [> 0.04573]: +0.331,tenure_bin*ndvi_moyen: +0.159
