fold,rr_hc,ic_bas,ic_haut,ece,ap
2020,9.736090049494484,8.514410952942722,11.093757080288198,0.002292864079332108,0.04611414911026395
2021,10.37440845281703,9.2373162631815,11.453082728036641,0.0027864908740279732,0.05817921558693353
2022,10.074204895927881,8.940726956436519,11.258211360736395,0.0027726613982983514,0.05594534830130363
2023,8.27624044312498,7.160680189077737,9.471596605646011,0.0034459020292923635,0.04476210318548994
2024,10.759785623536839,9.284282778285238,12.142498227382552,0.004567737771540362,0.04336118700245293
2025,5.5867576790354985,4.491097073398931,6.561438149667676,0.0047373345645901985,0.028784818348020894
