segment,n,taux_base,k,rr@k,positifs_topk
nu,136537,0.01740187641445176,369,7.7865944905240285,50
bati,291702,0.014093149858417153,789,3.86708201033488,43
pm_connu,33432,0.024796602057908592,90,7.1694410936871735,16
non_pm,394807,0.014331052894198937,1068,4.50816433726135,69
