hl,fold,rr_hc,ece
5.0,2022,9.125512955055749,0.001894566416163747
5.0,2023,7.607972581257745,0.003202603287066315
5.0,2024,8.011362121872539,0.002863684043580136
5.0,2025,5.358726753360581,0.0013229565001922539
3.0,2022,9.215864568472142,0.0018878300513475454
3.0,2023,7.556567361114112,0.0031827860004251924
3.0,2024,7.718976642972081,0.0028864608068824493
3.0,2025,5.358726753360581,0.0012895178041103118
