ladder,fold,rr,rr_hc,ic_bas_hc,ic_haut_hc,ece,ap,n_train
A_nettoyage,2020,10.59024185722917,9.736090049494484,8.316341897468991,10.848642740224406,0.00130988058364008,0.042198705415612846,863326
A_nettoyage,2021,9.738891199468492,9.37774039184771,7.885154503404086,10.039567915800397,0.003273688991462091,0.04651145293048742,1294989
A_nettoyage,2022,9.27300411437163,8.357524241016405,7.333031977173459,9.69572877278978,0.002481048489354964,0.042958435099863294,1726652
A_nettoyage,2023,7.765957829591248,7.402351700683211,6.341223714880646,8.581697956800314,0.0031783309081271083,0.033024863171565264,2158315
A_nettoyage,2024,7.887412551857165,6.841820206270708,5.634510507604434,7.974329394391238,0.002957749474766635,0.028480123296635358,2589978
A_nettoyage,2025,6.885450521986295,6.669904575991361,5.352692386329323,7.535939281141593,0.0011324732397074528,0.02792813844131447,3021641
C_zeros_m125,2020,10.537554086795193,9.465643103675191,8.182691081536648,10.690332085679449,0.0013661254218542604,0.04123733663759152,863326
C_zeros_m125,2021,9.694823818475422,9.105921829765167,7.696258129803924,9.831719830129558,0.0032522570988793038,0.04612703753570716,1294989
C_zeros_m125,2022,9.36089988796757,8.538227467849191,7.284386984945223,9.697944763057084,0.002562227956847219,0.04301727103479065,1726652
C_zeros_m125,2023,7.315031245937563,6.425652517954177,5.737172114775558,7.879721983410625,0.003310587059350086,0.03248668274418288,2158315
C_zeros_m125,2024,7.258705754245362,6.490957631590159,5.521687083778604,7.701969132571649,0.0029268073490187688,0.02793784468009156,2589978
C_zeros_m125,2025,6.605554159303924,6.270850456060254,5.108783577035552,7.261103892715494,0.001185857569279392,0.028040472487132387,3021641
D_complet,2020,12.012811658946521,11.35877172441023,9.900407238751445,12.543113236936593,0.0010505056605011182,0.04709513728059248,863326
D_complet,2021,9.606689056489282,9.241831110806437,7.933497203015674,10.23260530364271,0.0033150655720952317,0.05130321270988032,1294989
D_complet,2022,8.833525246391932,9.035161341639355,7.9037757448286445,10.217547705181014,0.0018912080526797303,0.047880922720279384,1726652
D_complet,2023,7.9663696445484415,7.505162140970478,6.570222739133569,8.761323514357656,0.003192521818718354,0.03623166932709222,2158315
D_complet,2024,7.373016081083872,7.3096369725114405,5.92479424038508,8.361600130533953,0.0028911757753534713,0.032656282623570725,2589978
D_complet,2025,5.262051618428551,5.358726753360581,4.3350790377124815,6.4436914107887295,0.0012929354546211093,0.026772436061354016,3021641
