feature,bin,effectif,taux_evenement,woe,coef,log_hazard
rot_nu,≤ 0.0012,150842,0.010865674016520598,-0.4716813007235337,0.5646127844229402,-0.2663172925617485
rot_nu,"(0.0012, 0.001958]",302339,0.01384869302339427,-0.22626267551040646,0.5646127844229402,-0.12775079923091479
rot_nu,"(0.001958, 0.003566]",906027,0.015018316231193993,-0.1440777948163982,0.5646127844229402,-0.08134816490480365
rot_nu,"(0.003566, 0.003825]",151490,0.016073668228926002,-0.074928117634366,0.5646127844229402,-0.042305373129108995
rot_nu,"(0.003825, 0.004781]",451775,0.016880084112666702,-0.025293665097962815,0.5646127844229402,-0.014281126679222125
rot_nu,"(0.004781, 0.005704]",302783,0.017834554780156085,0.030707518136805476,0.5646127844229402,0.017337857317939676
rot_nu,"(0.005704, 0.007014]",302829,0.02023914486393311,0.15962849596710207,0.5646127844229402,0.09012828958123158
rot_nu,"(0.007014, 0.008375]",151223,0.021147576757503818,0.20453592160157377,0.5646127844229402,0.11548359620997677
rot_nu,"(0.008375, 0.0111]",151070,0.024518435162507447,0.35586414359042723,0.5646127844229402,0.2009254449888761
rot_nu,> 0.0111,151263,0.02884380185504717,0.522757528684676,0.5646127844229402,0.2951555838487099
rot_bati,≤ 0.001767,151032,0.007819534932994332,-0.8036214581643009,0.3551235487133061,-0.2853849040454682
rot_bati,"(0.001767, 0.00259]",150919,0.009939106408073205,-0.5617208724580628,0.3551235487133061,-0.19948030961364166
rot_bati,"(0.00259, 0.003306]",151247,0.013077945347676317,-0.28417588724785053,0.3551235487133061,-0.10091754953820903
rot_bati,"(0.003306, 0.00483]",453256,0.013943555077042554,-0.2193796794898724,0.3551235487133061,-0.07790689029603118
rot_bati,"(0.00483, 0.006321]",453041,0.015656419617650498,-0.10178607481741488,0.3551235487133061,-0.03614663209875845
rot_bati,"(0.006321, 0.007385]",302383,0.017454684952527093,0.008793199778431128,0.3551235487133061,0.003122672309861519
rot_bati,"(0.007385, 0.00988]",604218,0.019325806248738038,0.11248152855704299,0.3551235487133061,0.039944839585874185
rot_bati,"(0.00988, 0.01165]",301944,0.02153710621837162,0.2231081737306654,0.3551235487133061,0.07923096640217872
rot_bati,"(0.01165, 0.01505]",302264,0.022625916417436415,0.273536467460231,0.3551235487133061,0.09713924102697902
rot_bati,> 0.01505,151337,0.02589584833847638,0.41192714186089396,0.3551235487133061,0.14628502842897012
med_pm2_terrain_36m,≤ 1.125,141235,0.013622685594930435,-0.26688424449118403,-0.1565103977092397,0.041770159247645176
med_pm2_terrain_36m,"(1.125, 2.808]",141216,0.011301835486063902,-0.4559522997312731,-0.1565103977092397,0.07136127576738402
med_pm2_terrain_36m,"(2.808, 21.68]",141701,0.014452967868963522,-0.20689454194827248,-0.1565103977092397,0.0323811470441951
med_pm2_terrain_36m,"(21.68, 46.5]",140570,0.018460553460909156,0.04186503790195128,-0.1565103977092397,-0.006552313732146788
med_pm2_terrain_36m,"(46.5, 141]",848800,0.01663996229971725,-0.06397135167605508,-0.1565103977092397,0.010012181692817018
med_pm2_terrain_36m,"(141, 250.5]",847723,0.018128563221712753,0.02322232164026202,-0.1565103977092397,-0.003634534795649292
med_pm2_terrain_36m,"(250.5, 297]",142384,0.019707270479829193,0.10847298317484864,-0.1565103977092397,-0.016977149737403226
med_pm2_terrain_36m,"(297, 355.2]",141495,0.021209230008127494,0.18344354484291642,-0.1565103977092397,-0.028710822160557595
med_pm2_terrain_36m,"(355.2, 460.3]",141344,0.024047713380122255,0.3119316771485249,-0.1565103977092397,-0.048820550848625785
med_pm2_terrain_36m,> 460.3,141569,0.0229428759120994,0.2637746603841776,-0.1565103977092397,-0.04128347700234726
med_pm2_terrain_36m,manquant/inconnu,193604,0.01125493274932336,-0.4360895304693063,-0.1565103977092397,0.06825254585058674
med_pm2_bati_36m,≤ 677.3,144060,0.013313896987366375,-0.29391114206541896,-0.07802905341659946,0.02293360820395633
med_pm2_bati_36m,"(677.3, 1195]",287882,0.014617100061830889,-0.19934586165856832,-0.07802905341659946,0.015554768887734475
med_pm2_bati_36m,"(1195, 1424]",288421,0.01621587887151074,-0.09393510341471503,-0.07802905341659946,0.007329667202040594
med_pm2_bati_36m,"(1424, 1516]",144076,0.01762958438601849,-0.008821419531140136,-0.07802905341659946,0.0006883270158055674
med_pm2_bati_36m,"(1516, 1690]",287151,0.01630152776762052,-0.088580246191261,-0.07802905341659946,0.006911832761713435
med_pm2_bati_36m,"(1690, 2040]",576891,0.01788206090925322,0.005509511929865134,-0.07802905341659946,-0.0004299020006748385
med_pm2_bati_36m,"(2040, 2142]",144013,0.02051898092533313,0.1458684460986757,-0.07802905341659946,-0.011381976772429926
med_pm2_bati_36m,"(2142, 2500]",426579,0.017720047165941128,-0.0037394915344804267,-0.07802905341659946,0.0002917889846948947
med_pm2_bati_36m,"(2500, 2669]",149921,0.019717050980182897,0.10518357368950028,-0.07802905341659946,-0.008207374689966844
med_pm2_bati_36m,> 2669,432469,0.021818904938851108,0.2085090793351599,-0.07802905341659946,-0.016269766089289168
med_pm2_bati_36m,manquant/inconnu,140178,0.0074334060979611635,-0.8545201151484798,-0.07802905341659946,0.06667739571047945
tendance_pm2_bati,≤ -0.2,532725,0.016824815805528182,-0.08915507217926462,0.2132177122514127,-0.019009440525672373
tendance_pm2_bati,"(-0.2, -0.1429]",132834,0.02103377147417077,0.13852974873650348,0.2132177122514127,0.0295369961043603
tendance_pm2_bati,"(-0.1429, -0.08696]",132859,0.0194717708247089,0.05978623756295213,0.2132177122514127,0.012747484797292128
tendance_pm2_bati,"(-0.08696, -0.04891]",133954,0.01792406348447975,-0.02459758145493936,0.2132177122514127,-0.005244640044739946
tendance_pm2_bati,"(-0.04891, 0.1623]",798821,0.019653965030964383,0.06912719202228723,0.2132177122514127,0.01473914173735619
tendance_pm2_bati,"(0.1623, 0.3685]",399927,0.019150995056597828,0.04272264257902975,0.2132177122514127,0.009109224112035519
tendance_pm2_bati,"(0.3685, 0.5094]",132978,0.0181458587134714,-0.012074551027613277,0.2132177122514127,-0.002574508146570647
tendance_pm2_bati,"(0.5094, 0.7309]",132872,0.016858329821181288,-0.08696649268672772,0.2132177122514127,-0.0185427966131933
tendance_pm2_bati,"(0.7309, 1.305]",133684,0.014930732174381378,-0.21032114834162646,0.2132177122514127,-0.044844194087491594
tendance_pm2_bati,> 1.305,133348,0.0162657107718151,-0.12334739863743878,0.2132177122514127,-0.026299850149637715
tendance_pm2_bati,manquant/inconnu,357639,0.009411725231308666,-0.616881908880571,0.2132177122514127,-0.1315301493407998
dens_bati_secteur,≤ 0.01177,149716,0.00920409308290363,-0.6392623449570332,-0.2654197168191176,0.1696728305716208
dens_bati_secteur,"(0.01177, 0.06676]",598388,0.013586502403123058,-0.2456996263425162,-0.2654197168191176,0.06521352524639365
dens_bati_secteur,"(0.06676, 0.08334]",157521,0.01731832581052685,0.000898564947652348,-0.2654197168191176,-0.00023849685394947143
dens_bati_secteur,"(0.08334, 0.1048]",148421,0.015644686398824964,-0.10240517681800111,-0.2654197168191176,0.02718035303184552
dens_bati_secteur,"(0.1048, 0.1203]",151893,0.019059469494973436,0.09846009681647208,-0.2654197168191176,-0.02613325101501092
dens_bati_secteur,"(0.1203, 0.1547]",301574,0.01733571196455928,0.0018335801652305229,-0.2654197168191176,-0.0004866683282206362
dens_bati_secteur,"(0.1547, 0.3164]",902125,0.019948455036718857,0.14481227733717408,-0.2654197168191176,-0.03843603364276427
dens_bati_secteur,"(0.3164, 0.4218]",309659,0.017971381422790877,0.038486847500706904,-0.2654197168191176,-0.010215168164898189
dens_bati_secteur,"(0.4218, 0.5033]",148253,0.021874768132853974,0.23908536799250338,-0.2654197168191176,-0.06345797066816476
dens_bati_secteur,> 0.5033,154091,0.01819054974008865,0.05091855452074749,-0.2654197168191176,-0.013514788321735598
pct_bati_secteur,≤ 0.387,150073,0.007696254489481785,-0.8196274977858738,-0.22005394905345838,0.18036226764058624
pct_bati_secteur,"(0.387, 0.4843]",151676,0.012342097629156888,-0.34281814636263663,-0.22005394905345838,0.07543848691428467
pct_bati_secteur,"(0.4843, 0.5422]",150829,0.014413673763003136,-0.18559426745426325,-0.22005394905345838,0.04084075147499437
