commune,nom,n_hors_copro,taux_base_pct,k_c,positifs_topk,rr_intra,n_top1158_ile,rr_dans_top_ile
97420,Sainte-Suzanne,12490,0.9047237790232185,34,6,19.505465903175434,18,30.70304818092429
97404,L'Étang-Salé,9011,1.6313394739762515,24,7,17.878968253968253,40,13.792346938775509
97407,Le Port,10114,1.8390350009887286,27,8,16.111509358821184,25,17.400430107526883
97419,Sainte-Rose,6284,0.8115849777211966,17,2,14.495963091118801,4,30.80392156862745
97410,Saint-Benoît,21622,1.4753491813893258,58,12,14.023565019997838,47,18.747815647302076
97417,Saint-Philippe,4155,1.516245487364621,11,2,11.991341991341992,3,43.96825396825396
97405,Petite-Île,13122,1.455570797134583,35,5,9.81451009723261,31,6.648539098125316
97416,Saint-Pierre,42045,1.512665001783803,114,16,9.278384640847401,96,8.95219143081761
97401,Les Avirons,8560,1.5186915887850467,23,3,8.588628762541806,22,8.979020979020978
97409,Saint-André,22513,1.3458890418869098,61,7,8.526267380836444,53,9.813251136434397
97406,La Plaine-des-Palmistes,6446,1.5978901644430654,17,2,7.362649914334666,19,6.587634133878385
97418,Sainte-Marie,16646,1.3216388321518684,45,4,6.725656565656566,32,9.457954545454545
97421,Salazie,7034,0.8672163775945408,19,1,6.069025021570319,11,10.482861400894187
97413,Saint-Leu,22763,1.3223213108992664,62,4,4.879005465652127,67,4.5149005801557
97415,Saint-Paul,50593,1.7393710592374438,137,11,4.616149635036496,194,4.741611996251172
97403,Entre-Deux,6301,1.2855102364704016,17,1,4.575889615105301,13,5.983855650522317
97408,La Possession,13148,2.1904472163066626,36,3,3.804398148148148,97,4.235824742268041
97411,Saint-Denis,36981,1.5954138611719533,100,6,3.760779661016949,127,2.961243827572401
97414,Saint-Louis,29141,1.386362856456539,79,4,3.652212056648703,72,5.009110286028603
97422,Le Tampon,42523,1.7073113373938809,115,6,3.055910887531441,80,2.9285812672176315
97412,Saint-Joseph,28875,1.554978354978355,78,3,2.473445262977557,43,1.4955715543585228
97402,Bras-Panon,6016,0.964095744680851,16,0,0.0,11,0.0
97423,Les Trois-Bassins,5301,1.3770986606300697,14,0,0.0,41,1.7711326428332776
97424,Cilaos,6555,1.7391304347826086,18,0,0.0,12,0.0
