idu,avant,apres,r_avant,r_apres,d_avant,d_apres,nature
97410000AS1440,a_creuser,chaude,6839,4525,1.1459,1.1459,heritage_de_place
97408000AP1674,a_creuser,chaude,4620,4527,1.1438,1.1438,heritage_de_place
97413000DE2491,a_creuser,chaude,6674,4533,1.1410,1.1410,heritage_de_place
97403000AO0664,a_creuser,chaude,4583,4534,1.1409,1.1409,heritage_de_place
97416000CV2357,a_creuser,chaude,5751,4541,1.1401,1.1401,heritage_de_place
97416000IE0372,a_creuser,chaude,5762,4549,1.1385,1.1385,heritage_de_place
97411000AT0580,a_creuser,chaude,4646,4575,1.1321,1.1321,heritage_de_place
97420000BH1430,a_creuser,chaude,4684,4576,1.1314,1.1314,heritage_de_place
97422000CX0930,a_creuser,chaude,5529,4584,1.1288,1.1288,heritage_de_place
97411000ET0222,a_creuser,chaude,6545,4602,1.1251,1.1251,heritage_de_place
97416000EI0589,a_creuser,chaude,6043,4607,1.1200,1.1200,heritage_de_place
97422000CX1331,a_creuser,chaude,5061,4610,1.1186,1.1186,heritage_de_place
97404000AV0523,a_creuser,chaude,6183,4628,1.1150,1.1150,heritage_de_place
97408000AP1679,a_creuser,chaude,4579,4644,1.1086,1.1086,heritage_de_place
97408000AN1868,a_creuser,chaude,5682,4645,1.1085,1.1085,heritage_de_place
97412000CK0876,a_creuser,chaude,4765,4661,1.1018,1.1018,heritage_de_place
97408000AP1669,a_creuser,chaude,6546,4662,1.1015,1.1015,heritage_de_place
97408000AP1665,a_creuser,chaude,6126,4663,1.1015,1.1015,heritage_de_place
97415000CV1240,a_creuser,chaude,4317,4684,1.0917,1.0917,heritage_de_place
97416000EI0270,a_creuser,chaude,4781,4690,1.0905,1.0905,heritage_de_place
97408000AP1671,a_creuser,chaude,6918,4695,1.0853,1.0853,heritage_de_place
97422000AP0285,a_creuser,chaude,6309,4711,1.0770,1.0770,heritage_de_place
97416000CO0950,a_creuser,chaude,6291,4715,1.0763,1.0763,heritage_de_place
97415000AH1245,a_creuser,chaude,5021,4718,1.0736,1.0736,heritage_de_place
97415000AT0743,a_creuser,chaude,4732,4721,1.0725,1.0725,heritage_de_place
97412000AX1062,a_creuser,chaude,4970,4729,1.0702,1.0702,heritage_de_place
97412000AZ0822,a_creuser,chaude,4475,4732,1.0683,1.0683,heritage_de_place
97409000AK0842,a_creuser,chaude,6101,4736,1.0646,1.0646,heritage_de_place
97422000CX0072,a_creuser,chaude,5199,4739,1.0631,1.0631,heritage_de_place
97416000HX1555,a_creuser,chaude,5180,4748,1.0595,1.0595,heritage_de_place
97415000BO0938,a_creuser,chaude,4468,4750,1.0573,1.0573,heritage_de_place
97412000AP0450,a_creuser,chaude,4342,4758,1.0532,1.0532,heritage_de_place
97405000AW1688,a_creuser,chaude,4910,4773,1.0480,1.0480,heritage_de_place
97414000EL2531,a_creuser,chaude,6195,4777,1.0459,1.0459,heritage_de_place
97413000CH0873,a_creuser,chaude,6009,4791,1.0420,1.0420,heritage_de_place
97412000BK0882,a_creuser,chaude,5026,4812,1.0343,1.0343,heritage_de_place
97415000CM2364,a_creuser,chaude,6084,4814,1.0327,1.0327,heritage_de_place
97422000ED0603,a_creuser,chaude,5369,4847,1.0232,1.0232,heritage_de_place
97420000AB1805,a_creuser,chaude,6411,4848,1.0230,1.0230,heritage_de_place
97415000CM2357,a_creuser,chaude,4881,4866,1.0186,1.0186,heritage_de_place
97415000AV0772,a_creuser,chaude,5046,4876,1.0151,1.0151,heritage_de_place
97422000AY1230,a_creuser,chaude,4780,4877,1.0149,1.0149,heritage_de_place
97411000IW0272,a_creuser,chaude,4851,4885,1.0129,1.0129,heritage_de_place
97416000IK0523,a_creuser,chaude,5843,4886,1.0129,1.0129,heritage_de_place
97411000IM0281,a_creuser,chaude,5466,4887,1.0129,1.0129,heritage_de_place
97416000DX0081,a_creuser,chaude,6202,4893,1.0112,1.0112,heritage_de_place
97418000AP1885,a_creuser,chaude,5263,4900,1.0094,1.0094,heritage_de_place
97411000AV0547,a_creuser,chaude,5961,4918,1.0048,1.0048,heritage_de_place
97422000AP0486,a_creuser,chaude,4542,4920,1.0043,1.0043,heritage_de_place
97415000BW1773,a_creuser,chaude,6302,4929,1.0017,1.0017,heritage_de_place
97418000AO2182,a_creuser,chaude,5394,4931,1.0002,1.0002,heritage_de_place
97410000BX1548,a_creuser,chaude,4709,4932,1.0001,1.0001,heritage_de_place
97415000HO1113,a_creuser,chaude,6757,4937,0.9987,0.9987,heritage_de_place
97410000CD0948,a_creuser,chaude,5606,4940,0.9980,0.9980,heritage_de_place
97413000CN1164,a_creuser,chaude,5314,4948,0.9942,0.9942,heritage_de_place
97414000DY0622,a_creuser,chaude,6935,4952,0.9913,0.9913,heritage_de_place
97416000CX1458,a_creuser,chaude,4817,4956,0.9900,0.9900,heritage_de_place
97412000CV0888,a_creuser,chaude,4353,4987,0.9809,0.9809,heritage_de_place
97422000AE0725,a_creuser,chaude,5868,4988,0.9800,0.9800,heritage_de_place
97422000CT0126,a_creuser,chaude,5608,4994,0.9773,0.9773,heritage_de_place
97414000HI1580,a_creuser,chaude,6094,5001,0.9754,0.9754,heritage_de_place
97422000CY0444,a_creuser,chaude,5099,5022,0.9650,0.9650,heritage_de_place
97412000BX1084,a_creuser,chaude,5170,5026,0.9639,0.9639,heritage_de_place
97416000HP0804,a_creuser,chaude,6623,5030,0.9632,0.9632,heritage_de_place
97415000ER1087,a_creuser,chaude,6370,5031,0.9629,0.9629,heritage_de_place
97413000CH0030,a_creuser,chaude,5301,5041,0.9570,0.9570,heritage_de_place
97420000BH1873,a_creuser,chaude,4726,5046,0.9546,0.9546,heritage_de_place
97416000IL0176,a_creuser,chaude,5054,5054,0.9484,0.9484,heritage_de_place
97413000CH0917,a_creuser,chaude,5505,5056,0.9473,0.9473,heritage_de_place
97416000CW2001,a_creuser,chaude,4246,5064,0.9416,0.9416,heritage_de_place
97414000DH1314,a_creuser,chaude,5815,5082,0.9327,0.9327,heritage_de_place
97422000CY0441,a_creuser,chaude,6373,5089,0.9301,0.9301,heritage_de_place
97411000AW0784,a_creuser,chaude,5095,5094,0.9294,0.9294,heritage_de_place
97413000CX2189,a_creuser,chaude,6684,5097,0.9266,0.9266,heritage_de_place
97410000AS1414,a_creuser,chaude,6736,5099,0.9260,0.9260,heritage_de_place
97411000KB0251,a_creuser,chaude,6323,5101,0.9249,0.9249,heritage_de_place
