idu,strate,grandeur,surface,valeur
97401000AD0124,special_M44_locatif_score_e,sdp_residuelle,db_residuel,157
97401000AD0124,special_M44_locatif_score_e,vigilances,fiche_v2,"parc_national,residuel_socle,risques"
97401000AD0124,special_M44_locatif_score_e,vigilances,carte_tuile,"parc_national,residuel_socle,risques"
97404000AZ0004,temoin_AZ0004_renouvellement_rang1,tier,fiche_v2,ecartee
97404000AZ0004,temoin_AZ0004_renouvellement_rang1,tier,fiche_legacy,ecartee
97404000AZ0004,temoin_AZ0004_renouvellement_rang1,tier,carte_tuile,ecartee
97404000AZ0004,temoin_AZ0004_renouvellement_rang1,tier,db_verite,ecartee
97404000AZ0004,temoin_AZ0004_renouvellement_rang1,tier,export_md,ecartee
97404000AZ0004,temoin_AZ0004_renouvellement_rang1,rang,fiche_v2,6916
97404000AZ0004,temoin_AZ0004_renouvellement_rang1,rang,fiche_legacy,6916
97404000AZ0004,temoin_AZ0004_renouvellement_rang1,rang,carte_tuile,6916
97404000AZ0004,temoin_AZ0004_renouvellement_rang1,rang,db_verite,6916
97404000AZ0004,temoin_AZ0004_renouvellement_rang1,mult,fiche_v2,2.65
97404000AZ0004,temoin_AZ0004_renouvellement_rang1,mult,carte_tuile,2.65
97404000AZ0004,temoin_AZ0004_renouvellement_rang1,mult,db_verite,2.65
97404000AZ0004,temoin_AZ0004_renouvellement_rang1,ca_central,module_faisa,39208750
97404000AZ0004,temoin_AZ0004_renouvellement_rang1,ca_central,fiche_legacy,39208750
97404000AZ0004,temoin_AZ0004_renouvellement_rang1,charge_fonciere_central,module_faisa,1670529
97404000AZ0004,temoin_AZ0004_renouvellement_rang1,charge_fonciere_central,fiche_legacy,1670529
97404000AZ0004,temoin_AZ0004_renouvellement_rang1,modeb_dispo,fiche_v2,False
97404000AZ0004,temoin_AZ0004_renouvellement_rang1,modeb_dispo,fiche_legacy,False
97404000AZ0004,temoin_AZ0004_renouvellement_rang1,modeb_dispo,endpoint_modeb,False
97404000AZ0004,temoin_AZ0004_renouvellement_rang1,sdp_residuelle,fiche_v2,3151
97404000AZ0004,temoin_AZ0004_renouvellement_rang1,sdp_residuelle,carte_tuile,3151
97404000AZ0004,temoin_AZ0004_renouvellement_rang1,sdp_residuelle,db_residuel,3151
97404000AZ0004,temoin_AZ0004_renouvellement_rang1,vigilances,fiche_v2,"cinquante_pas,prescription_plu,risques,sol_pollue,sup"
97404000AZ0004,temoin_AZ0004_renouvellement_rang1,vigilances,carte_tuile,"cinquante_pas,prescription_plu,risques,sol_pollue,sup"
97404000AZ0004,temoin_AZ0004_renouvellement_rang1,etiquette_renouv,fiche_v2,oui
97407000AI1821,tier_reserve_fonciere,tier,fiche_v2,reserve_fonciere
97407000AI1821,tier_reserve_fonciere,tier,fiche_legacy,reserve_fonciere
97407000AI1821,tier_reserve_fonciere,tier,carte_tuile,reserve_fonciere
97407000AI1821,tier_reserve_fonciere,tier,db_verite,reserve_fonciere
97407000AI1821,tier_reserve_fonciere,tier,export_md,reserve_fonciere
97407000AI1821,tier_reserve_fonciere,rang,fiche_v2,231153
97407000AI1821,tier_reserve_fonciere,rang,fiche_legacy,231153
97407000AI1821,tier_reserve_fonciere,rang,carte_tuile,231153
97407000AI1821,tier_reserve_fonciere,rang,db_verite,231153
97407000AI1821,tier_reserve_fonciere,mult,fiche_v2,0.92
97407000AI1821,tier_reserve_fonciere,mult,carte_tuile,0.92
