idu,vendue,T,v_recalcule,codes
97422000BW0940,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97422000AB0062,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97422000BW3449,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97422000BV2327,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97422000CS1294,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97422000EN0687,0,2023-05-31,23,DVF_TENURE_OBS5;GEO_HORS_ILE
97422000BW0935,0,2023-05-31,24,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE;RNE_DIRIGEANT_65
97422000AD0770,0,2023-05-31,12,RNE_DIRIGEANT_65
97422000BY0814,0,2023-05-31,16,DVF_TENURE_OBS5;RNE_SCI_DORMANTE
97422000BX0652,0,2023-05-31,20,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE;RNE_SCI_DORMANTE
97422000CD0361,0,2023-05-31,16,DVF_TENURE_OBS5;RNE_SCI_DORMANTE
97422000EK0246,0,2023-05-31,20,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE;RNE_SCI_DORMANTE
97422000BN2815,0,2023-05-31,20,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE;RNE_SCI_DORMANTE
97422000ED0427,0,2023-05-31,20,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE;RNE_SCI_DORMANTE
97422000CL1265,0,2023-05-31,23,DVF_TENURE_OBS5;GEO_HORS_ILE
97422000CX0911,0,2023-05-31,20,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE;RNE_SCI_DORMANTE
97422000AN0270,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97422000DN0083,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97422000BV1632,0,2023-05-31,15,GEO_HORS_ILE
97422000CX1059,0,2023-05-31,23,DVF_TENURE_OBS5;GEO_HORS_ILE
97422000AE0680,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97422000EM0419,0,2023-05-31,16,DVF_TENURE_OBS5;RNE_SCI_DORMANTE
97422000CH0200,0,2023-05-31,20,DVF_TENURE_OBS5;RNE_DIRIGEANT_65
97422000BD3749,0,2023-05-31,16,DVF_TENURE_OBS5;RNE_SCI_DORMANTE
97422000CI0440,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97422000AX1635,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97422000CS1295,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97422000EM0178,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97422000CI0060,0,2023-05-31,20,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE;RNE_SCI_DORMANTE
97422000CI0134,0,2023-05-31,16,DVF_TENURE_OBS5;RNE_SCI_DORMANTE
97422000BY0388,0,2023-05-31,15,GEO_HORS_ILE
97422000BD1206,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97422000BX0878,0,2023-05-31,20,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE;RNE_SCI_DORMANTE
97422000AH0149,0,2023-05-31,24,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE;RNE_DIRIGEANT_65
97422000AL0616,0,2023-05-31,24,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE;RNE_DIRIGEANT_65
97422000BS1085,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97422000BY0522,0,2023-05-31,12,RNE_DIRIGEANT_65
97422000CI0665,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97422000BV2334,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97422000AP0667,0,2023-05-31,20,DVF_TENURE_OBS5;RNE_DIRIGEANT_65
97422000BI0315,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97422000BD3353,0,2023-05-31,16,DVF_TENURE_OBS5;RNE_SCI_DORMANTE
97422000AK0479,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97422000BZ0349,0,2023-05-31,18,BODACC_CESSION_FONDS;DVF_TENURE_OBS5
97422000CI0726,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97422000CY0108,0,2023-05-31,20,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE;RNE_SCI_DORMANTE
97422000AD0771,0,2023-05-31,12,RNE_DIRIGEANT_65
97422000CI0107,0,2023-05-31,16,DVF_TENURE_OBS5;RNE_SCI_DORMANTE
97422000AN0348,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97422000DE0626,0,2023-05-31,16,DVF_TENURE_OBS5;RNE_SCI_DORMANTE
97422000AW0885,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97422000EM0421,0,2023-05-31,16,DVF_TENURE_OBS5;RNE_SCI_DORMANTE
97422000CY0175,0,2023-05-31,22,GEO_AUTRE_COMMUNE;RNE_DIRIGEANT_70
97422000BV2984,0,2023-05-31,20,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE;RNE_SCI_DORMANTE
97422000BY0690,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97422000BT1190,0,2023-05-31,16,DVF_TENURE_OBS5;RNE_SCI_DORMANTE
97422000BD3070,0,2023-05-31,16,DVF_TENURE_OBS5;RNE_SCI_DORMANTE
97422000BW2750,0,2023-05-31,23,DVF_TENURE_OBS5;GEO_HORS_ILE
97422000BY0769,0,2023-05-31,20,DVF_TENURE_OBS5;RNE_DIRIGEANT_65
97422000BW3422,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97422000AS0091,0,2023-05-31,20,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE;RNE_SCI_DORMANTE
97422000BD3745,0,2023-05-31,16,DVF_TENURE_OBS5;RNE_SCI_DORMANTE
97422000CE0615,0,2023-05-31,20,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE;RNE_SCI_DORMANTE
97422000BT0863,0,2023-05-31,20,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE;RNE_SCI_DORMANTE
97422000AX0579,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97422000CX0719,0,2023-05-31,11,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97422000AE0705,0,2023-05-31,16,DVF_TENURE_OBS5;RNE_SCI_DORMANTE
97422000CE0399,0,2023-05-31,20,DVF_TENURE_OBS5;RNE_DIRIGEANT_65
97422000CE0752,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97422000EI0263,0,2023-05-31,20,DVF_TENURE_OBS5;RNE_DIRIGEANT_65
97422000BP1744,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97422000BD2716,0,2023-05-31,16,DVF_TENURE_OBS5;RNE_SCI_DORMANTE
97422000BD3390,0,2023-05-31,16,DVF_TENURE_OBS5;RNE_SCI_DORMANTE
97422000AK1379,0,2023-05-31,12,RNE_DIRIGEANT_65
97422000CD0273,0,2023-05-31,16,DVF_TENURE_OBS5;RNE_SCI_DORMANTE
97422000BD2240,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97422000CS1303,0,2023-05-31,20,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE;RNE_SCI_DORMANTE
97422000BW0466,0,2023-05-31,20,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE;RNE_SCI_DORMANTE
97422000BW0946,0,2023-05-31,24,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE;RNE_DIRIGEANT_65
97422000DM0098,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97422000AD0869,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97422000AL1339,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97422000BH1607,0,2023-05-31,16,DVF_TENURE_OBS5;RNE_SCI_DORMANTE
97422000CI0519,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97422000CD0137,0,2023-05-31,16,DVF_TENURE_OBS5;RNE_SCI_DORMANTE
