idu,vendue,T,v_stocke,v_recalcule,owner_type,pts_A,pts_B,pts_C,pts_D,pts_E,codes
97415000AB0599,1,2024-07-29,25,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97413000AV1210,1,2022-12-28,26,26,pm,0,22,4,0,0,RNE_DIRIGEANT_75:22;GEO_AUTRE_COMMUNE:4
97422000BX0420,1,2023-12-17,30,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97406000AL0168,1,2023-11-19,25,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97411000AE0725,1,2024-03-10,30,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97416000EL0904,1,2022-07-05,25,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97411000BP0643,1,2023-01-25,31,31,pm,0,8,15,8,0,RNE_SCI_DORMANTE:8;GEO_HORS_ILE:15;DVF_TENURE_OBS5:8
97411000AM0079,1,2023-12-17,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97415000AY1651,1,2023-05-04,30,30,pm,0,18,4,8,0,RNE_DIRIGEANT_70:18;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97404000AR0488,1,2024-08-22,37,37,pm,0,25,4,8,0,RNE_CESSATION:25;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97412000BL0765,1,2023-07-10,30,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97414000DL0035,1,2022-10-19,34,34,pm,0,22,4,8,0,RNE_DIRIGEANT_75:22;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97415000CS0527,1,2023-06-14,29,29,pm,0,25,4,0,0,RNE_CESSATION:25;GEO_AUTRE_COMMUNE:4
97418000BK0058,1,2022-11-15,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97411000AW0934,1,2023-02-22,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97411000AC0069,1,2023-09-12,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97413000DC0373,1,2024-08-27,30,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97402000AD1051,1,2022-12-29,34,34,pm,0,22,4,8,0,RNE_DIRIGEANT_75:22;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97410000AS1458,1,2024-01-29,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97413000DC0556,1,2024-08-27,30,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97409000AO0711,1,2023-10-05,25,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97415000AB0740,1,2022-07-20,25,25,pm,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97417000AT0970,1,2023-01-24,25,25,pm,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97416000DS0114,1,2024-03-26,25,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97410000AS1112,1,2023-11-30,34,34,pm,0,22,4,8,0,RNE_DIRIGEANT_75:22;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97411000HC0049,1,2022-05-16,30,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97406000AI1078,1,2024-10-28,25,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97402000AK0337,1,2024-11-27,25,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97409000BM1420,1,2023-06-29,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97418000AY0481,1,2023-12-17,30,30,pm,0,18,4,8,0,RNE_DIRIGEANT_70:18;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97411000AN0029,1,2022-05-30,25,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97415000DI0991,1,2023-06-19,30,30,pm,0,18,4,8,0,RNE_DIRIGEANT_70:18;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97414000CV1024,1,2024-09-24,25,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97416000EL0875,1,2022-06-30,33,33,pm,10,0,15,8,0,BODACC_CESSION_FONDS:10;GEO_HORS_ILE:15;DVF_TENURE_OBS5:8
97413000DC0543,1,2024-08-27,30,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97407000BI0348,1,2024-04-16,30,30,pm,0,18,4,8,0,RNE_DIRIGEANT_70:18;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97407000AT0038,1,2023-03-30,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97415000AB0736,1,2024-09-30,25,25,pm,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97422000CD0347,1,2022-10-12,30,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97421000AH0154,1,2022-06-15,25,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97415000CS1187,1,2024-09-01,30,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97411000AK0035,1,2022-06-16,30,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97411000AE0274,1,2023-04-17,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
