idu,partition,date_vente,v_at_T,owner_type,pts_A,pts_B,pts_C,pts_D,pts_E,codes
97415000ER1511,VENDEUR_CERTAIN,2025-10-21,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97417000AT0970,ACHETEUR_PROBABLE,2024-01-24,25,pm,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97416000DS0114,VENDEUR_CERTAIN,2025-03-26,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97423000AB1798,ACHETEUR_PROBABLE,2023-07-11,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97405000AV0146,ACHETEUR_PROBABLE,2024-09-11,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97416000CS1557,ACHETEUR_PROBABLE,2024-02-29,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97410000AS1112,ACHETEUR_PROBABLE,2024-11-29,34,pm,0,22,4,8,0,RNE_DIRIGEANT_75:22;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97415000BO0228,ACHETEUR_PROBABLE,2023-08-29,20,pm,0,12,0,8,0,RNE_DIRIGEANT_65:12;DVF_TENURE_OBS5:8
97416000ET2162,VENDEUR_CERTAIN,2025-11-25,18,pm,10,0,0,8,0,BODACC_CESSION_FONDS:10;DVF_TENURE_OBS5:8
97420000BH1552,ACHETEUR_PROBABLE,2024-12-19,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97405000AV0438,VENDEUR_CERTAIN,2025-03-27,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97414000DM0591,ACHETEUR_PROBABLE,2024-02-15,24,pm,0,12,4,8,0,RNE_DIRIGEANT_65:12;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97424000AI1342,ACHETEUR_PROBABLE,2023-12-15,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97411000HC0049,ACHETEUR_PROBABLE,2023-05-16,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97415000BZ0212,ACHETEUR_PROBABLE,2024-12-19,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97412000AN0428,ACHETEUR_PROBABLE,2024-09-11,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97414000EN4116,ACHETEUR_PROBABLE,2024-11-25,20,pm,0,12,0,8,0,RNE_DIRIGEANT_65:12;DVF_TENURE_OBS5:8
97418000AT2306,VENDEUR_CERTAIN,2025-04-30,18,pm,10,0,0,8,0,BODACC_CESSION_FONDS:10;DVF_TENURE_OBS5:8
97422000BP0568,ACHETEUR_PROBABLE,2023-02-15,4,pm,0,0,4,0,0,GEO_AUTRE_COMMUNE:4
97421000BD0635,ACHETEUR_PROBABLE,2024-05-10,23,pm,0,0,15,8,0,GEO_HORS_ILE:15;DVF_TENURE_OBS5:8
97415000CD0611,ACHETEUR_PROBABLE,2024-05-30,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97416000CS1548,ACHETEUR_PROBABLE,2024-02-29,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97409000AN0286,ACHETEUR_PROBABLE,2023-12-21,24,pm,0,12,4,8,0,RNE_DIRIGEANT_65:12;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97406000AW1214,ACHETEUR_PROBABLE,2023-01-04,20,pm,0,12,0,8,0,RNE_DIRIGEANT_65:12;DVF_TENURE_OBS5:8
97406000AI1078,VENDEUR_CERTAIN,2025-10-28,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97406000AS0253,ACHETEUR_PROBABLE,2023-07-18,24,pm,0,12,4,8,0,RNE_DIRIGEANT_65:12;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97413000CR1129,ACHETEUR_PROBABLE,2023-03-31,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97416000DT0301,ACHETEUR_PROBABLE,2023-01-20,23,pm,0,0,15,8,0,GEO_HORS_ILE:15;DVF_TENURE_OBS5:8
97411000AE0060,ACHETEUR_PROBABLE,2024-12-27,20,pm,0,12,0,8,0,RNE_DIRIGEANT_65:12;DVF_TENURE_OBS5:8
97414000EN3044,ACHETEUR_PROBABLE,2024-09-26,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97416000CS1522,ACHETEUR_PROBABLE,2024-02-29,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97409000BL0206,ACHETEUR_PROBABLE,2024-07-16,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97410000AL0440,VENDEUR_CERTAIN,2025-12-23,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97415000BP0013,ACHETEUR_PROBABLE,2024-05-13,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97413000AV0933,VENDEUR_CERTAIN,2025-12-17,20,pm,0,12,0,8,0,RNE_DIRIGEANT_65:12;DVF_TENURE_OBS5:8
97415000BX0218,ACHETEUR_PROBABLE,2024-09-16,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97409000AX0276,ACHETEUR_PROBABLE,2023-06-12,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97412000AZ0952,ACHETEUR_PROBABLE,2024-09-27,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97405000AW1675,ACHETEUR_PROBABLE,2024-04-25,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97416000ET2123,VENDEUR_CERTAIN,2025-04-22,18,pm,10,0,0,8,0,BODACC_CESSION_FONDS:10;DVF_TENURE_OBS5:8
97415000CM2362,ACHETEUR_PROBABLE,2024-11-02,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97409000BL0208,ACHETEUR_PROBABLE,2024-09-17,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97406000AM0596,ACHETEUR_PROBABLE,2023-01-31,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97422000EK0059,ACHETEUR_PROBABLE,2023-05-31,16,pm,0,12,4,0,0,RNE_DIRIGEANT_65:12;GEO_AUTRE_COMMUNE:4
97402000AK0337,VENDEUR_CERTAIN,2025-11-27,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97411000HV0095,ACHETEUR_PROBABLE,2023-01-20,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97415000ER1754,ACHETEUR_PROBABLE,2024-03-04,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97415000AX0660,ACHETEUR_PROBABLE,2024-02-06,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97413000AV2291,ACHETEUR_PROBABLE,2023-11-24,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97405000AO0382,ACHETEUR_PROBABLE,2024-07-03,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97416000HO1063,ACHETEUR_PROBABLE,2023-10-02,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97423000AK0294,ACHETEUR_PROBABLE,2023-08-28,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97413000CA0260,ACHETEUR_PROBABLE,2023-01-26,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97409000BM1420,ACHETEUR_PROBABLE,2024-06-28,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97418000AY0481,ACHETEUR_PROBABLE,2024-12-16,30,pm,0,18,4,8,0,RNE_DIRIGEANT_70:18;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97408000AC3055,ACHETEUR_PROBABLE,2023-06-02,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97411000EP0243,VENDEUR_CERTAIN,2025-01-31,22,pm,0,18,4,0,0,RNE_DIRIGEANT_70:18;GEO_AUTRE_COMMUNE:4
97416000EK0091,ACHETEUR_PROBABLE,2024-12-06,24,pm,0,12,4,8,0,RNE_DIRIGEANT_65:12;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97416000DT0714,ACHETEUR_PROBABLE,2023-02-17,20,pm,0,12,0,8,0,RNE_DIRIGEANT_65:12;DVF_TENURE_OBS5:8
97408000AM0316,ACHETEUR_PROBABLE,2024-09-30,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97404000AI1954,VENDEUR_CERTAIN,2025-08-22,15,pm,0,0,15,0,0,GEO_HORS_ILE:15
97413000CX2547,VENDEUR_CERTAIN,2025-09-22,18,pm,10,0,0,8,0,BODACC_CESSION_FONDS:10;DVF_TENURE_OBS5:8
97411000AN0029,ACHETEUR_PROBABLE,2023-05-30,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97420000AO0609,VENDEUR_CERTAIN,2025-11-27,20,pm,0,12,0,8,0,RNE_DIRIGEANT_65:12;DVF_TENURE_OBS5:8
97407000AL0110,VENDEUR_CERTAIN,2025-08-14,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97415000DI0991,ACHETEUR_PROBABLE,2024-06-18,30,pm,0,18,4,8,0,RNE_DIRIGEANT_70:18;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97414000CV1024,VENDEUR_CERTAIN,2025-09-24,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97409000AX1094,VENDEUR_CERTAIN,2025-06-13,20,pm,0,12,0,8,0,RNE_DIRIGEANT_65:12;DVF_TENURE_OBS5:8
97413000CV0171,ACHETEUR_PROBABLE,2024-05-23,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97415000BN0897,ACHETEUR_PROBABLE,2024-08-08,20,pm,0,12,0,8,0,RNE_DIRIGEANT_65:12;DVF_TENURE_OBS5:8
97412000CN0168,ACHETEUR_PROBABLE,2024-03-01,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97409000BM1388,ACHETEUR_PROBABLE,2023-05-26,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97402000AM0022,VENDEUR_CERTAIN,2025-05-26,4,pm,0,0,4,0,0,GEO_AUTRE_COMMUNE:4
97415000AS1183,ACHETEUR_PROBABLE,2023-12-21,12,pm,0,12,0,0,0,RNE_DIRIGEANT_65:12
97415000CM2366,ACHETEUR_PROBABLE,2024-11-02,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97416000EL0875,ACHETEUR_PROBABLE,2023-06-30,33,pm,10,0,15,8,0,BODACC_CESSION_FONDS:10;GEO_HORS_ILE:15;DVF_TENURE_OBS5:8
97413000DC0543,VENDEUR_CERTAIN,2025-08-27,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97407000BI0348,VENDEUR_CERTAIN,2025-04-16,30,pm,0,18,4,8,0,RNE_DIRIGEANT_70:18;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97416000CS1336,ACHETEUR_PROBABLE,2024-11-28,23,pm,0,0,15,8,0,GEO_HORS_ILE:15;DVF_TENURE_OBS5:8
97405000BH0846,ACHETEUR_PROBABLE,2023-06-23,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97413000CY1450,ACHETEUR_PROBABLE,2024-05-10,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97415000BI0112,ACHETEUR_PROBABLE,2023-12-18,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97415000BH0240,VENDEUR_CERTAIN,2025-10-14,18,pm,10,0,0,8,0,BODACC_CESSION_FONDS:10;DVF_TENURE_OBS5:8
97407000AE0527,ACHETEUR_PROBABLE,2024-09-26,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97414000CO0645,ACHETEUR_PROBABLE,2024-03-21,23,pm,0,0,15,8,0,GEO_HORS_ILE:15;DVF_TENURE_OBS5:8
97409000AX1120,ACHETEUR_PROBABLE,2024-12-16,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97414000HI1544,ACHETEUR_PROBABLE,2023-01-27,4,pm,0,0,4,0,0,GEO_AUTRE_COMMUNE:4
97407000AT0038,ACHETEUR_PROBABLE,2024-03-29,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97420000AV0557,ACHETEUR_PROBABLE,2023-08-11,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97415000AB0736,VENDEUR_CERTAIN,2025-09-30,25,pm,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97422000CD0347,ACHETEUR_PROBABLE,2023-10-12,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97414000HI1541,ACHETEUR_PROBABLE,2023-01-27,4,pm,0,0,4,0,0,GEO_AUTRE_COMMUNE:4
97415000BZ0637,ACHETEUR_PROBABLE,2024-12-19,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97415000CM2346,ACHETEUR_PROBABLE,2024-11-02,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97421000AH0154,ACHETEUR_PROBABLE,2023-06-15,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97416000HY1097,ACHETEUR_PROBABLE,2024-12-24,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97418000AY0825,ACHETEUR_PROBABLE,2023-06-30,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97407000AE0241,VENDEUR_CERTAIN,2025-11-26,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97415000EW0043,ACHETEUR_PROBABLE,2024-08-19,4,pm,0,0,4,0,0,GEO_AUTRE_COMMUNE:4
97415000AH1298,ACHETEUR_PROBABLE,2024-02-13,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97418000AT2304,VENDEUR_CERTAIN,2025-09-19,18,pm,10,0,0,8,0,BODACC_CESSION_FONDS:10;DVF_TENURE_OBS5:8
97415000CS1187,VENDEUR_CERTAIN,2025-09-01,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97411000AK0035,ACHETEUR_PROBABLE,2023-06-16,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97415000BO0384,ACHETEUR_PROBABLE,2023-08-11,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97411000AE0274,ACHETEUR_PROBABLE,2024-04-16,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97411000AR0075,VENDEUR_CERTAIN,2025-10-24,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97410000BE0711,ACHETEUR_PROBABLE,2024-04-19,30,pm,0,18,4,8,0,RNE_DIRIGEANT_70:18;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97420000BC1428,ACHETEUR_PROBABLE,2023-12-21,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97412000BK1123,ACHETEUR_PROBABLE,2024-12-19,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97414000EN4124,ACHETEUR_PROBABLE,2024-11-25,20,pm,0,12,0,8,0,RNE_DIRIGEANT_65:12;DVF_TENURE_OBS5:8
97415000DT0756,VENDEUR_CERTAIN,2025-04-30,20,pm,0,12,0,8,0,RNE_DIRIGEANT_65:12;DVF_TENURE_OBS5:8
97418000AT1239,ACHETEUR_PROBABLE,2024-07-31,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
