idu,partition,date_vente,v_at_T,owner_type,pts_A,pts_B,pts_C,pts_D,pts_E,codes
97416000HW0566,ACHETEUR_PROBABLE,2023-04-20,23,pm,0,0,15,8,0,GEO_HORS_ILE:15;DVF_TENURE_OBS5:8
97420000BD1207,VENDEUR_CERTAIN,2025-10-31,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97415000DT0993,ACHETEUR_PROBABLE,2024-10-31,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97419000AP0181,ACHETEUR_PROBABLE,2024-07-10,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97411000DT0287,ACHETEUR_PROBABLE,2024-05-15,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97415000AY1533,VENDEUR_CERTAIN,2025-05-15,18,pm,10,0,0,8,0,BODACC_CESSION_FONDS:10;DVF_TENURE_OBS5:8
97413000CA0265,ACHETEUR_PROBABLE,2024-01-29,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97411000AT0308,ACHETEUR_PROBABLE,2023-12-29,35,pm,0,12,15,8,0,RNE_DIRIGEANT_65:12;GEO_HORS_ILE:15;DVF_TENURE_OBS5:8
97406000AK0254,ACHETEUR_PROBABLE,2024-12-02,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97410000AR0661,ACHETEUR_PROBABLE,2024-11-29,34,pm,0,22,4,8,0,RNE_DIRIGEANT_75:22;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97420000AO0601,VENDEUR_CERTAIN,2025-12-03,20,pm,0,12,0,8,0,RNE_DIRIGEANT_65:12;DVF_TENURE_OBS5:8
97416000ES1408,ACHETEUR_PROBABLE,2023-06-26,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97419000AP0217,ACHETEUR_PROBABLE,2023-01-06,18,pm,0,18,0,0,0,RNE_DIRIGEANT_70:18
97414000EN1025,ACHETEUR_PROBABLE,2024-03-29,20,pm,0,12,0,8,0,RNE_DIRIGEANT_65:12;DVF_TENURE_OBS5:8
97409000BE0742,ACHETEUR_PROBABLE,2024-12-31,24,pm,0,12,4,8,0,RNE_DIRIGEANT_65:12;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97416000CS1097,ACHETEUR_PROBABLE,2023-09-28,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97415000EW1479,VENDEUR_CERTAIN,2025-07-30,23,pm,0,0,15,8,0,GEO_HORS_ILE:15;DVF_TENURE_OBS5:8
97418000AX0514,ACHETEUR_PROBABLE,2024-12-30,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97415000CM2361,ACHETEUR_PROBABLE,2024-11-02,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97408000BO0243,VENDEUR_CERTAIN,2025-07-10,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97410000AB1026,ACHETEUR_PROBABLE,2023-08-10,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97402000AM0024,VENDEUR_CERTAIN,2025-05-26,4,pm,0,0,4,0,0,GEO_AUTRE_COMMUNE:4
97407000AL0504,ACHETEUR_PROBABLE,2023-11-06,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97407000AV0086,VENDEUR_CERTAIN,2025-05-27,33,pm,0,25,0,8,0,RNE_CESSATION:25;DVF_TENURE_OBS5:8
97415000AY1548,VENDEUR_CERTAIN,2025-02-25,18,pm,10,0,0,8,0,BODACC_CESSION_FONDS:10;DVF_TENURE_OBS5:8
97410000AS1460,VENDEUR_CERTAIN,2025-03-31,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97417000AT1476,ACHETEUR_PROBABLE,2023-11-10,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97408000AP0731,ACHETEUR_PROBABLE,2023-03-30,23,pm,0,0,15,8,0,GEO_HORS_ILE:15;DVF_TENURE_OBS5:8
97423000AB1907,ACHETEUR_PROBABLE,2024-12-17,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97409000AX0484,ACHETEUR_PROBABLE,2024-02-23,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97410000BV0358,ACHETEUR_PROBABLE,2023-10-27,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97423000AB1752,ACHETEUR_PROBABLE,2023-07-11,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97416000EX1898,VENDEUR_CERTAIN,2025-07-28,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97412000BY0490,ACHETEUR_PROBABLE,2023-10-30,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97420000BC1860,ACHETEUR_PROBABLE,2024-10-31,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97412000AN0330,ACHETEUR_PROBABLE,2024-09-11,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97406000AV1118,ACHETEUR_PROBABLE,2023-01-25,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97423000AK0295,ACHETEUR_PROBABLE,2023-08-28,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97417000BD1452,ACHETEUR_PROBABLE,2023-07-13,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97408000AT2028,ACHETEUR_PROBABLE,2023-12-26,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97412000AM1001,VENDEUR_CERTAIN,2025-03-31,4,pm,0,0,4,0,0,GEO_AUTRE_COMMUNE:4
97420000AI0909,ACHETEUR_PROBABLE,2023-12-22,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97415000BN0570,ACHETEUR_PROBABLE,2023-12-08,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97410000AS1251,ACHETEUR_PROBABLE,2024-11-29,34,pm,0,22,4,8,0,RNE_DIRIGEANT_75:22;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97421000AV1350,VENDEUR_CERTAIN,2025-07-18,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97409000AP1832,ACHETEUR_PROBABLE,2024-03-20,34,pm,0,22,4,8,0,RNE_DIRIGEANT_75:22;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97404000BA0023,VENDEUR_CERTAIN,2025-04-14,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97411000IE0535,ACHETEUR_PROBABLE,2023-12-06,23,pm,0,0,15,8,0,GEO_HORS_ILE:15;DVF_TENURE_OBS5:8
97423000AH1826,ACHETEUR_PROBABLE,2024-12-10,24,pm,0,12,4,8,0,RNE_DIRIGEANT_65:12;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97413000CX1881,VENDEUR_CERTAIN,2025-09-22,18,pm,10,0,0,8,0,BODACC_CESSION_FONDS:10;DVF_TENURE_OBS5:8
97405000AR1876,ACHETEUR_PROBABLE,2024-04-05,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97420000BC1874,ACHETEUR_PROBABLE,2023-11-29,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97410000AR0660,ACHETEUR_PROBABLE,2024-11-29,34,pm,0,22,4,8,0,RNE_DIRIGEANT_75:22;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97418000AS0958,ACHETEUR_PROBABLE,2023-05-11,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97410000AS1389,ACHETEUR_PROBABLE,2024-11-29,34,pm,0,22,4,8,0,RNE_DIRIGEANT_75:22;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97415000AC0253,VENDEUR_CERTAIN,2025-08-28,28,pm,20,0,0,8,0,BODACC_SAUVEGARDE:20;DVF_TENURE_OBS5:8
97412000CY1096,ACHETEUR_PROBABLE,2024-12-13,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97414000HH0379,ACHETEUR_PROBABLE,2023-09-07,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97415000DE0093,ACHETEUR_PROBABLE,2024-03-28,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97413000AV1606,ACHETEUR_PROBABLE,2023-06-30,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97415000DS1023,ACHETEUR_PROBABLE,2024-11-19,20,pm,0,12,0,8,0,RNE_DIRIGEANT_65:12;DVF_TENURE_OBS5:8
97403000AS1640,VENDEUR_CERTAIN,2025-03-27,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97416000ES1193,ACHETEUR_PROBABLE,2024-07-30,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97412000BT0195,VENDEUR_CERTAIN,2025-12-16,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97416000DN0094,ACHETEUR_PROBABLE,2024-04-30,36,pm,18,18,0,0,0,BODACC_RADIATION:18;RNE_CESSATION:18
97412000BV0178,VENDEUR_CERTAIN,2025-07-07,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97402000AM0013,VENDEUR_CERTAIN,2025-05-26,4,pm,0,0,4,0,0,GEO_AUTRE_COMMUNE:4
97416000ID0202,ACHETEUR_PROBABLE,2024-06-27,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97412000BW1917,ACHETEUR_PROBABLE,2023-12-29,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97411000AL0101,VENDEUR_CERTAIN,2025-04-23,24,pm,0,12,4,8,0,RNE_DIRIGEANT_65:12;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97405000AO0246,ACHETEUR_PROBABLE,2024-07-03,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97408000AC3681,ACHETEUR_PROBABLE,2023-03-24,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97404000AW0235,ACHETEUR_PROBABLE,2023-06-02,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97418000AC0906,ACHETEUR_PROBABLE,2023-07-12,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97408000AO1365,ACHETEUR_PROBABLE,2023-03-30,23,pm,0,0,15,8,0,GEO_HORS_ILE:15;DVF_TENURE_OBS5:8
97401000AO0421,ACHETEUR_PROBABLE,2024-11-07,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97420000BC0551,ACHETEUR_PROBABLE,2023-10-25,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97409000AP0101,ACHETEUR_PROBABLE,2023-12-28,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97416000DE1473,ACHETEUR_PROBABLE,2023-06-30,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97406000AV1301,VENDEUR_CERTAIN,2025-01-22,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97423000AK0072,ACHETEUR_PROBABLE,2023-10-26,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97412000BW1918,ACHETEUR_PROBABLE,2023-12-29,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97401000AS1086,ACHETEUR_PROBABLE,2023-10-11,23,pm,0,0,15,8,0,GEO_HORS_ILE:15;DVF_TENURE_OBS5:8
97422000ED0147,ACHETEUR_PROBABLE,2023-10-23,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97415000BP0014,ACHETEUR_PROBABLE,2024-05-13,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97422000CH0572,ACHETEUR_PROBABLE,2023-04-12,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97418000AS1345,VENDEUR_CERTAIN,2025-06-19,18,pm,10,0,0,8,0,BODACC_CESSION_FONDS:10;DVF_TENURE_OBS5:8
97422000BW3475,ACHETEUR_PROBABLE,2024-12-24,30,pm,0,18,4,8,0,RNE_DIRIGEANT_70:18;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97411000AZ0148,VENDEUR_CERTAIN,2025-12-23,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97416000CR0733,ACHETEUR_PROBABLE,2024-07-26,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97406000AM0378,ACHETEUR_PROBABLE,2023-12-28,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97413000CX0178,VENDEUR_CERTAIN,2025-08-18,4,pm,0,0,4,0,0,GEO_AUTRE_COMMUNE:4
97423000AB1847,ACHETEUR_PROBABLE,2024-12-27,23,pm,0,0,15,8,0,GEO_HORS_ILE:15;DVF_TENURE_OBS5:8
97420000AI0704,ACHETEUR_PROBABLE,2024-12-18,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97416000DT0629,VENDEUR_CERTAIN,2025-08-28,37,pm,0,25,4,8,0,RNE_CESSATION:25;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97423000AB1914,ACHETEUR_PROBABLE,2024-12-18,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97416000CZ0756,ACHETEUR_PROBABLE,2024-06-05,4,pm,0,0,4,0,0,GEO_AUTRE_COMMUNE:4
97404000AY0596,VENDEUR_CERTAIN,2025-10-30,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97415000DE0205,ACHETEUR_PROBABLE,2024-12-16,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97422000BV3008,ACHETEUR_PROBABLE,2024-08-20,4,pm,0,0,4,0,0,GEO_AUTRE_COMMUNE:4
97401000AO1081,ACHETEUR_PROBABLE,2024-09-30,4,pm,0,0,4,0,0,GEO_AUTRE_COMMUNE:4
97415000AZ1704,ACHETEUR_PROBABLE,2024-12-19,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97418000BN0230,ACHETEUR_PROBABLE,2024-12-14,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97411000IE0699,ACHETEUR_PROBABLE,2023-12-06,23,pm,0,0,15,8,0,GEO_HORS_ILE:15;DVF_TENURE_OBS5:8
97414000EO1327,ACHETEUR_PROBABLE,2023-08-25,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97415000BZ0918,ACHETEUR_PROBABLE,2024-12-19,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97416000CS1541,ACHETEUR_PROBABLE,2024-04-30,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97403000AS2056,ACHETEUR_PROBABLE,2024-01-23,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97411000HT0071,ACHETEUR_PROBABLE,2023-06-15,30,pm,0,18,4,8,0,RNE_DIRIGEANT_70:18;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97409000BM1417,ACHETEUR_PROBABLE,2024-06-28,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97406000AR0343,ACHETEUR_PROBABLE,2024-05-27,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97415000AS0702,ACHETEUR_PROBABLE,2023-12-21,12,pm,0,12,0,0,0,RNE_DIRIGEANT_65:12
97422000EN0148,VENDEUR_CERTAIN,2025-09-01,30,pm,0,18,4,8,0,RNE_DIRIGEANT_70:18;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97413000CX2553,VENDEUR_CERTAIN,2025-09-22,18,pm,10,0,0,8,0,BODACC_CESSION_FONDS:10;DVF_TENURE_OBS5:8
97412000CV0989,ACHETEUR_PROBABLE,2024-12-27,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97416000ID0287,ACHETEUR_PROBABLE,2024-06-27,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97419000AR0736,VENDEUR_CERTAIN,2025-06-09,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97411000EM0273,VENDEUR_CERTAIN,2025-03-17,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97424000AI2354,ACHETEUR_PROBABLE,2024-12-13,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97422000BW2626,ACHETEUR_PROBABLE,2023-07-06,30,pm,0,18,4,8,0,RNE_DIRIGEANT_70:18;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97418000AS0787,ACHETEUR_PROBABLE,2024-02-05,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97423000AB1057,ACHETEUR_PROBABLE,2023-03-24,30,pm,0,18,4,8,0,RNE_DIRIGEANT_70:18;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97406000AL0646,ACHETEUR_PROBABLE,2023-09-19,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97416000HV0688,ACHETEUR_PROBABLE,2024-12-19,22,pm,10,0,4,8,0,BODACC_CESSION_FONDS:10;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97409000AN0460,ACHETEUR_PROBABLE,2024-02-12,20,pm,0,12,0,8,0,RNE_DIRIGEANT_65:12;DVF_TENURE_OBS5:8
97416000ET2122,VENDEUR_CERTAIN,2025-02-19,18,pm,10,0,0,8,0,BODACC_CESSION_FONDS:10;DVF_TENURE_OBS5:8
97411000AL0069,VENDEUR_CERTAIN,2025-09-22,27,pm,0,12,15,0,0,RNE_DIRIGEANT_65:12;GEO_HORS_ILE:15
97418000AT2136,VENDEUR_CERTAIN,2025-10-23,18,pm,10,0,0,8,0,BODACC_CESSION_FONDS:10;DVF_TENURE_OBS5:8
97415000DS0474,ACHETEUR_PROBABLE,2024-12-06,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97403000AO0742,ACHETEUR_PROBABLE,2024-03-19,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97420000BC0593,ACHETEUR_PROBABLE,2023-07-05,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97421000BD0076,ACHETEUR_PROBABLE,2023-07-31,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97411000HX0435,ACHETEUR_PROBABLE,2024-05-24,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97416000IA1633,ACHETEUR_PROBABLE,2024-04-29,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97415000DZ0282,ACHETEUR_PROBABLE,2023-11-30,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97408000BN3673,ACHETEUR_PROBABLE,2023-11-28,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97419000AT0006,ACHETEUR_PROBABLE,2024-07-10,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97414000DH1439,VENDEUR_CERTAIN,2025-09-29,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97401000AI0161,ACHETEUR_PROBABLE,2024-08-14,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97421000AH0145,ACHETEUR_PROBABLE,2023-11-24,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97416000ET2120,VENDEUR_CERTAIN,2025-03-14,18,pm,10,0,0,8,0,BODACC_CESSION_FONDS:10;DVF_TENURE_OBS5:8
97416000IL0757,ACHETEUR_PROBABLE,2023-12-04,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97422000BW0220,ACHETEUR_PROBABLE,2024-04-19,16,pm,0,12,4,0,0,RNE_DIRIGEANT_65:12;GEO_AUTRE_COMMUNE:4
97408000AT2084,ACHETEUR_PROBABLE,2023-12-13,30,pm,0,18,4,8,0,RNE_DIRIGEANT_70:18;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97409000AP1252,ACHETEUR_PROBABLE,2023-12-28,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97416000ET2130,VENDEUR_CERTAIN,2025-06-27,18,pm,10,0,0,8,0,BODACC_CESSION_FONDS:10;DVF_TENURE_OBS5:8
97415000DM1487,VENDEUR_CERTAIN,2025-10-30,4,pm,0,0,4,0,0,GEO_AUTRE_COMMUNE:4
97411000DT0300,ACHETEUR_PROBABLE,2024-05-15,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97413000DE1521,ACHETEUR_PROBABLE,2023-08-16,23,pm,0,0,15,8,0,GEO_HORS_ILE:15;DVF_TENURE_OBS5:8
97406000AI0144,ACHETEUR_PROBABLE,2023-05-10,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97401000AR0649,ACHETEUR_PROBABLE,2023-09-22,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97422000CS1542,ACHETEUR_PROBABLE,2024-10-18,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97414000EN2753,ACHETEUR_PROBABLE,2024-12-30,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97413000DE1706,ACHETEUR_PROBABLE,2023-10-04,20,pm,0,12,0,8,0,RNE_DIRIGEANT_65:12;DVF_TENURE_OBS5:8
97416000CX0617,ACHETEUR_PROBABLE,2023-04-28,4,pm,0,0,4,0,0,GEO_AUTRE_COMMUNE:4
97407000AO0435,ACHETEUR_PROBABLE,2024-11-28,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97424000AH0979,ACHETEUR_PROBABLE,2023-03-14,34,pm,0,22,4,8,0,RNE_DIRIGEANT_75:22;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97415000AB0408,VENDEUR_CERTAIN,2025-09-26,25,pm,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97415000EW0558,ACHETEUR_PROBABLE,2023-04-05,11,pm,0,0,3,8,0,GEO_AUTRE_COMMUNE:3;DVF_TENURE_OBS5:8
97422000AD0618,ACHETEUR_PROBABLE,2023-06-02,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97415000BX0252,ACHETEUR_PROBABLE,2024-09-16,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97413000CC0251,VENDEUR_CERTAIN,2025-03-31,4,pm,0,0,4,0,0,GEO_AUTRE_COMMUNE:4
97409000BI0690,ACHETEUR_PROBABLE,2023-07-12,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97415000AY1631,VENDEUR_CERTAIN,2025-08-25,18,pm,10,0,0,8,0,BODACC_CESSION_FONDS:10;DVF_TENURE_OBS5:8
97416000ES1782,ACHETEUR_PROBABLE,2023-01-20,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97415000EP1165,VENDEUR_CERTAIN,2025-04-16,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97422000AR0689,ACHETEUR_PROBABLE,2024-07-17,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97416000ES2075,ACHETEUR_PROBABLE,2023-06-23,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97412000AZ0949,ACHETEUR_PROBABLE,2024-09-27,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97416000IL0313,ACHETEUR_PROBABLE,2023-11-17,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97418000AW0534,ACHETEUR_PROBABLE,2023-10-05,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97411000EZ0106,VENDEUR_CERTAIN,2025-03-31,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97404000AW0696,ACHETEUR_PROBABLE,2023-10-10,24,pm,0,12,4,8,0,RNE_DIRIGEANT_65:12;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97415000BZ0929,ACHETEUR_PROBABLE,2024-12-19,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97409000AR1436,ACHETEUR_PROBABLE,2024-02-12,20,pm,0,12,0,8,0,RNE_DIRIGEANT_65:12;DVF_TENURE_OBS5:8
