         commune         |    lib    | n_parcelles | ev_opportunite | ev_a_creuser | ev_exclue_fp | v2_brulante | v2_chaude | v2_a_creuser | v2_reserve 
 Saint-Paul              | U2e       |          48 |              1 |           11 |           36 |           0 |         0 |           11 |          1
 Saint-Paul              | U3e       |          96 |              1 |           24 |           71 |           0 |         0 |           21 |          0
 Saint-Paul              | UE        |           7 |              2 |            2 |            3 |           0 |         0 |            3 |          1
 Saint-Paul              | UEm       |           9 |              4 |            1 |            4 |           0 |         0 |            5 |          0
 Saint-Paul              | Ue        |           6 |              0 |            1 |            5 |           0 |         0 |            1 |          0
 Saint-Pierre            | AUazc     |           5 |              0 |            4 |            1 |           0 |         0 |            4 |          0
 Saint-Pierre            | AUazi     |          18 |              5 |            9 |            4 |           0 |         0 |           11 |          3
 Saint-Pierre            | Uaza      |         227 |              3 |           83 |          141 |           0 |         1 |           76 |          9
 Saint-Pierre            | Uazc      |         127 |              4 |           59 |           64 |           0 |         3 |           52 |          8
 Saint-Pierre            | Uazi      |         560 |             42 |          184 |          334 |           0 |         6 |          203 |         17
 Saint-Pierre            | Uazp      |         369 |              3 |          201 |          165 |           0 |         1 |          131 |         72
 Saint-Pierre            | Uazpc     |          10 |              0 |            4 |            6 |           0 |         0 |            4 |          0
 Saint-Pierre            | Uemi      |           3 |              0 |            3 |            0 |           0 |         0 |            3 |          0
 Sainte-Marie            | 1AUep     |          27 |             12 |           12 |            3 |           0 |         3 |           21 |          0
 Sainte-Marie            | UAz       |           4 |              2 |            1 |            1 |           0 |         1 |            2 |          0
 Sainte-Marie            | UEa       |          32 |              7 |           19 |            6 |           0 |         0 |           13 |         13
 Sainte-Marie            | UEc       |         124 |             11 |           40 |           73 |           0 |         1 |           44 |          6
 Sainte-Marie            | UEm       |         605 |             40 |          194 |          371 |           0 |         3 |          209 |         22
 Sainte-Marie            | UEp       |         117 |             21 |           27 |           69 |           0 |         0 |           39 |          9
 Sainte-Rose             | 1AUe      |           6 |              0 |            0 |            6 |           0 |         0 |            0 |          0
 Sainte-Rose             | Ue        |           3 |              0 |            0 |            3 |           0 |         0 |            0 |          0
 Sainte-Suzanne          | 1AUe      |           6 |              0 |            0 |            6 |           0 |         0 |            0 |          0
 Sainte-Suzanne          | UE        |          95 |              6 |           28 |           61 |           0 |         0 |           34 |          0
 Salazie                 | AUe       |           1 |              0 |            1 |            0 |           0 |         0 |            1 |          0
(90 lignes)

