segment,pool_rr_actuel,pool_rr_C_bati,pool_delta,pool_ic_bas,pool_ic_haut,pool_statut,meta_delta,meta_ic_bas,meta_ic_haut,meta_statut
nu,4.697,4.776,-0.319,-0.961,0.244,dans le bruit,-0.08,-0.542,0.381,dans le bruit
bati,6.042,6.359,0.339,-0.084,0.74,dans le bruit,0.351,-0.049,0.75,dans le bruit
