idu,commune,surface_m2,residuel_m2,ratio_lot,facade_m,zone,elim_ratio,elim_zone_an,elim_rnu_hors_pau
97415000BI0215,Saint-Paul,3365,2357,0.700,45.1,U,True,False,False
97415000BK0067,Saint-Paul,3270,2651,0.811,54.9,N,True,True,False
97415000BN1051,Saint-Paul,2353,1439,0.612,14.3,U,True,False,False
97415000BN1252,Saint-Paul,2914,1773,0.608,16.5,U,True,False,False
97415000BN0657,Saint-Paul,1894,953,0.503,42.8,U,True,False,False
97415000BN0298,Saint-Paul,3155,2316,0.734,21.9,U,True,False,False
97415000BS0009,Saint-Paul,3479,2710,0.779,31.5,U,True,False,False
97415000BV1152,Saint-Paul,5747,3040,0.529,73.1,U,True,False,False
97415000BV0406,Saint-Paul,2053,1585,0.772,74.7,U,True,False,False
97415000BV0883,Saint-Paul,4843,2790,0.576,16.6,U,True,False,False
97415000AB0719,Saint-Paul,1499,886,0.591,34.1,AUs,True,False,False
97415000AB0687,Saint-Paul,4468,3299,0.738,32.9,AUs,True,False,False
97415000AB0618,Saint-Paul,1162,751,0.646,86.6,AUc,True,False,False
97415000AC0197,Saint-Paul,2245,1288,0.574,37.2,U,True,False,False
97415000AC0003,Saint-Paul,3629,1760,0.485,14.4,U,False,False,False
97415000AC0061,Saint-Paul,2061,1559,0.757,35.3,A,True,True,False
97415000AC0024,Saint-Paul,2551,1807,0.708,95.6,A,True,True,False
97415000AD0043,Saint-Paul,4760,1753,0.368,71.3,U,False,False,False
97415000AD0253,Saint-Paul,1611,1028,0.638,67.1,U,True,False,False
97415000AE0109,Saint-Paul,2597,1820,0.701,52.2,A,True,True,False
97415000AE0108,Saint-Paul,2081,1440,0.692,41.4,A,True,True,False
97415000AH0189,Saint-Paul,5885,5246,0.892,134.1,U,True,False,False
97415000AH1064,Saint-Paul,4936,3677,0.745,201.2,U,True,False,False
97415000AH0108,Saint-Paul,4221,1765,0.418,66.8,U,False,False,False
97415000AH0005,Saint-Paul,3201,2149,0.671,24.1,A,True,True,False
97415000AH0350,Saint-Paul,2608,2065,0.792,114.5,A,True,True,False
97415000AH0390,Saint-Paul,3126,2248,0.719,108.1,AUc,True,False,False
97415000AH0443,Saint-Paul,2048,1336,0.652,66.9,AUc,True,False,False
97415000AH0513,Saint-Paul,2405,1757,0.731,130.1,U,True,False,False
97415000AH0355,Saint-Paul,1317,865,0.657,12.1,AUc,True,False,False
97415000AH0256,Saint-Paul,2433,1771,0.728,30.9,AUc,True,False,False
97415000AH0259,Saint-Paul,2352,1769,0.752,12.0,AUc,True,False,False
97415000AH0282,Saint-Paul,5926,5073,0.856,21.2,AUc,True,False,False
97415000AH0312,Saint-Paul,2822,1945,0.689,194.4,AUc,True,False,False
97415000AH1122,Saint-Paul,1453,980,0.674,86.9,AUc,True,False,False
97415000AH0391,Saint-Paul,1668,1086,0.651,63.0,AUc,True,False,False
97415000AH0065,Saint-Paul,1666,1151,0.691,20.2,AUc,True,False,False
97415000AH0966,Saint-Paul,1265,860,0.680,42.1,AUc,True,False,False
97415000AH1309,Saint-Paul,2226,850,0.382,25.9,AUc,False,False,False
97415000AH0331,Saint-Paul,2965,2524,0.851,29.6,AUc,True,False,False
97415000AH0496,Saint-Paul,2336,1347,0.577,23.1,AUc,True,False,False
97415000AH0105,Saint-Paul,1821,1229,0.675,43.1,AUc,True,False,False
97415000AH0287,Saint-Paul,3156,2260,0.716,44.6,AUc,True,False,False
97415000AH0072,Saint-Paul,2478,1852,0.748,260.8,AUc,True,False,False
97415000AH0315,Saint-Paul,1742,1202,0.690,66.2,AUc,True,False,False
97415000AH0498,Saint-Paul,2251,1804,0.801,12.0,AUc,True,False,False
97415000AH0499,Saint-Paul,5454,4736,0.868,48.5,AUc,True,False,False
97415000AH0345,Saint-Paul,1984,1465,0.738,34.4,AUc,True,False,False
97415000AH0235,Saint-Paul,2519,2102,0.835,13.3,AUc,True,False,False
97415000AH0101,Saint-Paul,2234,1434,0.642,83.4,AUc,True,False,False
97415000AH0840,Saint-Paul,3955,3307,0.836,12.3,AUc,True,False,False
97415000AH0487,Saint-Paul,1782,1275,0.716,18.2,AUc,True,False,False
97415000AH0094,Saint-Paul,2518,2088,0.829,13.4,A,True,True,False
97415000AI0217,Saint-Paul,1901,1226,0.645,84.4,A,True,True,False
97415000AM0097,Saint-Paul,1620,1163,0.718,22.7,N,True,True,False
97415000AM0108,Saint-Paul,1702,1180,0.693,24.4,N,True,True,False
97415000AS1521,Saint-Paul,4530,3032,0.669,88.3,A,True,True,False
97415000AS1241,Saint-Paul,3572,2872,0.804,14.6,N,True,True,False
97415000AS1570,Saint-Paul,4943,4467,0.904,176.7,A,True,True,False
97415000AS0448,Saint-Paul,5545,4885,0.881,12.1,N,True,True,False
97415000AS0505,Saint-Paul,4603,3996,0.868,51.8,A,True,True,False
97415000AS0774,Saint-Paul,3791,3136,0.827,71.2,A,True,True,False
97415000AS1794,Saint-Paul,4945,4213,0.852,35.0,A,True,True,False
97415000AS0370,Saint-Paul,5778,4521,0.783,20.2,A,True,True,False
97415000AS0328,Saint-Paul,3450,2888,0.837,43.6,U,True,False,False
97415000AS1692,Saint-Paul,3461,2966,0.857,57.5,A,True,True,False
97415000AS0374,Saint-Paul,3688,2993,0.812,39.4,A,True,True,False
97415000AS0469,Saint-Paul,4043,3487,0.863,25.7,N,True,True,False
97415000AS0419,Saint-Paul,2313,1687,0.729,13.9,A,True,True,False
97415000AS0427,Saint-Paul,4823,3833,0.795,36.5,A,True,True,False
97415000AS0970,Saint-Paul,2318,1693,0.730,83.2,A,True,True,False
97415000AS0553,Saint-Paul,4855,4363,0.899,12.6,A,True,True,False
97415000AS0968,Saint-Paul,1683,1283,0.762,22.1,A,True,True,False
97415000AS0581,Saint-Paul,1803,1094,0.607,66.6,A,True,True,False
97415000AS0291,Saint-Paul,1717,1218,0.710,76.7,A,True,True,False
97415000AS0383,Saint-Paul,5300,4764,0.899,21.4,U,True,False,False
97415000AS0489,Saint-Paul,2018,1508,0.747,118.9,A,True,True,False
97415000AS0250,Saint-Paul,1874,1437,0.767,46.5,A,True,True,False
97415000AS0881,Saint-Paul,1415,948,0.670,17.2,U,True,False,False
97415000AS0501,Saint-Paul,2580,1550,0.601,26.1,U,True,False,False
97415000AS0568,Saint-Paul,1312,818,0.624,36.5,A,True,True,False
97415000AS1229,Saint-Paul,1755,1264,0.721,56.2,U,True,False,False
97415000AS1240,Saint-Paul,1249,762,0.610,20.0,U,True,False,False
97415000AS0136,Saint-Paul,2111,1464,0.693,21.7,U,True,False,False
97415000AS0135,Saint-Paul,3831,2611,0.682,49.6,U,True,False,False
97415000AS0339,Saint-Paul,1760,1258,0.714,148.6,U,True,False,False
97415000AS1753,Saint-Paul,1628,1214,0.745,34.8,N,True,True,False
97415000AS0833,Saint-Paul,2267,1478,0.652,20.6,U,True,False,False
97415000AS0132,Saint-Paul,1961,1523,0.777,13.2,U,True,False,False
97415000AS0904,Saint-Paul,4504,3651,0.811,88.7,U,True,False,False
97415000AS1210,Saint-Paul,2157,1509,0.700,17.2,U,True,False,False
97415000AT0243,Saint-Paul,4043,3288,0.813,34.4,N,True,True,False
97415000AT0611,Saint-Paul,2829,1709,0.604,72.9,U,True,False,False
97415000AT0565,Saint-Paul,2912,2477,0.851,128.3,A,True,True,False
97415000AT0102,Saint-Paul,1800,1048,0.582,232.4,U,True,False,False
97415000AT0354,Saint-Paul,4818,3734,0.775,67.0,U,True,False,False
97415000AT0355,Saint-Paul,4777,3756,0.786,122.4,U,True,False,False
97415000AT0137,Saint-Paul,1842,919,0.499,66.9,U,False,False,False
97415000AT0203,Saint-Paul,2270,1596,0.703,63.8,U,True,False,False
97415000AT0099,Saint-Paul,2076,1572,0.757,17.6,U,True,False,False
97415000AT0150,Saint-Paul,1420,1011,0.712,109.4,U,True,False,False
97415000AT0004,Saint-Paul,2108,1554,0.737,34.2,U,True,False,False
97415000AV0164,Saint-Paul,4772,2720,0.570,189.6,U,True,False,False
97415000AV0104,Saint-Paul,3201,2553,0.797,172.5,U,True,False,False
97415000AV0005,Saint-Paul,5666,3707,0.654,32.3,N,True,True,False
97415000AV0780,Saint-Paul,2462,1845,0.749,63.0,U,True,False,False
97415000AV0291,Saint-Paul,2524,1655,0.656,36.6,U,True,False,False
97415000AV0442,Saint-Paul,1645,1199,0.729,51.0,U,True,False,False
97415000AV0285,Saint-Paul,2563,2139,0.835,21.2,U,True,False,False
97415000AV0538,Saint-Paul,1777,1169,0.658,73.4,U,True,False,False
97415000AV0774,Saint-Paul,1974,1412,0.715,142.0,U,True,False,False
97415000AV0473,Saint-Paul,2013,1410,0.700,30.9,U,True,False,False
97415000AV0139,Saint-Paul,3135,2405,0.767,31.2,U,True,False,False
97415000AV0970,Saint-Paul,1979,1369,0.692,39.6,U,True,False,False
97415000AV0009,Saint-Paul,2357,1628,0.691,12.6,N,True,True,False
97415000AV0038,Saint-Paul,3192,2455,0.769,81.4,N,True,True,False
97415000AV0766,Saint-Paul,1073,664,0.619,27.9,N,True,True,False
97415000AV0010,Saint-Paul,4033,2632,0.652,55.8,U,True,False,False
97415000AV0006,Saint-Paul,1970,1510,0.766,48.0,U,True,False,False
97415000AV0698,Saint-Paul,2603,2173,0.835,152.9,A,True,True,False
97415000AW0187,Saint-Paul,5747,3486,0.607,100.9,U,True,False,False
97415000AW0391,Saint-Paul,2190,1412,0.645,35.0,U,True,False,False
97415000AW1982,Saint-Paul,1854,1394,0.752,14.8,U,True,False,False
97415000AW0712,Saint-Paul,1817,1139,0.626,83.6,U,True,False,False
97415000AW0895,Saint-Paul,1565,817,0.522,60.5,U,True,False,False
97415000AW2157,Saint-Paul,1848,1183,0.640,94.3,U,True,False,False
97415000AW1441,Saint-Paul,2776,1827,0.658,102.6,U,True,False,False
97415000AW2138,Saint-Paul,4939,4080,0.826,85.8,U,True,False,False
97415000AW2160,Saint-Paul,1433,984,0.687,45.5,U,True,False,False
97415000AW1735,Saint-Paul,1741,1119,0.643,45.4,U,True,False,False
97415000AW0327,Saint-Paul,1974,1146,0.580,25.5,U,True,False,False
97415000AW1532,Saint-Paul,1790,548,0.306,25.5,U,False,False,False
97415000AW1233,Saint-Paul,2299,1759,0.765,32.4,U,True,False,False
97415000AW0875,Saint-Paul,4528,3848,0.850,45.9,U,True,False,False
97415000AW0324,Saint-Paul,1666,980,0.588,13.3,U,True,False,False
97415000AW0569,Saint-Paul,2654,2161,0.814,49.7,U,True,False,False
97415000AW0299,Saint-Paul,2501,1916,0.766,163.8,U,True,False,False
97415000AW1159,Saint-Paul,1088,645,0.593,50.7,U,True,False,False
97415000AW1103,Saint-Paul,2708,1736,0.641,47.2,U,True,False,False
97415000AW1503,Saint-Paul,3889,2381,0.612,40.1,U,True,False,False
97415000AW1093,Saint-Paul,4110,3306,0.805,72.2,N,True,True,False
97415000AW1316,Saint-Paul,1238,806,0.651,44.9,U,True,False,False
97415000AW0741,Saint-Paul,3743,3135,0.838,97.2,U,True,False,False
97415000AW1880,Saint-Paul,2554,1764,0.691,165.0,U,True,False,False
97415000AW1886,Saint-Paul,1792,1313,0.733,15.2,U,True,False,False
97415000AW1359,Saint-Paul,2352,1823,0.775,16.3,U,True,False,False
97415000AW0151,Saint-Paul,2238,1527,0.682,54.2,U,True,False,False
97415000AX0116,Saint-Paul,3104,2447,0.789,33.0,U,True,False,False
97415000AX0745,Saint-Paul,4185,2100,0.502,23.8,U,True,False,False
97415000AX1059,Saint-Paul,3238,2609,0.806,99.3,U,True,False,False
97415000AX1050,Saint-Paul,2655,1804,0.680,83.8,U,True,False,False
97415000AX0588,Saint-Paul,1641,1156,0.705,56.0,U,True,False,False
97415000AY0047,Saint-Paul,3782,2836,0.750,93.0,U,True,False,False
97415000AY1066,Saint-Paul,3136,2703,0.862,123.9,U,True,False,False
97415000AY0790,Saint-Paul,1249,773,0.619,29.2,N,True,True,False
97415000AY1082,Saint-Paul,2831,2297,0.811,156.7,N,True,True,False
97415000AY0059,Saint-Paul,3149,2120,0.673,58.9,U,True,False,False
97415000AY0062,Saint-Paul,2903,2184,0.752,64.7,U,True,False,False
97415000AY1148,Saint-Paul,2574,1744,0.678,37.3,U,True,False,False
97415000AY0005,Saint-Paul,3134,2722,0.869,26.4,U,True,False,False
97415000AY0636,Saint-Paul,5478,3914,0.715,43.7,U,True,False,False
97415000AY0027,Saint-Paul,3706,1881,0.508,12.2,U,True,False,False
97415000AY0699,Saint-Paul,2410,1595,0.662,29.7,U,True,False,False
97415000AY1203,Saint-Paul,1585,1080,0.682,13.9,U,True,False,False
97415000AZ0418,Saint-Paul,2875,2459,0.855,44.1,U,True,False,False
97415000AZ0147,Saint-Paul,3332,2910,0.873,163.7,A,True,True,False
97415000AZ0363,Saint-Paul,4164,2878,0.691,27.5,N,True,True,False
97415000AZ0362,Saint-Paul,4067,3285,0.808,111.9,A,True,True,False
97415000AZ1117,Saint-Paul,3976,3036,0.764,36.6,N,True,True,False
97415000AZ0441,Saint-Paul,2088,1614,0.773,12.0,U,True,False,False
97415000AZ0440,Saint-Paul,2697,1961,0.727,12.5,U,True,False,False
97415000AZ0634,Saint-Paul,3202,2445,0.764,243.4,U,True,False,False
97415000AZ0678,Saint-Paul,1524,1044,0.685,105.0,U,True,False,False
97415000AZ0617,Saint-Paul,2742,2312,0.843,56.2,A,True,True,False
97415000AZ1342,Saint-Paul,2942,2090,0.710,151.8,U,True,False,False
97415000AZ0463,Saint-Paul,1758,1199,0.682,13.3,U,True,False,False
97415000AZ0724,Saint-Paul,1957,1498,0.765,58.3,U,True,False,False
97415000AZ0616,Saint-Paul,2845,2249,0.790,52.3,A,True,True,False
97415000AZ0312,Saint-Paul,2669,2031,0.761,55.5,U,True,False,False
97415000AZ1372,Saint-Paul,1179,741,0.628,28.2,U,True,False,False
97415000AZ0196,Saint-Paul,3022,2443,0.808,43.3,U,True,False,False
97415000AZ1226,Saint-Paul,3799,3363,0.885,92.5,U,True,False,False
97415000AZ1233,Saint-Paul,1187,736,0.620,69.9,U,True,False,False
97415000AZ0693,Saint-Paul,2604,2110,0.810,20.2,U,True,False,False
97415000AZ0694,Saint-Paul,2334,1890,0.810,42.8,N,True,True,False
97415000AZ0224,Saint-Paul,4493,3850,0.857,18.2,U,True,False,False
97415000AZ0297,Saint-Paul,1554,992,0.639,98.8,U,True,False,False
97415000AZ1242,Saint-Paul,1447,917,0.634,67.1,U,True,False,False
97415000AZ0113,Saint-Paul,2365,1698,0.718,16.0,U,True,False,False
97415000AZ0257,Saint-Paul,5053,4032,0.798,105.9,N,True,True,False
97415000AZ0258,Saint-Paul,2534,2040,0.805,86.2,N,True,True,False
97415000AZ0517,Saint-Paul,5152,4005,0.777,80.8,N,True,True,False
97415000AZ0828,Saint-Paul,3942,3467,0.879,53.3,U,True,False,False
97415000AZ0230,Saint-Paul,2270,1607,0.708,35.9,U,True,False,False
97415000AZ1127,Saint-Paul,2176,1538,0.707,97.1,U,True,False,False
97415000AZ0607,Saint-Paul,2905,1753,0.603,70.6,U,True,False,False
97415000AZ1745,Saint-Paul,2374,1935,0.815,25.8,U,True,False,False
97415000AZ0040,Saint-Paul,2454,1448,0.590,92.9,U,True,False,False
97415000AZ0245,Saint-Paul,3650,2639,0.723,60.5,U,True,False,False
97415000AZ0053,Saint-Paul,1954,1404,0.719,255.3,U,True,False,False
97415000AZ0032,Saint-Paul,1919,1338,0.697,112.1,U,True,False,False
97415000AZ0433,Saint-Paul,3253,2634,0.810,105.3,U,True,False,False
97415000AZ1990,Saint-Paul,1842,1206,0.655,27.1,U,True,False,False
97415000AZ1740,Saint-Paul,1391,967,0.695,46.0,U,True,False,False
97415000AZ1034,Saint-Paul,1803,1324,0.734,83.8,U,True,False,False
97415000BC0082,Saint-Paul,4153,2822,0.680,113.3,N,True,True,False
97415000BC0116,Saint-Paul,3855,2507,0.650,15.1,N,True,True,False
97415000BC0026,Saint-Paul,4656,1868,0.401,16.7,N,False,True,False
97415000BC0452,Saint-Paul,2751,1133,0.412,13.0,U,False,False,False
97415000BC0079,Saint-Paul,3857,3062,0.794,13.8,N,True,True,False
97415000BC0090,Saint-Paul,2451,1460,0.595,30.8,U,True,False,False
97415000BC0067,Saint-Paul,2050,955,0.466,61.4,U,False,False,False
97415000BC0038,Saint-Paul,2447,975,0.398,12.2,U,False,False,False
97415000BC0110,Saint-Paul,3495,2405,0.688,26.9,N,True,True,False
97415000BC0440,Saint-Paul,1694,984,0.581,28.3,U,True,False,False
97415000BC0266,Saint-Paul,3063,2172,0.709,17.5,N,True,True,False
97415000BH0174,Saint-Paul,3934,3201,0.814,12.0,U,True,False,False
97415000BI0038,Saint-Paul,4061,2472,0.609,16.0,U,True,False,False
97415000BI0503,Saint-Paul,5429,1858,0.342,15.4,U,False,False,False
97415000BV0867,Saint-Paul,2005,1230,0.613,51.1,U,True,False,False
97415000BV1295,Saint-Paul,2236,1784,0.798,31.8,U,True,False,False
97415000BV1430,Saint-Paul,3036,2196,0.723,17.6,AUc,True,False,False
97415000BV1445,Saint-Paul,5132,3145,0.613,25.6,U,True,False,False
97415000BV0238,Saint-Paul,1923,1249,0.649,20.8,N,True,True,False
97415000BV0243,Saint-Paul,5494,4180,0.761,59.3,U,True,False,False
97415000BW0091,Saint-Paul,1226,766,0.625,17.6,U,True,False,False
97415000BW0398,Saint-Paul,3474,2458,0.708,79.2,U,True,False,False
97415000BW0094,Saint-Paul,5964,4479,0.751,60.3,U,True,False,False
97415000BW0119,Saint-Paul,2258,996,0.441,24.4,U,False,False,False
97415000BW0356,Saint-Paul,2030,1170,0.576,27.1,N,True,True,False
97415000BW2058,Saint-Paul,1879,1275,0.679,25.8,U,True,False,False
97415000BW0290,Saint-Paul,1914,1405,0.734,98.8,U,True,False,False
97415000BW0261,Saint-Paul,3324,2430,0.731,45.4,U,True,False,False
97415000BW0826,Saint-Paul,4922,1486,0.302,16.8,U,False,False,False
97415000BW0534,Saint-Paul,2384,1904,0.799,17.5,U,True,False,False
97415000BW1425,Saint-Paul,2379,1769,0.744,19.7,U,True,False,False
97415000BW0638,Saint-Paul,2190,1628,0.743,75.7,U,True,False,False
97415000BW1207,Saint-Paul,1093,539,0.493,19.4,U,False,False,False
97415000BW0891,Saint-Paul,1925,1478,0.768,15.6,N,True,True,False
97415000BW0892,Saint-Paul,2784,2039,0.733,59.9,N,True,True,False
97415000BW0211,Saint-Paul,3630,2521,0.695,19.3,U,True,False,False
97415000BW0886,Saint-Paul,1320,914,0.692,44.2,U,True,False,False
97415000BW0983,Saint-Paul,1849,1325,0.717,49.0,U,True,False,False
97415000BW2102,Saint-Paul,4959,3971,0.801,19.4,U,True,False,False
97415000BW2080,Saint-Paul,1630,1031,0.633,33.1,U,True,False,False
97415000BW0643,Saint-Paul,3624,2767,0.764,37.1,U,True,False,False
97415000BW0045,Saint-Paul,4510,3515,0.779,44.0,U,True,False,False
97415000BW0076,Saint-Paul,4105,2997,0.730,134.8,U,True,False,False
97415000BW0075,Saint-Paul,3808,2085,0.547,29.9,U,True,False,False
97415000BX0149,Saint-Paul,1815,1269,0.699,43.6,U,True,False,False
97415000BX0142,Saint-Paul,2333,1722,0.738,54.7,U,True,False,False
97415000BY0143,Saint-Paul,3682,2266,0.616,343.8,A,True,True,False
97415000BY0281,Saint-Paul,4262,3739,0.877,39.9,A,True,True,False
97415000BY0280,Saint-Paul,3854,3009,0.781,68.2,A,True,True,False
97415000BY0337,Saint-Paul,3404,2605,0.765,20.5,U,True,False,False
97415000BY0107,Saint-Paul,4748,2839,0.598,209.2,U,True,False,False
97415000BY0434,Saint-Paul,1038,568,0.547,73.3,U,True,False,False
97415000BY0410,Saint-Paul,1906,1181,0.620,112.7,U,True,False,False
97415000BY0182,Saint-Paul,3746,2780,0.742,17.3,A,True,True,False
97415000BY0196,Saint-Paul,1363,892,0.655,16.7,U,True,False,False
97415000BY0501,Saint-Paul,3170,2677,0.845,63.4,A,True,True,False
97415000BY0261,Saint-Paul,2436,1696,0.696,31.1,N,True,True,False
97415000BY0004,Saint-Paul,3266,1944,0.595,54.0,U,True,False,False
97415000BZ0601,Saint-Paul,3154,2618,0.830,13.0,A,True,True,False
97415000BZ0728,Saint-Paul,4237,3581,0.845,14.7,A,True,True,False
97415000BZ0246,Saint-Paul,5090,4346,0.854,98.9,U,True,False,False
97415000BZ0254,Saint-Paul,5914,4500,0.761,96.5,A,True,True,False
97415000BZ0071,Saint-Paul,3312,2870,0.867,34.5,A,True,True,False
97415000BZ0470,Saint-Paul,2493,2033,0.815,68.7,A,True,True,False
97415000BZ0424,Saint-Paul,2885,2174,0.754,23.2,A,True,True,False
97415000BZ0729,Saint-Paul,5141,4311,0.838,15.0,A,True,True,False
97415000BZ0781,Saint-Paul,2572,1693,0.658,143.1,A,True,True,False
97415000BZ0817,Saint-Paul,1859,1441,0.775,54.4,A,True,True,False
97415000BZ0245,Saint-Paul,2508,1791,0.714,104.4,U,True,False,False
97415000BZ0783,Saint-Paul,2541,1914,0.753,12.2,A,True,True,False
97415000BZ0520,Saint-Paul,1858,1331,0.716,62.4,A,True,True,False
97415000BZ0587,Saint-Paul,1763,1315,0.746,14.8,A,True,True,False
97415000BZ0131,Saint-Paul,3420,2097,0.613,18.3,A,True,True,False
97415000BZ1069,Saint-Paul,1746,1193,0.683,41.1,A,True,True,False
97415000BZ0472,Saint-Paul,4467,3736,0.836,77.9,A,True,True,False
97415000BZ0014,Saint-Paul,4163,3250,0.781,78.4,U,True,False,False
97415000BZ0671,Saint-Paul,2327,1870,0.803,37.1,A,True,True,False
97415000BZ1083,Saint-Paul,3371,2417,0.717,18.1,A,True,True,False
97415000BZ0657,Saint-Paul,2987,2559,0.857,109.0,U,True,False,False
97415000BZ0564,Saint-Paul,2092,1631,0.780,17.8,A,True,True,False
97415000BZ0037,Saint-Paul,1218,682,0.560,97.9,U,True,False,False
97415000CD0447,Saint-Paul,3456,2660,0.770,15.8,U,True,False,False
97415000CD0476,Saint-Paul,5294,4685,0.885,193.9,A,True,True,False
97415000CD0485,Saint-Paul,5391,3666,0.680,96.6,N,True,True,False
97415000CD0408,Saint-Paul,3728,3121,0.837,111.8,A,True,True,False
97415000CD0596,Saint-Paul,3544,3113,0.878,49.5,A,True,True,False
97415000CD0421,Saint-Paul,3399,2774,0.816,162.2,A,True,True,False
97415000CD0335,Saint-Paul,2479,1770,0.714,46.3,A,True,True,False
97415000CD0740,Saint-Paul,2162,1586,0.734,18.9,U,True,False,False
97415000CD0443,Saint-Paul,2637,2058,0.780,28.7,U,True,False,False
97415000CD0703,Saint-Paul,1713,1182,0.690,36.9,U,True,False,False
97415000CD0026,Saint-Paul,4637,4095,0.883,77.7,A,True,True,False
97415000CD0419,Saint-Paul,3415,2872,0.841,26.6,U,True,False,False
97415000CD0628,Saint-Paul,2907,2394,0.823,51.2,A,True,True,False
97415000CD0646,Saint-Paul,1806,1299,0.719,89.4,A,True,True,False
97415000CD0611,Saint-Paul,1444,956,0.662,60.7,A,True,True,False
97415000CE0073,Saint-Paul,3672,3172,0.864,66.4,A,True,True,False
97415000CE0113,Saint-Paul,3235,2441,0.754,20.7,A,True,True,False
97415000CE0149,Saint-Paul,3058,2605,0.852,307.4,A,True,True,False
97415000CE0150,Saint-Paul,2144,1555,0.725,62.6,A,True,True,False
97415000CE0151,Saint-Paul,2793,2266,0.811,64.7,A,True,True,False
97415000CE0179,Saint-Paul,2873,2360,0.821,44.4,A,True,True,False
97415000CE0184,Saint-Paul,1237,746,0.603,23.9,A,True,True,False
97415000CH0033,Saint-Paul,5722,3750,0.655,62.5,U,True,False,False
97415000CH2023,Saint-Paul,5857,4822,0.823,23.0,U,True,False,False
97415000CH2206,Saint-Paul,5500,4044,0.735,43.4,N,True,True,False
97415000CH1339,Saint-Paul,2722,2287,0.840,18.4,N,True,True,False
97415000CH1360,Saint-Paul,3300,2454,0.744,22.8,A,True,True,False
97415000CH2683,Saint-Paul,2831,2375,0.839,13.0,N,True,True,False
97415000CH2225,Saint-Paul,4455,3786,0.850,13.5,A,True,True,False
97415000CH0022,Saint-Paul,2508,1914,0.763,36.2,U,True,False,False
97415000CH2155,Saint-Paul,2055,1563,0.760,35.5,U,True,False,False
97415000CH2156,Saint-Paul,1975,1513,0.766,25.2,U,True,False,False
97415000CH1419,Saint-Paul,1794,1365,0.761,46.8,A,True,True,False
97415000CH0785,Saint-Paul,1444,978,0.677,33.2,A,True,True,False
97415000CH2009,Saint-Paul,2126,1717,0.807,78.5,A,True,True,False
97415000CH0178,Saint-Paul,1840,1307,0.710,16.4,U,True,False,False
97415000CH2012,Saint-Paul,1844,1432,0.776,61.9,A,True,True,False
97415000CH1193,Saint-Paul,2742,2118,0.772,40.8,A,True,True,False
97415000CH2014,Saint-Paul,1708,1236,0.723,47.7,A,True,True,False
97415000CH1760,Saint-Paul,3384,2404,0.710,38.0,A,True,True,False
97415000CH2163,Saint-Paul,2982,2433,0.816,57.4,A,True,True,False
97415000CH2712,Saint-Paul,2178,1183,0.543,18.9,U,True,False,False
97415000CH0746,Saint-Paul,1949,1312,0.673,30.4,U,True,False,False
97415000CH2893,Saint-Paul,1603,1098,0.685,57.9,U,True,False,False
97415000CH0220,Saint-Paul,2119,1439,0.679,38.1,U,True,False,False
97415000CH1601,Saint-Paul,1917,1429,0.745,40.3,A,True,True,False
97415000CH1600,Saint-Paul,1836,1248,0.680,21.4,U,True,False,False
97415000CH0239,Saint-Paul,1530,1020,0.667,35.6,U,True,False,False
97415000CH2106,Saint-Paul,1508,930,0.617,18.1,A,True,True,False
97415000CH1550,Saint-Paul,2326,1687,0.725,39.0,A,True,True,False
97415000CH0726,Saint-Paul,1579,1120,0.710,85.2,U,True,False,False
97415000CH1395,Saint-Paul,1870,1385,0.741,32.4,U,True,False,False
97415000CH1658,Saint-Paul,1779,1243,0.699,12.6,U,True,False,False
97415000CH1199,Saint-Paul,1833,1379,0.753,142.3,U,True,False,False
97415000CH2803,Saint-Paul,1327,893,0.673,14.4,U,True,False,False
97415000CH2203,Saint-Paul,2889,2456,0.850,12.3,A,True,True,False
97415000CH1703,Saint-Paul,1498,987,0.659,76.1,U,True,False,False
97415000CH2676,Saint-Paul,2576,1996,0.775,124.9,A,True,True,False
97415000CH1167,Saint-Paul,1883,1250,0.664,25.2,A,True,True,False
97415000CH2456,Saint-Paul,4391,3707,0.844,34.0,N,True,True,False
97415000CH1701,Saint-Paul,2289,1816,0.793,51.8,U,True,False,False
97415000CH1699,Saint-Paul,2428,1920,0.791,76.9,U,True,False,False
97415000CH3276,Saint-Paul,1519,1000,0.658,29.3,A,True,True,False
97415000CH0572,Saint-Paul,3239,2746,0.848,32.5,A,True,True,False
97415000CH0556,Saint-Paul,2887,1601,0.555,16.6,U,True,False,False
97415000CH1520,Saint-Paul,2326,1828,0.786,23.3,A,True,True,False
97415000CH0583,Saint-Paul,2297,1781,0.776,66.1,U,True,False,False
97415000CH0580,Saint-Paul,2202,1607,0.730,45.9,U,True,False,False
97415000CH3075,Saint-Paul,2726,1995,0.732,95.0,U,True,False,False
97415000CH3078,Saint-Paul,1886,1441,0.764,103.7,U,True,False,False
97415000CH0579,Saint-Paul,1337,787,0.589,72.5,U,True,False,False
97415000CH2328,Saint-Paul,2670,1987,0.744,34.4,A,True,True,False
97415000CH2327,Saint-Paul,3560,3098,0.870,24.2,A,True,True,False
97415000CH3035,Saint-Paul,1489,964,0.647,86.2,A,True,True,False
97415000CH2137,Saint-Paul,4938,4037,0.817,14.6,A,True,True,False
97415000CH1684,Saint-Paul,1834,1078,0.588,52.6,U,True,False,False
97415000CI0074,Saint-Paul,5317,2010,0.378,16.8,U,False,False,False
97415000CI0720,Saint-Paul,3757,2739,0.729,16.7,A,True,True,False
