idu,p,raison_1,raison_2,raison_3,contrib_1,contrib_2,contrib_3
97408000AP1609,0.76471,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",9 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),0.496,0.2864,0.2623
97408000AP1610,0.76471,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",9 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),0.496,0.2864,0.2623
97423000AB1342,0.59426,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),14 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),17 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),0.496,0.2623,0.2532
97423000AB1341,0.58333,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),13 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),16 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),0.496,0.2623,0.2532
97408000AP1647,0.58333,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",7 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),0.496,0.2864,0.2623
97423000AB1908,0.58333,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),13 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),16 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),0.496,0.2623,0.2532
97411000HD0032,0.58333,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Parcelle de 14106 m² (cadastre),Piscine détectée sur la parcelle (ortho 2026),1.8696,0.461,0.3786
97422000AX1253,0.55099,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),Parcelle de 27084 m² (cadastre),1.7837,0.496,0.461
97410000CD0905,0.5,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",10 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),0.496,0.2864,0.2623
97423000AB1911,0.5,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),14 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),15 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),0.496,0.2623,0.2532
97411000HR0060,0.5,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Parcelle de 17013 m² (cadastre),27 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),1.8696,0.461,0.2532
97422000AX1477,0.5,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),Parcelle de 12440 m² (cadastre),1.7837,0.496,0.461
97408000AP1663,0.5,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",7 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),0.496,0.2864,0.2623
97422000AX1479,0.44522,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),Parcelle de 12532 m² (cadastre),1.7837,0.496,0.461
97412000AM2101,0.33333,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),9 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Parcelle de 398 m² (cadastre),0.496,0.2532,0.2132
97408000AP1604,0.33333,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",9 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),0.496,0.2864,0.2623
97408000AP1605,0.33333,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",9 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),0.496,0.2864,0.2623
97404000AS0367,0.33333,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",12 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),0.496,0.2864,0.2532
97408000AP1603,0.33333,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",9 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),0.496,0.2864,0.2623
97422000AX1478,0.33333,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),Parcelle de 13098 m² (cadastre),1.7837,0.496,0.461
97416000DM0248,0.27273,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Piscine détectée sur la parcelle (ortho 2026),4 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),1.4443,0.3786,0.2623
97412000CY1095,0.27273,10 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),14 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Parcelle de 415 m² (cadastre),0.2623,0.2532,0.2132
97414000ES1044,0.27273,Piscine détectée sur la parcelle (ortho 2026),4 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),Parcelle de 435 m² (cadastre),0.3786,0.2623,0.2132
97414000EN4048,0.27273,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),5 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),Parcelle de 244 m² (cadastre),0.496,0.2623,0.2132
97414000ES0993,0.27273,8 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),12 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Parcelle de 289 m² (cadastre),0.2623,0.2532,0.2132
97401000AR1758,0.27273,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Piscine détectée sur la parcelle (ortho 2026),4 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),1.1989,0.3786,0.2623
97411000HL0011,0.27273,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Parcelle de 29514 m² (cadastre),Piscine détectée sur la parcelle (ortho 2026),1.5423,0.461,0.3786
97415000AB0783,0.27273,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),Parcelle de 15963 m² (cadastre),1.6241,0.496,0.461
97422000AD1237,0.27273,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),Piscine détectée sur la parcelle (ortho 2026),Parcelle de 599 m² (cadastre),0.496,0.3786,0.1289
97423000AB1441,0.27273,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),4 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),10 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),0.496,0.2623,0.2532
97411000EL0201,0.27273,Piscine détectée sur la parcelle (ortho 2026),4 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),Parcelle de 562 m² (cadastre),0.3786,0.2623,0.1289
97412000CY1099,0.27273,7 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),13 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Parcelle de 31 m² (cadastre),0.2623,0.2532,0.1894
97420000AO0654,0.27273,"Secteur à rotation forte du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",14 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),24 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),0.2864,0.2623,0.2532
97409000AX1085,0.27273,"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",11 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),19 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),0.2864,0.2623,0.2532
97412000CY1047,0.25,8 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),15 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Parcelle de 429 m² (cadastre),0.2623,0.2532,0.2132
97412000CY1098,0.25,8 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),15 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Parcelle de 325 m² (cadastre),0.2623,0.2532,0.2132
97415000AB0408,0.25,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),6 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),1.1989,0.496,0.2623
97403000AM0768,0.25,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),Parcelle de 316 m² (cadastre),8 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),0.496,0.2132,0.1161
97414000EN4045,0.25,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),5 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),Parcelle de 342 m² (cadastre),0.496,0.2623,0.2132
97422000BP2099,0.23077,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),Piscine détectée sur la parcelle (ortho 2026),Parcelle de 394 m² (cadastre),0.496,0.3786,0.2132
97414000EN3337,0.23077,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),4 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),Parcelle de 487 m² (cadastre),0.496,0.2623,0.2132
97416000EY1406,0.23077,Piscine détectée sur la parcelle (ortho 2026),4 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),Parcelle de 345 m² (cadastre),0.3786,0.2623,0.2132
97415000CX0939,0.22034,Piscine détectée sur la parcelle (ortho 2026),Parcelle de 583 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.3786,0.1289,0.1036
97418000AT2542,0.22034,"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",4 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),Parcelle de 314 m² (cadastre),0.2864,0.2623,0.2132
97412000CY1091,0.22034,7 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),9 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Parcelle de 272 m² (cadastre),0.2623,0.2532,0.2132
97415000EO1102,0.22034,4 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),14 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Parcelle de 306 m² (cadastre),0.2623,0.2532,0.2132
97409000AR1260,0.22034,Piscine détectée sur la parcelle (ortho 2026),5 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),Parcelle de 438 m² (cadastre),0.3786,0.2623,0.2132
97418000AT2541,0.22034,"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",4 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),Parcelle de 365 m² (cadastre),0.2864,0.2623,0.2132
97416000ET2243,0.22034,15 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),19 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Parcelle de 311 m² (cadastre),0.2623,0.2532,0.2132
97409000BL0146,0.22034,"Secteur à rotation forte du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",4 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),10 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),0.2864,0.2623,0.2532
97415000CX1395,0.22034,Piscine détectée sur la parcelle (ortho 2026),Parcelle de 608 m² (cadastre),8 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),0.3786,0.1289,0.1161
97415000AB0840,0.22034,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),6 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),1.1989,0.496,0.2623
97414000EN3391,0.22034,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),Parcelle de 454 m² (cadastre),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",0.496,0.2132,0.195
97411000EH0142,0.22034,"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",Parcelle de 3 m² (cadastre),5% de ménages pauvres dans le carreau (Filosofi INSEE 2019),0.195,0.1894,0.1094
97416000IE0737,0.22034,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),Piscine détectée sur la parcelle (ortho 2026),Parcelle de 401 m² (cadastre),0.496,0.3786,0.2132
97414000ES1029,0.22034,7 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),13 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Parcelle de 256 m² (cadastre),0.2623,0.2532,0.2132
97414000EN2236,0.22034,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),Parcelle de 460 m² (cadastre),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",0.496,0.2132,0.195
97410000AH0213,0.22034,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Parcelle de 14806 m² (cadastre),Piscine détectée sur la parcelle (ortho 2026),1.7203,0.461,0.3786
97411000AM0011,0.22034,Piscine détectée sur la parcelle (ortho 2026),4 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),Parcelle de 462 m² (cadastre),0.3786,0.2623,0.2132
97416000ET2242,0.22034,15 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),18 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Parcelle de 333 m² (cadastre),0.2623,0.2532,0.2132
97408000AP1631,0.22034,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),12 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),1.1171,0.496,0.2623
97415000AB0797,0.22034,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),Piscine détectée sur la parcelle (ortho 2026),1.1989,0.496,0.3786
97423000AB1910,0.21053,Frein — Le propriétaire a vendu une autre parcelle depuis 24 mois (millésimes fonciers PM 2019-2024),Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),14 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),-0.6133,0.496,0.2623
97415000CH0535,0.21053,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Parcelle de 13111 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),1.8389,0.4541,0.1036
97422000EN0678,0.21053,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),Piscine détectée sur la parcelle (ortho 2026),1.2719,0.496,0.3786
97412000AM1053,0.21053,4 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),Parcelle de 318 m² (cadastre),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",0.2623,0.2132,0.195
97416000EZ0746,0.21053,Piscine détectée sur la parcelle (ortho 2026),Parcelle de 433 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.3786,0.2132,0.1036
97416000ET2108,0.21053,17 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),19 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Parcelle de 367 m² (cadastre),0.2623,0.2532,0.2132
97408000AP0627,0.21053,"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",4 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),Parcelle de 346 m² (cadastre),0.2864,0.2623,0.2132
97416000DT0253,0.21053,5 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),9 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Parcelle de 378 m² (cadastre),0.2623,0.2532,0.2132
97423000AB1917,0.21053,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),14 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),16 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),0.496,0.2623,0.2532
97412000CE2722,0.21053,5 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),Parcelle de 328 m² (cadastre),"27 m² de SDP résiduelle (résiduel m135, PLU 2026)",0.2623,0.2132,0.1134
97412000BW1891,0.21053,4 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),12 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Parcelle de 58 m² (cadastre),0.2623,0.2532,0.1336
97411000AD0525,0.18254,Piscine détectée sur la parcelle (ortho 2026),6 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),8 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),0.3786,0.2623,0.1161
97414000ES1043,0.18254,4 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),9 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Parcelle de 560 m² (cadastre),0.2623,0.2532,0.1289
97406000AI0941,0.18254,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",Parcelle de 530 m² (cadastre),0.496,0.195,0.1289
97411000AE0836,0.18254,6 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),12 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Parcelle de 220 m² (cadastre),0.2623,0.2532,0.1336
97414000CV0998,0.18254,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),Frein — 0 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Parcelle de 289 m² (cadastre),0.496,-0.2221,0.2132
97422000BL0320,0.18254,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Frein — Zone A au PLU (PLU/GPU en vigueur à l'ingestion 2026),Parcelle de 158203 m² (cadastre),1.8696,-0.5621,0.461
97411000KE0436,0.18254,9 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Parcelle de 286 m² (cadastre),"57 m² de SDP résiduelle (résiduel m135, PLU 2026)",0.2532,0.2132,0.1134
97409000AV1036,0.18254,Piscine détectée sur la parcelle (ortho 2026),Parcelle de 455 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.3786,0.2132,0.1036
97422000AS0913,0.18254,4 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),Parcelle de 241 m² (cadastre),"52 m² de SDP résiduelle (résiduel m135, PLU 2026)",0.2623,0.2132,0.1134
97413000CH0866,0.18254,10 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Parcelle de 369 m² (cadastre),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",0.2532,0.2132,0.195
97411000AD0165,0.18254,6 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),10 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Parcelle de 306 m² (cadastre),0.2623,0.2532,0.2132
97415000EW2024,0.18254,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Piscine détectée sur la parcelle (ortho 2026),10 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),1.2146,0.3786,0.2532
97412000BW2420,0.18254,9 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Parcelle de 346 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2532,0.2132,0.1036
97414000EN4079,0.18254,6 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),Parcelle de 250 m² (cadastre),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",0.2623,0.2132,0.195
97411000EH0140,0.18254,"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",Parcelle de 69 m² (cadastre),5% de ménages pauvres dans le carreau (Filosofi INSEE 2019),0.195,0.1336,0.1094
97422000BD3733,0.18254,Piscine détectée sur la parcelle (ortho 2026),Parcelle de 357 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.3786,0.2132,0.1036
97411000DY0219,0.18254,"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",Parcelle de 60 m² (cadastre),8 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),0.195,0.1336,0.1161
97414000EN3815,0.18254,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),Piscine détectée sur la parcelle (ortho 2026),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",0.496,0.3786,0.195
97423000AE0961,0.18254,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),Parcelle de 369 m² (cadastre),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",0.496,0.2132,0.1121
97413000CA0242,0.18254,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",4 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),0.496,0.2864,0.2623
97411000DY0023,0.18254,Piscine détectée sur la parcelle (ortho 2026),4 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",0.3786,0.2623,0.195
97411000KA0296,0.18254,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),Parcelle de 300 m² (cadastre),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",0.496,0.2132,0.195
97416000HN1778,0.18254,6 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),9 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Parcelle de 136 m² (cadastre),0.2623,0.2532,0.1336
97411000AL0496,0.18254,10 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Parcelle de 306 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2532,0.2132,0.1036
97414000CV0772,0.18254,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),Frein — 0 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Parcelle de 417 m² (cadastre),0.496,-0.2221,0.2132
97411000AL0497,0.18254,10 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Parcelle de 353 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2532,0.2132,0.1036
97414000EL0303,0.18254,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Piscine détectée sur la parcelle (ortho 2026),Parcelle de 8956 m² (cadastre),1.4073,0.3786,0.237
97408000AS0498,0.18254,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),Parcelle de 77 m² (cadastre),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",0.496,0.1336,0.0875
97416000DT0872,0.18254,4 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),10 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Parcelle de 360 m² (cadastre),0.2623,0.2532,0.2132
97412000CE1504,0.18254,4 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),Parcelle de 454 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2623,0.2132,0.1036
97410000AV0309,0.18254,Piscine détectée sur la parcelle (ortho 2026),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",Parcelle de 482 m² (cadastre),0.3786,0.2864,0.2132
97416000CX1461,0.18254,7 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),9 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Parcelle de 10 m² (cadastre),0.2623,0.2532,0.1894
97416000CW2465,0.18254,5 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),13 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Parcelle de 368 m² (cadastre),0.2623,0.2532,0.2132
97415000AB0832,0.18254,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),4 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),1.0852,0.496,0.2623
97415000HP0029,0.18254,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Parcelle de 25371 m² (cadastre),Candidat photovoltaïque (ortho 2026),1.8635,0.4506,0.1253
97416000EL0114,0.18254,4 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),10 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Parcelle de 262 m² (cadastre),0.2623,0.2532,0.2132
97408000AS0457,0.18254,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),Parcelle de 416 m² (cadastre),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",0.496,0.2132,0.0875
97416000ES0793,0.18254,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),5 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),13 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),1.3855,0.2623,0.2532
97411000EN0181,0.18254,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Piscine détectée sur la parcelle (ortho 2026),Parcelle de 1391 m² (cadastre),1.4907,0.3786,0.1888
97412000BW1889,0.18254,13 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Parcelle de 528 m² (cadastre),"43 m² de SDP résiduelle (résiduel m135, PLU 2026)",0.2532,0.1289,0.1134
97412000CX0091,0.18254,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Piscine détectée sur la parcelle (ortho 2026),10 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),1.3307,0.3786,0.2532
97424000AI1863,0.18254,4 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),Parcelle de 447 m² (cadastre),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",0.2623,0.2132,0.195
97411000CM0558,0.18254,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Parcelle de 13958 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),1.8696,0.461,0.1036
97416000CS0269,0.17326,Frein — Parcelle de 6035 m² (cadastre),Piscine détectée sur la parcelle (ortho 2026),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",-0.4529,0.3786,0.2864
97408000AP1437,0.16138,"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",4 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),Parcelle de 537 m² (cadastre),0.2864,0.2623,0.1289
97416000DT0254,0.15789,4 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),10 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Parcelle de 162 m² (cadastre),0.2623,0.2532,0.1336
