idu,p,raison_1,raison_2,raison_3,contrib_1,contrib_2,contrib_3
97407000AM0196,0.07943,4 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),Parcelle de 476 m² (cadastre),"Frein — Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",0.2623,0.2132,-0.1238
97422000BM1416,0.07943,Parcelle de 257 m² (cadastre),"54 m² de SDP résiduelle (résiduel m135, PLU 2026)",Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2132,0.1134,0.1036
97416000EX0359,0.07943,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Parcelle de 2127 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),1.1594,0.1888,0.1036
97422000ED0272,0.07943,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Piscine détectée sur la parcelle (ortho 2026),Parcelle de 1979 m² (cadastre),1.3307,0.3786,0.1888
97407000AH0259,0.07943,Parcelle de 161 m² (cadastre),7 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.1336,0.1161,0.1036
97415000EW0992,0.07943,Parcelle de 309 m² (cadastre),5% de ménages pauvres dans le carreau (Filosofi INSEE 2019),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2132,0.1094,0.1036
97416000EK0225,0.07943,Parcelle de 297 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),"Secteur à rotation faible du bâti (DVF arrêté au 31/12/2025, 36 mois)",0.2132,0.1036,0.0808
97422000BD3751,0.07943,Parcelle de 448 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),"Aucune vente connue depuis au moins 12 ans (DVF arrêté au 31/12/2025, historique 2014+)",0.2132,0.1036,0.063
97403000AT0449,0.07943,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),"Frein — Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",Parcelle de 481 m² (cadastre),0.496,-0.2583,0.2132
97403000AS0845,0.07943,Parcelle de 391 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),"Aucune vente connue depuis au moins 12 ans (DVF arrêté au 31/12/2025, historique 2014+)",0.2132,0.1036,0.0653
97415000DE0203,0.07943,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Piscine détectée sur la parcelle (ortho 2026),Parcelle de 1026 m² (cadastre),1.079,0.3786,0.1253
97411000AD0041,0.07943,7 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),3 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),0.1161,0.1036,0.0926
97412000BW1782,0.07943,Parcelle de 158 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",0.1336,0.1036,0.0875
97416000CV2401,0.07943,Parcelle de 355 m² (cadastre),7% de ménages pauvres dans le carreau (Filosofi INSEE 2019),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2132,0.1094,0.1036
97405000AR1552,0.07943,Parcelle de 466 m² (cadastre),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",Candidat photovoltaïque (ortho 2026),0.182,0.1713,0.1253
97409000AY0551,0.07943,Parcelle de 540 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),3 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),0.1289,0.1036,0.0926
97412000AM2014,0.07943,"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),"91 m² de SDP résiduelle (résiduel m135, PLU 2026)",0.195,0.1036,0.0643
97415000DE0378,0.07943,Parcelle de 327 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),"Secteur à rotation faible du bâti (DVF arrêté au 31/12/2025, 36 mois)",0.2132,0.1036,0.0808
97422000CI0591,0.07943,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Piscine détectée sur la parcelle (ortho 2026),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),1.248,0.3786,0.1036
97422000BM1415,0.07943,Parcelle de 240 m² (cadastre),"71 m² de SDP résiduelle (résiduel m135, PLU 2026)",Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2132,0.1134,0.1036
97412000CD1007,0.07943,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),11 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Parcelle de 1194 m² (cadastre),1.1558,0.2532,0.1302
97422000BN2993,0.07943,Parcelle de 17 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),"Aucune vente connue depuis au moins 12 ans (DVF arrêté au 31/12/2025, historique 2014+)",0.1894,0.1036,0.0631
97407000AE0126,0.07943,Parcelle de 490 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),Frein — Secteur densément bâti (BD TOPO 2026),0.2132,0.1036,-0.0955
97411000IC0463,0.07943,Parcelle de 590 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),Frein — Secteur densément bâti (BD TOPO 2026),0.1289,0.1036,-0.0955
97414000DT0517,0.07943,"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",Parcelle de 293 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2864,0.2132,0.1036
97404000AS0118,0.07943,Piscine détectée sur la parcelle (ortho 2026),Frein — Parcelle de 1515 m² (cadastre),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",0.3786,-0.3473,0.2864
97416000HP0347,0.07943,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Parcelle de 2019 m² (cadastre),8 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),1.2945,0.1888,0.1161
