idu,date_vente,vente_groupee,premier_envoi,n_simule,premiere_piste,exclue_client
97411000CD0492,2025-09-08,False,,,,False
97411000IA0199,2025-02-07,True,,,,False
97415000EW0076,2025-10-08,False,,,,False
97416000CS1330,2025-03-19,False,,,,False
97411000EP0049,2025-09-22,False,,,,False
97412000BX1030,2025-03-07,True,,,,False
97408000AM0956,2025-03-14,False,,,,False
97410000BV0250,2025-07-31,False,,,,False
97416000HP0656,2025-03-14,False,,,,False
97418000AR0857,2025-11-17,True,,,,False
97413000CS0352,2025-07-11,True,,,,False
97411000AV0404,2025-07-11,True,,,,False
97404000AY0599,2025-10-30,True,,,,False
97410000AW0822,2025-08-20,False,,,,False
97404000AX0186,2025-06-25,True,,,,False
97409000BD0111,2025-08-01,False,,,,False
97412000CY1003,2025-06-16,False,,,,False
97421000AN0412,2025-03-12,True,,,,False
97406000AI0012,2025-04-08,False,,,,False
97418000AC1605,2025-10-16,True,,,,False
97419000AD0201,2025-06-06,True,,,,False
97422000BW3614,2025-06-10,True,,,,False
97418000AT1588,2025-10-16,True,,,,False
97409000AK1312,2025-10-20,False,,,,False
97411000HT0207,2025-01-29,False,,,,False
97412000BC0506,2025-10-09,True,,,,False
97420000AH0107,2025-07-24,False,,,,False
97401000AD0375,2025-03-31,False,,,,False
97418000AP3288,2025-09-26,True,,,,False
97413000CR1132,2025-02-24,True,,,,False
97411000DL0811,2025-02-14,False,,,,False
97407000AE0739,2025-07-30,False,,,,False
97422000BD0938,2025-11-03,True,,,,False
97415000AH1304,2025-08-05,True,,,,False
97404000AL1063,2025-08-20,False,,,,False
97406000AH0531,2025-07-24,False,,,,False
97423000AH1569,2025-06-11,True,,,,False
97411000IL0460,2025-05-27,False,,,,False
97415000AW1815,2025-07-30,True,,,,False
97418000AV0740,2025-06-27,False,,,,False
97424000AL0028,2025-01-16,False,,,,False
97422000BN2540,2025-03-27,False,,,,False
97413000DI0005,2025-12-16,False,,,,False
97407000BL0202,2025-10-24,False,,,,False
97407000AZ0014,2025-03-31,False,,,,False
97409000BE2194,2025-10-07,True,,,,False
97410000BH0702,2025-10-15,False,,,,False
97422000AE0725,2025-09-11,False,,,,False
97424000AI2243,2025-08-26,False,,,,False
97419000AR0577,2025-05-30,False,,,,False
97414000EZ0481,2025-07-01,True,,,,False
97412000CE1297,2025-11-18,True,,,,False
97410000AL0447,2025-06-06,True,,,,False
97406000AW1232,2025-02-13,False,,,,False
97413000CD0747,2025-10-30,False,,,,False
97401000AR1727,2025-06-10,True,,,,False
97410000AR1559,2025-02-21,False,,,,False
97415000AV0905,2025-03-14,True,,,,False
97418000AC0952,2025-12-15,True,,,,False
97412000BO0474,2025-11-24,False,,,,False
97411000IC0402,2025-12-02,False,,,,False
97411000AS0270,2025-09-03,False,,,,False
97405000AD0725,2025-05-21,True,,,,False
97415000EZ0122,2025-05-12,False,,,,False
97423000AH0262,2025-05-07,True,,,,False
97418000AV2862,2025-01-17,True,,,,False
97420000AZ0841,2025-04-23,False,,,,False
97423000AK1727,2025-07-23,False,,,,False
97414000EN3944,2025-06-03,True,,,2026-08-31 20:52:35.148531+00:00,False
97412000AV0675,2025-11-04,False,,,,False
97421000BN0015,2025-05-12,True,,,,False
97415000CM2284,2025-05-27,False,,,,False
97407000BE0306,2025-04-28,False,,,,False
97410000AH0876,2025-12-16,True,,,,False
97407000BE0059,2025-12-29,False,,,,False
97417000AT1180,2025-01-03,True,,,,False
97420000AO0239,2025-02-12,False,,,,False
97411000AY0560,2025-12-17,True,,,,False
97412000CY1090,2025-06-16,True,,,,False
97411000HS0471,2025-12-15,True,,,,False
97411000HP0326,2025-01-21,True,,,,False
97412000BZ0310,2025-10-01,False,,,,False
97406000AR0359,2025-08-28,False,,,,False
97405000BE0586,2025-05-30,False,,,,False
97411000HB0175,2025-12-31,False,,,,False
97412000AM1283,2025-05-28,True,,,,False
97409000AM0589,2025-10-31,False,,,,False
97414000DH1441,2025-09-29,True,,,,False
97413000CE0319,2025-04-18,False,,,,False
97422000BK1643,2025-01-22,True,,,,False
97409000AV1049,2025-12-19,False,,,,False
97404000AC0641,2025-10-28,True,,,,False
97416000EK0135,2025-08-28,False,,,,False
97408000AC3605,2025-01-31,False,,,,False
97414000HA0254,2025-01-17,True,,,,False
97410000BY0157,2025-05-23,False,,,,False
97404000AC1198,2025-11-13,False,,,,False
97418000AC1608,2025-10-16,True,,,,False
97410000AO0223,2025-07-28,False,,,,False
97410000AS1440,2025-10-02,False,,,,False
97411000CD1188,2025-09-29,False,,,,False
97414000CH1971,2025-12-31,True,,,,False
97407000AO1505,2025-09-01,True,,,,False
97411000AK0127,2025-09-05,False,,,,False
97404000AV0523,2025-08-22,True,,,,False
97414000DK0025,2025-06-30,True,,,,False
97411000EP0336,2025-08-29,True,,,,False
97413000CX2605,2025-09-19,False,,,,False
97414000DN0087,2025-06-05,True,,,,False
97415000CO0298,2025-07-01,True,,,,False
97411000HO0912,2025-01-27,True,,,,False
97409000AB0972,2025-03-13,False,,,,False
97408000AO0240,2025-08-18,False,,,,False
97405000AN0268,2025-06-24,False,,,,False
97414000CS0551,2025-08-25,True,,,,False
97418000AV1575,2025-05-05,True,,,,False
97414000DL0320,2025-04-07,False,,,,False
97421000AP0557,2025-07-02,True,,,,False
97415000AT0551,2025-03-04,True,,,,False
97404000AD1107,2025-02-17,False,,,,False
97422000EH0285,2025-04-25,False,,,,False
97411000IL0191,2025-02-26,False,,,,False
97414000EN0902,2025-12-18,False,,,,False
97417000AS0110,2025-04-16,False,,,,False
97411000CD1114,2025-11-14,False,,,,False
97409000BI0098,2025-01-30,False,,,,False
97407000AY0060,2025-01-31,False,,,,False
97422000CX0981,2025-10-24,True,,,,False
97416000CT1280,2025-09-25,False,,,,False
97401000AI1107,2025-03-24,False,,,,False
97413000AH0319,2025-11-24,True,,,,False
97412000CW1057,2025-06-26,True,,,,False
97423000AK1342,2025-09-11,True,,,,False
97422000CX1330,2025-09-30,False,,,,False
97413000CS0354,2025-07-11,True,,,,False
97414000EN3531,2025-10-01,True,,,,False
97413000DG1094,2025-09-19,False,,,,False
97415000HO1127,2025-08-21,False,,,,False
97414000HI0992,2025-05-30,False,,,,False
97422000ED0476,2025-09-29,True,,,,False
97414000EN4072,2025-07-15,False,,,,False
97415000EO1099,2025-02-11,True,,,,False
97422000BI1058,2025-07-07,True,,,,False
97422000BK1674,2025-09-30,False,,,,False
97409000AS0672,2025-11-12,False,,,,False
97412000BW2392,2025-09-05,False,,,,False
97405000BI1278,2025-07-03,False,,,,False
97422000CH0778,2025-12-16,False,,,,False
97416000HX1006,2025-09-26,True,,,,False
97411000EP0046,2025-09-22,False,,,,False
97415000EL0523,2025-06-04,True,,,,False
97410000BD0185,2025-09-30,False,,,,False
97411000AE0633,2025-08-28,False,,,,False
97409000AL1131,2025-06-19,False,,,,False
97413000CY1061,2025-10-28,False,,,,False
97401000AM1242,2025-08-13,True,,,,False
97415000HI0326,2025-03-06,False,,,,False
97413000DG1080,2025-06-26,False,,,,False
97411000DE0267,2025-01-30,False,,,,False
97422000BH1214,2025-09-24,False,,,,False
97401000AO0030,2025-03-12,True,,,,False
97420000BC1448,2025-05-28,True,,,,False
97422000EI0102,2025-03-10,True,,,,False
97413000CS0734,2025-10-07,False,,,,False
97401000AR1724,2025-06-10,True,,,,False
97422000AD1048,2025-08-13,False,,,,False
97422000CE0799,2025-07-31,False,,,,False
97417000BC0095,2025-11-13,True,,,,False
97412000CE2757,2025-06-19,False,,,,False
97407000AL1535,2025-05-28,True,,,,False
97412000CR0074,2025-10-10,False,,,,False
97405000AR1646,2025-06-05,True,,,,False
97411000IT0590,2025-11-20,True,,,,False
