idu,date_vente,vente_groupee,premier_envoi,n_simule,premiere_piste,exclue_client
97415000BO0941,2024-07-09,True,,,,False
97415000CZ0335,2025-12-29,False,,,,False
97411000IN0234,2024-09-27,False,,,,False
97415000BV0722,2024-06-04,True,,,,False
97422000BS0973,2024-11-29,False,,,,False
97413000AC0573,2025-02-13,False,,,,False
97411000HW0259,2025-06-18,False,,,,False
97409000AK1311,2025-10-28,False,,,,False
97419000AL0625,2024-02-15,False,,,,False
97410000AI0602,2024-05-31,True,,,,False
97411000IA0199,2025-02-07,True,,,,False
97416000CS1628,2024-04-16,True,,,,False
97414000HL0724,2024-10-11,False,,,,False
97412000BX1030,2025-03-07,True,,,,False
97408000AM0956,2025-03-14,False,,,,False
97409000AK0804,2024-12-26,True,,,,False
97418000AR0857,2025-11-17,True,,,,False
97413000CS0352,2025-07-11,True,,,,False
97418000BO0151,2024-12-23,True,,,,False
97401000AS1507,2024-02-23,False,,,,False
97410000AR1663,2024-11-29,True,,,,False
97411000AV0404,2025-07-11,True,,,,False
97404000AY0599,2025-10-30,True,,,,False
97412000CY1003,2025-06-16,False,,,,False
97410000AP0094,2024-06-20,False,,,,False
97418000AC1605,2025-10-16,True,,,,False
97419000AD0201,2025-06-06,True,,,,False
97422000BW3614,2025-06-10,True,,,,False
97414000DH0320,2024-12-31,True,,,,False
97415000CM2348,2024-11-02,True,,,,False
97418000AT1588,2025-10-16,True,,,,False
97422000BD0211,2024-10-31,False,,,,False
97409000AK1312,2025-10-20,False,,,,False
97420000AH0107,2025-07-24,False,,,,False
97401000AD0375,2025-03-31,False,,,,False
97422000EC0289,2024-08-30,True,,,,False
97418000AP3288,2025-09-26,True,,,,False
97413000CR1132,2025-02-24,True,,,,False
97410000AS1416,2024-07-23,True,,,,False
97411000BP0879,2024-12-30,True,,,,False
97411000DL0811,2025-02-14,False,,,,False
97411000EL0407,2024-02-23,False,,,,False
97403000AL0208,2024-10-04,False,,,,False
97415000AH1304,2025-08-05,True,,,,False
97406000AH0531,2024-03-26,False,,,,False
97417000AT0506,2024-09-04,True,,,,False
97410000AI1348,2024-10-15,False,,,,False
97407000AH0617,2024-03-29,False,,,,False
97424000AL0028,2025-01-16,False,,,,False
97422000BN2540,2025-03-27,False,,,,False
97416000DM0745,2024-06-25,True,,,,False
97416000DW0182,2024-04-05,False,,,,False
97411000AH0043,2024-02-28,False,,,,False
97424000AM0416,2024-09-06,False,,,,False
97422000AE0725,2025-09-11,False,,,,False
97405000AW0109,2024-09-19,True,,,,False
97411000IT0189,2024-01-26,False,,,,False
97419000AR0577,2025-05-30,False,,,,False
97405000AD0691,2024-06-13,True,,,,False
97412000CE1297,2025-11-18,True,,,,False
97406000AW1232,2025-02-13,False,,,,False
97412000AZ0926,2024-09-06,True,,,,False
97406000AL0669,2024-11-05,True,,,,False
97413000CD0747,2025-10-30,False,,,,False
97414000EN3936,2024-12-30,True,,,,False
97409000AM0793,2024-03-07,True,,,,False
97410000AR1559,2025-02-21,False,,,,False
97415000AV0905,2025-03-14,True,,,,False
97408000AT1565,2024-10-10,False,,,,False
97418000AW0802,2024-06-20,False,,,,False
97415000EZ0122,2025-05-12,False,,,,False
97405000AD0725,2025-05-21,True,,,,False
97411000AS0270,2025-09-03,False,,,,False
97411000IC0402,2025-12-02,False,,,,False
97418000AV2862,2024-09-12,True,,,,False
97420000AZ0841,2025-04-23,False,,,,False
97411000AL0100,2024-01-31,False,,,,False
97423000AK1727,2025-07-23,False,,,,False
97414000EN3944,2025-06-03,True,,,2026-08-31 20:52:35.148531+00:00,False
97411000CY0982,2024-10-09,True,,,,False
97412000AV0675,2025-11-04,False,,,,False
97420000AR0752,2024-12-30,True,,,,False
