,rot_nu,rot_bati,med_pm2_terrain_36m,med_pm2_bati_36m,tendance_pm2_bati,permis_24m_norm,dens_bati_secteur,pct_bati_secteur,filo_snv_pp,filo_pct_pauv,filo_pct_prop,filo_dens_pop,pente_moy_deg,acces_equipements,window_coverage,surface_m2,dormance_droits,sdp_residuelle_m2,canopee_pct,ndvi_moyen
rot_nu,1.0,-0.026325094325326433,0.05602020173790646,0.016431213788706878,-0.022905023977756456,0.3756296371087601,-0.12977615369702827,-0.16503531481776876,0.01196950529082076,-0.019011392764450744,0.09936292831167444,-0.14069399690901552,0.0795024516402184,-0.13342461712424677,,0.03578159153901379,-0.053081496935811996,0.02304000205163609,-0.05345742581339813,-0.022931556917958503
rot_bati,-0.026325094325326433,1.0,0.4242747330518928,0.3362440934295127,-0.005709396134160877,0.09814052045327046,0.5810065913244563,0.5573365465489745,0.31040278903756974,-0.30161524313055305,-0.22213645546423838,0.3444502948768207,-0.19092195444594207,0.4893910432045045,,-0.22454463341603803,0.08773972003286566,-0.06337079629681984,-0.0628412356828349,-0.13380177313599464
med_pm2_terrain_36m,0.05602020173790646,0.4242747330518928,1.0,0.34893747405499653,0.08656513869760675,0.2922201510613375,0.5098031003285772,0.4275232882707584,0.27775544162167864,-0.27099012829296343,-0.19123739842348422,0.33053622569177965,-0.23211024837438493,0.3901947825672607,,-0.21672418178114394,0.039008170750890435,-0.020833329740821662,-0.05909293610135891,-0.13807040740643955
med_pm2_bati_36m,0.016431213788706878,0.3362440934295127,0.34893747405499653,1.0,-0.0476391263937352,0.12965955687097205,0.18985773507692436,0.1337262622608886,0.4102531688822382,-0.3712798786632771,0.007023803420397383,0.11533282716113917,0.04558274243182553,0.12683036238180773,,-0.07923554961159819,0.004587406359804797,-0.005687672280739024,0.0349750822923416,-0.022776761289509527
tendance_pm2_bati,-0.022905023977756456,-0.005709396134160877,0.08656513869760675,-0.0476391263937352,1.0,0.03741467576241564,0.09319227919044133,0.043915658065447755,0.0210683427529852,-0.009458783825962196,-0.04375067447603171,0.06135596527048711,-0.04375213778921793,0.0804381206808163,,-0.04324290890104258,0.017258500669600215,-0.01811309458217203,-0.008706482868986998,-0.015995976672300887
permis_24m_norm,0.3756296371087601,0.09814052045327046,0.2922201510613375,0.12965955687097205,0.03741467576241564,1.0,0.14482016828773514,0.16910185131073074,0.09442331627695365,-0.09754890311119804,0.0600465850974012,0.020972724859802477,-0.11934354811957691,0.0684315921368447,,-0.06978916441890161,-0.0501790456252566,0.03659569984459177,-0.06773892308958025,-0.08422787042970677
dens_bati_secteur,-0.12977615369702827,0.5810065913244563,0.5098031003285772,0.18985773507692436,0.09319227919044133,0.14482016828773514,1.0,0.7580689880812336,0.14791192725647487,-0.15973788776763673,-0.3337628156664019,0.552590779785795,-0.37565677619942744,0.6690094760316883,,-0.35852796586588653,0.179551744062867,-0.13755226219073458,-0.1051198799116092,-0.20285310907297738
pct_bati_secteur,-0.16503531481776876,0.5573365465489745,0.4275232882707584,0.1337262622608886,0.043915658065447755,0.16910185131073074,0.7580689880812336,1.0,0.14229298677639737,-0.16770186387818983,-0.2043450730566683,0.4917788455449654,-0.40030603118631036,0.5452187626465036,,-0.30629093156887854,0.10761159969891755,-0.06521432903686596,-0.10971846236845298,-0.24359601504816308
filo_snv_pp,0.01196950529082076,0.31040278903756974,0.27775544162167864,0.4102531688822382,0.0210683427529852,0.09442331627695365,0.14791192725647487,0.14229298677639737,1.0,-0.8756162927881076,0.14424791753381722,-0.0393955018459543,0.0286281514678987,0.09326704880599843,,0.00295314582948569,0.007020596743337175,-0.0023074785244529793,0.07800605012378202,0.02568228532699969
filo_pct_pauv,-0.019011392764450744,-0.30161524313055305,-0.27099012829296343,-0.3712798786632771,-0.009458783825962196,-0.09754890311119804,-0.15973788776763673,-0.16770186387818983,-0.8756162927881076,1.0,-0.13243752384666008,-0.029406307201428287,0.0012733459804942049,-0.09878677300194144,,0.0187380814292669,-0.01460432699084427,0.009611303441366967,-0.05080661937980143,0.0038326320264020046
