type,requete,resultat,geom_ok,verdict,note
lieudit,Les Makes,"0 résultat (honnête, pas de type lieu-dit en base)",,OK,
lieudit,La Chaloupe,"0 résultat (honnête, pas de type lieu-dit en base)",,OK,
lieudit,Les Colimaçons,"0 résultat (honnête, pas de type lieu-dit en base)",,OK,
lieudit,La Saline les Bains,"0 résultat (honnête, pas de type lieu-dit en base)",,OK,
lieudit,L'Ermitage,"12 adresses du secteur (1er: 1 Chemin de l'Ermitage, Saint-Paul (97434))",,OK,
lieudit,Villèle,"12 adresses du secteur (1er: 1 Rue de Villèle, Saint-Paul (97435))",,OK,
lieudit,Bernica,"12 adresses du secteur (1er: 10 Chemin Ravine Bernica, Saint-Paul (97460))",,OK,
lieudit,Bellemène,"12 adresses du secteur (1er: 11 Route Hubert Delisle Bellemène, Saint-Paul (97460))",,OK,
lieudit,Savanna,"12 adresses du secteur (1er: 10 Route de Savanna, Saint-Paul (97460))",,OK,
lieudit,Cambaie,"12 adresses du secteur (1er: 100 Route de Cambaie, Saint-Paul (97460))",,OK,
lieudit,Bois de Nèfles,"12 adresses du secteur (1er: 1 Rue Bois de Nèfles, L'Étang-Salé (97427))",,OK,
lieudit,La Bretagne,"0 résultat (honnête, pas de type lieu-dit en base)",,OK,
lieudit,Le Brûlé,"12 adresses du secteur (1er: 32 le Brûlé, Les Avirons (97425))",,OK,
lieudit,Beaufonds,"12 adresses du secteur (1er: 411 Chemin Beaufonds, Sainte-Marie (97438))",,OK,
lieudit,Grand Bois,"5 adresses du secteur (1er: 337 Anse Grand Bois, Saint-Pierre (97410))",,OK,
lieudit,Terre Sainte,"12 adresses du secteur (1er: 49 Terre Sainte, Saint-Pierre (97410))",,OK,
lieudit,La Montagne,"12 adresses du secteur (1er: 1 Rue Notre Dame de la Montagne, Saint-Denis (97417))",,OK,
lieudit,Commune Primat,"0 résultat (honnête, pas de type lieu-dit en base)",,OK,
lieudit,Bras Creux,"0 résultat (honnête, pas de type lieu-dit en base)",,OK,
lieudit,Mare à Poule d'Eau,"5 adresses du secteur (1er: 14 Mare à Poule d'Eau, Salazie (97433))",,OK,
lieudit,Îlet à Cordes,"0 résultat (honnête, pas de type lieu-dit en base)",,OK,
hostile,,HTTP 422 refus propre,,OK,vide
hostile,ru,HTTP 422 refus propre,,OK,2cars
hostile,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA…,0 res,,OK,longue_10k
hostile,%%%,12 res pour joker LIKE pur,,KO,"pct_seul 1er=10 N 1, Saint-Pierre (97410)"
hostile,___,12 res pour joker LIKE pur,,KO,"underscore 1er=10 N 1, Saint-Pierre (97410)"
hostile,%rue%,12 res pour joker LIKE pur,,KO,"like_mix 1er=1 Rue Edf, Saint-Paul (97422)"
hostile,'; DROP TABLE adresses;--,0 res,,OK,sqlish
hostile,l'o'r'o,0 res,,OK,quote
hostile,🏠🏠🏠 rue,0 res,,OK,unicode_emoji
hostile,شارع الشمس,0 res,,OK,rtl
hostile,r̸̛ue͘ d́es,0 res,,OK,zalgo
hostile,ru de pari sain deni,0 res,,OK,faute_lourde
hostile,chemin dez anglé,0 res,,OK,faute2
hostile,12 rue du stade 97411000AB0012,0 res,,OK,adresse+idu
hostile,"10 Rue de Paris, Saint-Denis (97400)",0 res,,OK,label_complet
hostile,97400,0 res,,OK,cp_seul
hostile,123456,0 res,,OK,num_seul
hostile,<script>alert(1)</script>,0 res,,OK,html
hostile,rue\0nulle,HTTP 422 refus propre,,OK,nul_byte
hostile,rue		de	la,0 res,,OK,tabs
hostile,rue\nde paris,0 res,,OK,newline
hostile,-1 rue,0 res,,OK,neg
hostile,974010000AB0001,0 res,,OK,idu_15c
hostile,ABCDE000AB0001,0 res,,OK,idu_lettres
hostile,974%,10 res pour joker ILIKE,,KO,idu_pct 1er=97411000KA0296
hostile,97401'--,0 res,,OK,idu_sqlish
hostile,,HTTP 422 refus propre,,OK,idu_vide
hostile,９７４０１,0 res,,OK,idu_unicode
hostile,97411 rue du stade,0 res,,OK,idu_melange
hostile,97____,0 res,,OK,idu_underscore
