idu,commune,grandeur,chemins_compares,valeurs,egalite,verdict,note
97414000DE0474,Saint-Louis,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Neutre"", ""v2/score(court)"": ""Neutre"", ""mvt(court)"": ""Neutre""}",OK,exp_court=Neutre raw=a_creuser,etage0=False
97414000DE0474,Saint-Louis,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 932.0, ""geom_ST_Area_2975"": 932.12, ""parcels.surface_m2"": 932.12, ""mvt"": 932.12}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97414000DE0474,Saint-Louis,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""fiche.pot_transfo"": 283, ""mvt"": 283, ""residuel(canon)"": 283}",OK,canon=parcel_residuel cause NULL,
97415000AT0232,Saint-Paul,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Neutre"", ""v2/score(court)"": ""Neutre"", ""mvt(court)"": ""Neutre""}",OK,exp_court=Neutre raw=a_creuser,etage0=False
97415000AT0232,Saint-Paul,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 450.0, ""geom_ST_Area_2975"": 449.65, ""parcels.surface_m2"": 449.65, ""mvt"": 449.65}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97415000AT0232,Saint-Paul,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""fiche.pot_transfo"": 72, ""mvt"": 72, ""residuel(canon)"": 72}",OK,canon=parcel_residuel cause NULL,
97411000HS0351,Saint-Denis,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Long terme"", ""v2/score(court)"": ""Long terme"", ""mvt(court)"": ""Long terme""}",OK,exp_court=Long terme raw=reserve_fonciere,etage0=False
97411000HS0351,Saint-Denis,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 1597.0, ""geom_ST_Area_2975"": 1596.59, ""parcels.surface_m2"": 1596.59, ""mvt"": 1596.59}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97411000HS0351,Saint-Denis,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""fiche.pot_transfo"": 1333, ""mvt"": 1333, ""renouv"": 1333, ""residuel(canon)"": 1333}",OK,canon=parcel_residuel cause NULL,
97401000AR1146,Les Avirons,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Neutre"", ""v2/score(court)"": ""Neutre"", ""mvt(court)"": ""Neutre""}",OK,exp_court=Neutre raw=a_creuser,etage0=False
97401000AR1146,Les Avirons,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 846.0, ""geom_ST_Area_2975"": 846.04, ""parcels.surface_m2"": 846.04, ""mvt"": 846.04}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97401000AR1146,Les Avirons,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""fiche.pot_transfo"": 302, ""mvt"": 302, ""residuel(canon)"": 302}",OK,canon=parcel_residuel cause NULL,
97409000AH0156,Saint-André,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Long terme"", ""v2/score(court)"": ""Long terme"", ""mvt(court)"": ""Long terme""}",OK,exp_court=Long terme raw=reserve_fonciere,etage0=False
97409000AH0156,Saint-André,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 2074.0, ""geom_ST_Area_2975"": 2073.57, ""parcels.surface_m2"": 2073.57, ""mvt"": 2073.57}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97409000AH0156,Saint-André,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""fiche.pot_transfo"": 1224, ""mvt"": 1224, ""renouv"": 1224, ""residuel(canon)"": 1224}",OK,canon=parcel_residuel cause NULL,
97403000AR1511,Entre-Deux,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Priorité"", ""v2/score(court)"": ""Priorité"", ""mvt(court)"": ""Priorité""}",OK,exp_court=Priorité raw=brulante,etage0=False
97403000AR1511,Entre-Deux,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 527.0, ""geom_ST_Area_2975"": 527.45, ""parcels.surface_m2"": 527.45, ""mvt"": 527.45}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97403000AR1511,Entre-Deux,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""fiche.pot_transfo"": 58, ""mvt"": 58, ""residuel(canon)"": 58}",OK,canon=parcel_residuel cause NULL,
97403000AH0130,Entre-Deux,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Écartée"", ""v2/score(court)"": ""Écartée"", ""mvt(court)"": ""Écartée""}",OK,exp_court=Écartée raw=ecartee,etage0=False
97403000AH0130,Entre-Deux,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 47854.0, ""geom_ST_Area_2975"": 47854.49, ""parcels.surface_m2"": 47854.49, ""mvt"": 47854.49}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97403000AH0130,Entre-Deux,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""mvt"": 0}",OK,canon=parcel_residuel cause NULL,
97418000AW0627,Sainte-Marie,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Long terme"", ""v2/score(court)"": ""Long terme"", ""mvt(court)"": ""Long terme""}",OK,exp_court=Long terme raw=reserve_fonciere,etage0=False
97418000AW0627,Sainte-Marie,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 2481.0, ""geom_ST_Area_2975"": 2480.72, ""parcels.surface_m2"": 2480.72, ""mvt"": 2480.72}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97418000AW0627,Sainte-Marie,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""fiche.pot_transfo"": 969, ""mvt"": 969, ""residuel(canon)"": 969}",OK,canon=parcel_residuel cause NULL,
97402000AI0556,Bras-Panon,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Écartée"", ""v2/score(court)"": ""Écartée"", ""mvt(court)"": ""Écartée""}",OK,exp_court=Écartée raw=ecartee,etage0=False
97402000AI0556,Bras-Panon,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 710.0, ""geom_ST_Area_2975"": 709.93, ""parcels.surface_m2"": 709.93, ""mvt"": 709.93}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97402000AI0556,Bras-Panon,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""mvt"": 0}",OK,canon=parcel_residuel cause NULL,
97424000AI2287,Cilaos,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Neutre"", ""v2/score(court)"": ""Neutre"", ""mvt(court)"": ""Neutre""}",OK,exp_court=Neutre raw=a_creuser,etage0=False
97424000AI2287,Cilaos,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 182.0, ""geom_ST_Area_2975"": 182.13, ""parcels.surface_m2"": 182.13, ""mvt"": 182.13}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97424000AI2287,Cilaos,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""fiche.pot_transfo"": 27, ""mvt"": 27, ""residuel(canon)"": 27}",OK,canon=parcel_residuel cause NULL,
97423000AB1820,Les Trois-Bassins,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Neutre"", ""v2/score(court)"": ""Neutre"", ""mvt(court)"": ""Neutre""}",OK,exp_court=Neutre raw=a_creuser,etage0=False
97423000AB1820,Les Trois-Bassins,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 50.0, ""geom_ST_Area_2975"": 49.79, ""parcels.surface_m2"": 49.79, ""mvt"": 49.79}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97423000AB1820,Les Trois-Bassins,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""mvt"": 0}",OK,canon=parcel_residuel cause NULL,
97404000AW0706,L'Étang-Salé,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Neutre"", ""v2/score(court)"": ""Neutre"", ""mvt(court)"": ""Neutre""}",OK,exp_court=Neutre raw=a_creuser,etage0=False
97404000AW0706,L'Étang-Salé,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 469.0, ""geom_ST_Area_2975"": 469.16, ""parcels.surface_m2"": 469.16, ""mvt"": 469.16}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97404000AW0706,L'Étang-Salé,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""fiche.pot_transfo"": 147, ""mvt"": 147, ""residuel(canon)"": 147}",OK,canon=parcel_residuel cause NULL,
97415000HP0227,Saint-Paul,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Écartée"", ""v2/score(court)"": ""Écartée"", ""mvt(court)"": ""Écartée""}",OK,exp_court=Écartée raw=ecartee,etage0=False
97415000HP0227,Saint-Paul,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 115.0, ""geom_ST_Area_2975"": 115.13, ""parcels.surface_m2"": 115.13, ""mvt"": 115.13}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97415000HP0227,Saint-Paul,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""mvt"": 0}",OK,canon=parcel_residuel cause NULL,
97406000AL0588,La Plaine-des-Palmistes,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Faible"", ""v2/score(court)"": ""Faible"", ""mvt(court)"": ""Faible""}",OK,exp_court=Faible raw=declasse_bati_sature,etage0=False
97406000AL0588,La Plaine-des-Palmistes,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 196.0, ""geom_ST_Area_2975"": 195.64, ""parcels.surface_m2"": 195.64, ""mvt"": 195.64}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97406000AL0588,La Plaine-des-Palmistes,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""fiche.pot_transfo"": 0, ""mvt"": 0, ""residuel(canon)"": 0}",OK,canon=parcel_residuel cause NULL,
97420000BD0643,Sainte-Suzanne,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""À suivre"", ""v2/score(court)"": ""À suivre"", ""mvt(court)"": ""À suivre""}",OK,exp_court=À suivre raw=chaude,etage0=False
97420000BD0643,Sainte-Suzanne,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 438.0, ""geom_ST_Area_2975"": 437.58, ""parcels.surface_m2"": 437.58, ""mvt"": 437.58}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97420000BD0643,Sainte-Suzanne,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""fiche.pot_transfo"": 295, ""mvt"": 295, ""residuel(canon)"": 295}",OK,canon=parcel_residuel cause NULL,
97413000CQ0788,Saint-Leu,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Neutre"", ""v2/score(court)"": ""Neutre"", ""mvt(court)"": ""Neutre""}",OK,exp_court=Neutre raw=a_creuser,etage0=False
97413000CQ0788,Saint-Leu,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 1239.0, ""geom_ST_Area_2975"": 1239.08, ""parcels.surface_m2"": 1239.08, ""mvt"": 1239.08}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97413000CQ0788,Saint-Leu,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""fiche.pot_transfo"": 710, ""mvt"": 710, ""renouv"": 710, ""residuel(canon)"": 710}",OK,canon=parcel_residuel cause NULL,
97422000DE0473,Le Tampon,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Long terme"", ""v2/score(court)"": ""Long terme"", ""mvt(court)"": ""Long terme""}",OK,exp_court=Long terme raw=reserve_fonciere,etage0=False
97422000DE0473,Le Tampon,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 1214.0, ""geom_ST_Area_2975"": 1214.42, ""parcels.surface_m2"": 1214.42, ""mvt"": 1214.42}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97422000DE0473,Le Tampon,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""fiche.pot_transfo"": 1209, ""mvt"": 1209, ""renouv"": 1209, ""residuel(canon)"": 1209}",OK,canon=parcel_residuel cause NULL,
97401000AI0961,Les Avirons,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Faible"", ""v2/score(court)"": ""Faible"", ""mvt(court)"": ""Faible""}",OK,exp_court=Faible raw=declasse_bati_sature,etage0=False
97401000AI0961,Les Avirons,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 926.0, ""geom_ST_Area_2975"": 926.31, ""parcels.surface_m2"": 926.31, ""mvt"": 926.31}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97401000AI0961,Les Avirons,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""fiche.pot_transfo"": 0, ""mvt"": 0, ""residuel(canon)"": 0}",OK,canon=parcel_residuel cause NULL,
97417000AT0971,Saint-Philippe,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Faible"", ""v2/score(court)"": ""Faible"", ""mvt(court)"": ""Faible""}",OK,exp_court=Faible raw=declasse_bati_sature,etage0=False
97417000AT0971,Saint-Philippe,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 769.0, ""geom_ST_Area_2975"": 769.19, ""parcels.surface_m2"": 769.19, ""mvt"": 769.19}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97417000AT0971,Saint-Philippe,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,{},OK,canon=parcel_residuel cause NULL,
97406000AM0935,La Plaine-des-Palmistes,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Priorité"", ""v2/score(court)"": ""Priorité"", ""mvt(court)"": ""Priorité""}",OK,exp_court=Priorité raw=brulante,etage0=False
97406000AM0935,La Plaine-des-Palmistes,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 1024.0, ""geom_ST_Area_2975"": 1023.91, ""parcels.surface_m2"": 1023.91, ""mvt"": 1023.91}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97406000AM0935,La Plaine-des-Palmistes,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""fiche.pot_transfo"": 184, ""mvt"": 184, ""residuel(canon)"": 184}",OK,canon=parcel_residuel cause NULL,
97420000BE0138,Sainte-Suzanne,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Faible"", ""v2/score(court)"": ""Faible"", ""mvt(court)"": ""Faible""}",OK,exp_court=Faible raw=declasse_bati_sature,etage0=False
97420000BE0138,Sainte-Suzanne,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 58.0, ""geom_ST_Area_2975"": 58.5, ""parcels.surface_m2"": 58.5, ""mvt"": 58.5}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97420000BE0138,Sainte-Suzanne,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""mvt"": 0}",OK,canon=parcel_residuel cause NULL,
97410000BT0102,Saint-Benoît,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Écartée"", ""v2/score(court)"": ""Écartée"", ""mvt(court)"": ""Écartée""}",OK,exp_court=Écartée raw=ecartee,etage0=False
97410000BT0102,Saint-Benoît,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 2923.0, ""geom_ST_Area_2975"": 2923.31, ""parcels.surface_m2"": 2923.31, ""mvt"": 2923.31}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97410000BT0102,Saint-Benoît,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""mvt"": 0}",OK,canon=parcel_residuel cause NULL,
97417000AK0021,Saint-Philippe,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Écartée"", ""v2/score(court)"": ""Écartée"", ""mvt(court)"": ""Écartée""}",OK,exp_court=Écartée raw=ecartee,etage0=False
97417000AK0021,Saint-Philippe,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 38.0, ""geom_ST_Area_2975"": 38.21, ""parcels.surface_m2"": 38.21, ""mvt"": 38.21}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97417000AK0021,Saint-Philippe,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,{},OK,canon=parcel_residuel cause NULL,
97420000AW0067,Sainte-Suzanne,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Écartée"", ""v2/score(court)"": ""Écartée"", ""mvt(court)"": ""Écartée""}",OK,exp_court=Écartée raw=ecartee,etage0=False
97420000AW0067,Sainte-Suzanne,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 37.0, ""geom_ST_Area_2975"": 36.94, ""parcels.surface_m2"": 36.94, ""mvt"": 36.94}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97420000AW0067,Sainte-Suzanne,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""mvt"": 0}",OK,canon=parcel_residuel cause NULL,
97408000AI0044,La Possession,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Écartée"", ""v2/score(court)"": ""Écartée"", ""mvt(court)"": ""Écartée""}",OK,exp_court=Écartée raw=ecartee,etage0=False
97408000AI0044,La Possession,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 3757.0, ""geom_ST_Area_2975"": 3756.57, ""parcels.surface_m2"": 3756.57, ""mvt"": 3756.57}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97408000AI0044,La Possession,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""mvt"": 0}",OK,canon=parcel_residuel cause NULL,
97421000BM0509,Salazie,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Écartée"", ""v2/score(court)"": ""Écartée"", ""mvt(court)"": ""Écartée""}",OK,exp_court=Écartée raw=ecartee,etage0=False
97421000BM0509,Salazie,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 3146.0, ""geom_ST_Area_2975"": 3146.34, ""parcels.surface_m2"": 3146.34, ""mvt"": 3146.34}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97421000BM0509,Salazie,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""mvt"": 0}",OK,canon=parcel_residuel cause NULL,
97407000AI0993,Le Port,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Faible"", ""v2/score(court)"": ""Faible"", ""mvt(court)"": ""Faible""}",OK,exp_court=Faible raw=declasse_bati_sature,etage0=False
97407000AI0993,Le Port,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 348.0, ""geom_ST_Area_2975"": 347.64, ""parcels.surface_m2"": 347.64, ""mvt"": 347.64}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97407000AI0993,Le Port,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""fiche.pot_transfo"": 0, ""mvt"": 0, ""residuel(canon)"": 0}",OK,canon=parcel_residuel cause NULL,
97418000AO0967,Sainte-Marie,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Écartée"", ""v2/score(court)"": ""Écartée"", ""mvt(court)"": ""Écartée""}",OK,exp_court=Écartée raw=ecartee,etage0=False
97418000AO0967,Sainte-Marie,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 1690.0, ""geom_ST_Area_2975"": 1689.86, ""parcels.surface_m2"": 1689.86, ""mvt"": 1689.86}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97418000AO0967,Sainte-Marie,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""mvt"": 0}",OK,canon=parcel_residuel cause NULL,
97405000AS0494,Petite-Île,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Faible"", ""v2/score(court)"": ""Faible"", ""mvt(court)"": ""Faible""}",OK,exp_court=Faible raw=declasse_bati_sature,etage0=False
97405000AS0494,Petite-Île,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 477.0, ""geom_ST_Area_2975"": 476.71, ""parcels.surface_m2"": 476.71, ""mvt"": 476.71}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97405000AS0494,Petite-Île,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""fiche.pot_transfo"": 0, ""mvt"": 0, ""residuel(canon)"": 0}",OK,canon=parcel_residuel cause NULL,
97417000AO0557,Saint-Philippe,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Neutre"", ""v2/score(court)"": ""Neutre"", ""mvt(court)"": ""Neutre""}",OK,exp_court=Neutre raw=a_creuser,etage0=False
97417000AO0557,Saint-Philippe,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 873.0, ""geom_ST_Area_2975"": 873.39, ""parcels.surface_m2"": 873.39, ""mvt"": 873.39}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97417000AO0557,Saint-Philippe,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,{},OK,canon=parcel_residuel cause NULL,
97407000BD0182,Le Port,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Faible"", ""v2/score(court)"": ""Faible"", ""mvt(court)"": ""Faible""}",OK,exp_court=Faible raw=declasse_bati_sature,etage0=False
97407000BD0182,Le Port,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 149.0, ""geom_ST_Area_2975"": 148.74, ""parcels.surface_m2"": 148.74, ""mvt"": 148.74}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97407000BD0182,Le Port,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""mvt"": 0}",OK,canon=parcel_residuel cause NULL,
97403000AL0345,Entre-Deux,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Écartée"", ""v2/score(court)"": ""Écartée"", ""mvt(court)"": ""Écartée""}",OK,exp_court=Écartée raw=ecartee,etage0=False
97403000AL0345,Entre-Deux,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 932.0, ""geom_ST_Area_2975"": 932.32, ""parcels.surface_m2"": 932.32, ""mvt"": 932.32}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97403000AL0345,Entre-Deux,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""mvt"": 0}",OK,canon=parcel_residuel cause NULL,
97413000CY1554,Saint-Leu,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""À suivre"", ""v2/score(court)"": ""À suivre"", ""mvt(court)"": ""À suivre""}",OK,exp_court=À suivre raw=chaude,etage0=False
97413000CY1554,Saint-Leu,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 119.0, ""geom_ST_Area_2975"": 119.15, ""parcels.surface_m2"": 119.15, ""mvt"": 119.15}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97413000CY1554,Saint-Leu,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""fiche.pot_transfo"": 17, ""mvt"": 17, ""residuel(canon)"": 17}",OK,canon=parcel_residuel cause NULL,
97416000DX0148,Saint-Pierre,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Faible"", ""v2/score(court)"": ""Faible"", ""mvt(court)"": ""Faible""}",OK,exp_court=Faible raw=declasse_bati_sature,etage0=False
97416000DX0148,Saint-Pierre,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 659.0, ""geom_ST_Area_2975"": 659.31, ""parcels.surface_m2"": 659.31, ""mvt"": 659.31}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97416000DX0148,Saint-Pierre,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""fiche.pot_transfo"": 0, ""mvt"": 0, ""residuel(canon)"": 0}",OK,canon=parcel_residuel cause NULL,
97411000DX0035,Saint-Denis,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Neutre"", ""v2/score(court)"": ""Neutre"", ""mvt(court)"": ""Neutre""}",OK,exp_court=Neutre raw=a_creuser,etage0=False
97411000DX0035,Saint-Denis,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 2072.0, ""geom_ST_Area_2975"": 2072.18, ""parcels.surface_m2"": 2072.18, ""mvt"": 2072.18}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97411000DX0035,Saint-Denis,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""fiche.pot_transfo"": 59, ""mvt"": 59, ""residuel(canon)"": 59}",OK,canon=parcel_residuel cause NULL,
97411000IH0339,Saint-Denis,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Faible"", ""v2/score(court)"": ""Faible"", ""mvt(court)"": ""Faible""}",OK,exp_court=Faible raw=declasse_bati_sature,etage0=False
97411000IH0339,Saint-Denis,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 463.0, ""geom_ST_Area_2975"": 462.93, ""parcels.surface_m2"": 462.93, ""mvt"": 462.93}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97411000IH0339,Saint-Denis,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""fiche.pot_transfo"": 0, ""mvt"": 0, ""residuel(canon)"": 0}",OK,canon=parcel_residuel cause NULL,
97404000AP0064,L'Étang-Salé,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Neutre"", ""v2/score(court)"": ""Neutre"", ""mvt(court)"": ""Neutre""}",OK,exp_court=Neutre raw=a_creuser,etage0=False
97404000AP0064,L'Étang-Salé,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 669.0, ""geom_ST_Area_2975"": 668.78, ""parcels.surface_m2"": 668.78, ""mvt"": 668.78}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97404000AP0064,L'Étang-Salé,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""fiche.pot_transfo"": 121, ""mvt"": 121, ""renouv"": 121, ""residuel(canon)"": 121}",OK,canon=parcel_residuel cause NULL,
97420000AE0307,Sainte-Suzanne,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Écartée"", ""v2/score(court)"": ""Écartée"", ""mvt(court)"": ""Écartée""}",OK,exp_court=Écartée raw=ecartee,etage0=False
97420000AE0307,Sainte-Suzanne,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 139.0, ""geom_ST_Area_2975"": 138.61, ""parcels.surface_m2"": 138.61, ""mvt"": 138.61}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
