idu,commune,grandeur,chemins_compares,valeurs,egalite,verdict,note
97421000BK0004,Salazie,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 127001.0, ""geom_ST_Area_2975"": 127001.46, ""parcels.surface_m2"": 127001.46, ""mvt"": 127001.46}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97421000BK0004,Salazie,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""mvt"": 0}",OK,canon=parcel_residuel cause NULL,
97406000AV1046,La Plaine-des-Palmistes,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Faible"", ""v2/score(court)"": ""Faible"", ""mvt(court)"": ""Faible""}",OK,exp_court=Faible raw=declasse_bati_sature,etage0=False
97406000AV1046,La Plaine-des-Palmistes,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 775.0, ""geom_ST_Area_2975"": 774.92, ""parcels.surface_m2"": 774.92, ""mvt"": 774.92}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97406000AV1046,La Plaine-des-Palmistes,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""fiche.pot_transfo"": 0, ""mvt"": 0, ""residuel(canon)"": 0}",OK,canon=parcel_residuel cause NULL,
97418000AR1718,Sainte-Marie,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Neutre"", ""v2/score(court)"": ""Neutre"", ""mvt(court)"": ""Neutre""}",OK,exp_court=Neutre raw=a_creuser,etage0=False
97418000AR1718,Sainte-Marie,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 485.0, ""geom_ST_Area_2975"": 485.34, ""parcels.surface_m2"": 485.34, ""mvt"": 485.34}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97418000AR1718,Sainte-Marie,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""fiche.pot_transfo"": 297, ""mvt"": 297, ""renouv"": 297, ""residuel(canon)"": 297}",OK,canon=parcel_residuel cause NULL,
97415000HP0192,Saint-Paul,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Long terme"", ""v2/score(court)"": ""Long terme"", ""mvt(court)"": ""Long terme""}",OK,exp_court=Long terme raw=reserve_fonciere,etage0=False
97415000HP0192,Saint-Paul,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 3759.0, ""geom_ST_Area_2975"": 3758.93, ""parcels.surface_m2"": 3758.93, ""mvt"": 3758.93}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
