hash,categorie,ecran_blanc,console_err,etat_restaure,verdict,note
#m=xxx,corrompu,non,,partiel,KO,"invalid module key: no panel + no LeftPanel (empty left col, zombie); (partiel toléré?); mod-invalid-empty-leftcol"
#m=SCOREUR-ADRESSE,corrompu,non,,partiel,KO,"invalid module key: no panel + no LeftPanel (empty left col, zombie); (partiel toléré?); mod-invalid-empty-leftcol"
#idu=ZZZ,corrompu,non,,ok,OK,idu-invalid-ignored-clean
#idu=97410,corrompu,non,,ok,OK,idu-invalid-ignored-clean
#f=1&m=risques&idu=DROP TABLE parcels,corrompu,non,,ok,OK,"mod-ok,idu-invalid-ignored-clean"
#f=1&cs=%3Cscript%3Ealert(1)%3C%2Fscript%3E,corrompu,non,,ok,OK,
#m=,corrompu,non,,ok,OK,
#idu=,corrompu,non,,ok,OK,
#f=1&smin=abc,corrompu,non,,ok,OK,
"#f=1&tv=zzz,chaude,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",corrompu,non,,ok,OK,429-visible;
#m=risques#m=comparer,corrompu,non,,partiel,KO,double clé m dans hash: URLSearchParams garde m=risques#m=comparer (clé invalide) → ModulePanel null + LeftPanel supprimé = colonne gauche vide sans message
##m=plu,corrompu,non,,ok,OK,"double-# non parsé → module null, LeftPanel rendu, hash nettoyé (récupération propre)"
#f=1&m=communes&m=temps,corrompu,non,,ok,OK,mod-ok
#f=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&a=1&m=plu,corrompu,non,,ok,OK,mod-ok
#m=xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,corrompu,non,,partiel,KO,"invalid module key: no panel + no LeftPanel (empty left col, zombie); (partiel toléré?); mod-invalid-empty-leftcol"
#f=1&idu=97410000AD0807ExtraLongTail99999,corrompu,non,,ok,OK,idu-invalid-ignored-clean
#f=1&cs=Saint'%3B%20DROP,corrompu,non,,ok,OK,
#f=1&smin=-999&smax=NaN,corrompu,non,,ok,OK,
#f=1&z=1_2~3_4,corrompu,non,,ok,OK,
#%6D=risques,corrompu,non,,ok,OK,mod-ok
