idu,commune,strate,v_surface,v_zone,v_tier,v_sdp,v_verdict,v_millesime,passe
97401000AD1036,Les Avirons,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97401000AK0117,Les Avirons,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97401000AN0289,Les Avirons,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97401000AN0579,Les Avirons,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97401000AN1039,Les Avirons,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97401000AO0610,Les Avirons,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97401000AR1258,Les Avirons,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97401000AR1644,Les Avirons,extreme_min,ERR,ERR,ERR,ERR,ERR,ERR,KO
97423000AB0704,Les Trois-Bassins,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97423000AB1775,Les Trois-Bassins,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97423000AD0131,Les Trois-Bassins,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97423000AH0171,Les Trois-Bassins,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97423000AH0764,Les Trois-Bassins,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97423000AH1758,Les Trois-Bassins,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97423000AL0192,Les Trois-Bassins,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97423000AL0373,Les Trois-Bassins,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97405000AB0064,Petite-Île,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97405000AC0103,Petite-Île,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97405000AI0011,Petite-Île,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97405000AL1564,Petite-Île,multipoly,ERR,ERR,ERR,ERR,ERR,ERR,KO
97405000AS0159,Petite-Île,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97405000AT0002,Petite-Île,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97405000BC0098,Petite-Île,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97405000BH0786,Petite-Île,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97405000BI0492,Petite-Île,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97409000AB0277,Saint-André,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97409000AD0591,Saint-André,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97409000AE0008,Saint-André,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97409000AK0766,Saint-André,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97409000AW0769,Saint-André,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97409000AX1065,Saint-André,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97409000BD0091,Saint-André,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97409000BM1229,Saint-André,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97410000AD0067,Saint-Benoît,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97410000AD0684,Saint-Benoît,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97410000AM0032,Saint-Benoît,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97410000AR0621,Saint-Benoît,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97410000BE0800,Saint-Benoît,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97410000BK0306,Saint-Benoît,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97410000CH0021,Saint-Benoît,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97410000CL0311,Saint-Benoît,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97411000AR0156,Saint-Denis,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97411000CM0718,Saint-Denis,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97411000CY0470,Saint-Denis,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97411000DR0779,Saint-Denis,sliver,ERR,ERR,ERR,ERR,ERR,ERR,KO
97411000EL0148,Saint-Denis,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97411000HY0012,Saint-Denis,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97411000IE0589,Saint-Denis,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97411000IH0037,Saint-Denis,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97411000KC0423,Saint-Denis,sliver,ERR,ERR,ERR,ERR,ERR,ERR,KO
97412000AM0546,Saint-Joseph,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97412000AM0568,Saint-Joseph,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97412000AV0416,Saint-Joseph,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97412000BC0016,Saint-Joseph,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97412000BR0834,Saint-Joseph,multipoly,ERR,ERR,ERR,ERR,ERR,ERR,KO
97412000BX1266,Saint-Joseph,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97412000CD1281,Saint-Joseph,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97412000CS0564,Saint-Joseph,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97412000CX0899,Saint-Joseph,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97413000AC0697,Saint-Leu,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97413000BH0450,Saint-Leu,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97413000CJ0134,Saint-Leu,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97413000CO0740,Saint-Leu,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97413000CS0605,Saint-Leu,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97413000DC1786,Saint-Leu,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97413000DE2462,Saint-Leu,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97413000DM0234,Saint-Leu,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97414000DH0022,Saint-Louis,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97414000DI0116,Saint-Louis,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97414000DR0338,Saint-Louis,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97414000EK0324,Saint-Louis,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97414000EK0473,Saint-Louis,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97414000EL1781,Saint-Louis,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97414000EO0651,Saint-Louis,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97414000HI0416,Saint-Louis,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97415000BZ0273,Saint-Paul,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97415000CN0350,Saint-Paul,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97415000CT3260,Saint-Paul,multipoly,ERR,ERR,ERR,ERR,ERR,ERR,KO
97415000CW0914,Saint-Paul,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97415000CZ1340,Saint-Paul,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97415000DP0012,Saint-Paul,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97415000EH0560,Saint-Paul,multipoly,ERR,ERR,ERR,ERR,ERR,ERR,KO
97415000EY1809,Saint-Paul,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97415000EZ0078,Saint-Paul,tier_a_creuser,ERR,ERR,ERR,ERR,ERR,ERR,KO
97415000HI0189,Saint-Paul,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97417000AN0291,Saint-Philippe,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97417000AP0044,Saint-Philippe,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97417000AS0340,Saint-Philippe,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97417000AT0406,Saint-Philippe,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97417000AY0124,Saint-Philippe,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97417000BC0832,Saint-Philippe,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97417000BD0010,Saint-Philippe,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97417000BH0313,Saint-Philippe,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97417000BN0004,Saint-Philippe,extreme_max,ERR,ERR,ERR,ERR,ERR,ERR,KO
97416000CS1049,Saint-Pierre,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97416000CW2946,Saint-Pierre,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
