mesure,strate,n,mutes,taux,rr,ic_bas,ic_haut
tiers_servis,brulante,118,2,0.01694915254237288,1.118897508184557,0.28308663385157934,4.422432867240178
tiers_servis,chaude,1038,328,0.3159922928709056,20.860216356828076,19.013276655183866,22.886566810410173
tiers_servis,reserve_fonciere,2956,9,0.003044654939106901,0.2009927526542624,0.10463561553175918,0.3860835186397485
tiers_servis,a_creuser,29853,637,0.021337888989381302,1.4086197383881085,1.2996290349337045,1.5267507219687502
strate_fold,top-118 (brûlante-équiv),118,24,0.2033898305084746,13.426770098214682,9.387211762494744,19.204654143479257
strate_fold,119-1156 (chaude-équiv),1038,92,0.08863198458574181,5.851036295207876,4.806894667419567,7.1219837538519855
strate_fold,1157-31134 (à-creuser-équiv),29978,944,0.031489759156714925,2.0787949701730297,1.943564067869689,2.2234350796335187
strate_fold,reste,397105,5427,0.013666410647058083,0.902187456310391,0.8704630838060664,0.9350680361594228
