univers,k,n_univers,mutes_top,taux_top,taux_base,rr,ic_bas,ic_haut
ÎLE (contrôle),1158,,116,0.1001727115716753,0.015148083196532778,6.6128968445726315,5.555089492894416,7.872133245178999
SANS permis,1063,392970.0,71,0.06679209783631232,0.014858640608697866,4.495168810881255,3.5853599668410867,5.635847676439236
AVEC permis,95,35269.0,22,0.23157894736842105,0.018373075505401345,12.60425601039636,8.670002841285674,18.32378518021966
