variante,rr,lo,hi,d,d_lo,d_hi,sig
BASE,6.72691230741009,5.525390342613976,7.841291486356931,0.0,0.0,0.0,False
+VENTES,6.270850456060254,5.3785593312517275,7.527602096405257,-0.456061851349836,-1.0489397198503452,0.6321696096327992,False
+PERMIS,6.840927770247549,5.615547107996634,7.942241023984233,0.11401546283745922,-0.8005085592033118,0.962322348514147,False
+MITOYEN,6.840927770247549,5.669563135875958,7.928579836180944,0.11401546283745922,-0.7344827821376866,0.9132781810790633,False
+ECART,6.555889113153902,5.443625840300822,7.692017632320756,-0.17102319425618795,-0.9515547612235052,0.7315019630077196,False
+V50,6.213842724641524,5.0798134218046735,7.27510580585044,-0.5130695827685656,-1.3364322198481586,0.3955359739168888,False
+V100,6.498881381735172,5.3560195538595,7.588229087153685,-0.22803092567491756,-1.0577948185753197,0.6173986630435456,False
+V200,6.441873650316443,5.3617115290192565,7.562325064315328,-0.2850386570936472,-1.0282673620945888,0.5134693095666338,False
FULL,7.182974158759927,5.993836474188597,8.192531859965088,0.4560618513498369,-0.5198514028006243,1.438319361573127,False
