commune,n,k_c,rr_full,rr_champ,d,d_lo,d_hi,sig
97420,12490,34,32.50910983862572,19.505465903175434,13.003643935450285,-3.18129299320928,18.129144905811696,False
97421,7034,19,12.138050043140638,6.069025021570319,6.069025021570319,0.0,22.044816367842653,False
97408,13148,36,7.608796296296296,3.804398148148148,3.804398148148148,0.0,7.082655115442812,False
97406,6446,17,11.043974871502,7.362649914334666,3.681324957167334,-4.077166350411132,11.791239956033959,False
97413,22763,62,8.538259564891224,4.879005465652127,3.6592540992390967,-1.2860890955394353,8.4262823902697,False
97418,16646,45,10.088484848484848,6.725656565656566,3.362828282828282,0.0,11.607461488036703,False
97409,22513,61,10.962343775361141,8.526267380836444,2.4360763945246973,-1.1460081744878896,8.299315490975324,False
97414,29141,79,4.565265070810879,3.652212056648703,0.913053014162176,-1.8271891598411518,5.419037213839621,False
97411,36981,100,4.387576271186441,3.760779661016949,0.6267966101694915,-2.6574658444359196,3.1054485495660114,False
97423,5301,14,0.0,0.0,0.0,-5.048571428571428,0.0,False
97419,6284,17,14.495963091118801,14.495963091118801,0.0,0.0,0.0,False
97417,4155,11,11.991341991341992,11.991341991341992,0.0,-22.393357410806928,11.917623505526716,False
97424,6555,18,0.0,0.0,0.0,0.0,7.591580756013742,False
97402,6016,16,0.0,0.0,0.0,-5.742983682983683,15.20114285714285,False
97412,28875,78,2.473445262977557,2.473445262977557,0.0,-3.1815750508352307,4.029975868630913,False
97405,13122,35,9.81451009723261,9.81451009723261,0.0,-6.1127329192546584,4.033970199550678,False
97403,6301,17,4.575889615105301,4.575889615105301,0.0,-4.723313906867518,4.723313906867515,False
97415,50593,137,3.7768497013934974,4.616149635036496,-0.8392999336429989,-2.59379371152113,1.7080252148585218,False
97422,42523,115,2.0372739250209606,3.055910887531441,-1.0186369625104805,-2.533004425041578,0.531271864067966,False
97416,42045,114,8.118586560741477,9.278384640847401,-1.159798080105924,-3.4235973624269684,2.8444569153569463,False
97407,10114,27,14.097570688968537,16.111509358821184,-2.0139386698526476,-11.812923505717924,2.1845503347084336,False
97404,9011,24,15.324829931972788,17.878968253968253,-2.554138321995465,-8.948833637852823,2.64407276995305,False
97401,8560,23,5.725752508361204,8.588628762541806,-2.862876254180602,-6.308032424465733,0.0,False
97410,21622,58,10.517673764998378,14.023565019997838,-3.50589125499946,-9.576667934197385,0.0,False
