variante,rr,lo,hi,d_vs_base,d_lo,d_hi
BASE,6.72691230741009,5.525390342613976,7.841291486356931,0.0,0.0,0.0
B2,7.0689586959224675,5.7530631422223015,8.03579223217891,0.3420463885123777,-0.5622827780606062,1.0243393739611872
PM,6.669904575991361,5.5683526291620975,7.888992007273373,-0.057007731418728724,-0.9114469461937217,1.06713517145198
FULL,6.72691230741009,5.527622218382672,7.8722267672237844,0.0,-0.9833006002586987,0.9608600592322645
