fold,n_train,rr,lo,hi,ece,pos_topk
2020,863326,8.978838601200467,7.46585811265987,10.088219408936736,0.0014958266819278746,166
2021,1294989,8.51698161191966,7.435512752989495,9.594267363228766,0.003048207337100624,188
2022,1726652,8.086469400767223,6.907558711919293,9.168203188528265,0.0032697543400423672,179
2023,2158315,7.145325599965045,6.124789615274737,8.284627230762649,0.003315264592323188,139
2024,2589978,7.075728589391074,5.94224930106539,8.33363031129495,0.0027133192720758107,121
2025,3021641,6.72691230741009,5.527622218382672,7.8722267672237844,0.0011984320520140887,118
