idu,mouvement,v_v12,v_v13,motif
97415000CS0523,sortie,34,9,"V passe de 34 à 9 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97415000CT0667,sortie,37,12,"V passe de 37 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97415000CZ1065,sortie,34,12,"V passe de 34 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97415000EW0405,sortie,34,12,"V passe de 34 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97416000DO0032,sortie,34,12,"V passe de 34 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97416000ER0600,sortie,34,12,"V passe de 34 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97416000ES0874,sortie,34,12,"V passe de 34 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97416000HV0056,sortie,34,12,"V passe de 34 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97418000AW0226,sortie,34,12,"V passe de 34 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97418000BI0226,sortie,34,12,"V passe de 34 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97418000BL0026,sortie,35,5,"V passe de 35 à 5 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97420000AH0089,sortie,34,12,"V passe de 34 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97422000BE1000,sortie,34,12,"V passe de 34 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97422000BK1138,sortie,34,12,"V passe de 34 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97422000CX0121,sortie,34,12,"V passe de 34 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97422000CX0125,sortie,34,12,"V passe de 34 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97423000AB0138,sortie,34,12,"V passe de 34 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97423000AB1347,sortie,37,12,"V passe de 37 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97404000AW0166,entrée,17,17,"V v1.3 17 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97407000AH0577,entrée,25,25,"V v1.3 25 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97407000AS0156,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97407000AX0191,entrée,17,17,"V v1.3 17 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97407000AX0192,entrée,17,17,"V v1.3 17 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97408000AP1203,entrée,23,23,"V v1.3 23 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97408000AP1327,entrée,23,23,"V v1.3 23 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97410000BE0309,entrée,17,17,"V v1.3 17 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97412000BK1700,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97413000BM0568,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97413000CH0229,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97413000CW0238,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97413000CX0109,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97413000CX2201,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97413000CY0489,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97413000CY0761,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97413000CY1358,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97413000DA0412,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97413000DA0494,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97413000DB0435,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97413000DL0261,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97413000DM0122,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97413000DM0175,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97413000DM0204,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97413000DM0228,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97413000DM0374,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97414000DM0041,entrée,25,25,"V v1.3 25 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97415000AB0739,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97415000AB0740,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97415000AB0741,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97415000AB0742,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97415000AB0743,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97415000AX0988,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97415000AX1105,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97415000AY1294,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97415000AY1424,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
