idu,commune,siren,dirigeant_age,sci_dormante,horizon
97402000AH0815,Bras-Panon,882649494,70,False,3-7 ans
97402000AH0816,Bras-Panon,882649494,70,False,3-7 ans
97402000AH0836,Bras-Panon,503039299,70,False,3-7 ans
97402000AH0837,Bras-Panon,503039299,70,False,3-7 ans
97402000AH0858,Bras-Panon,381526771,83,False,3-7 ans
97402000AH0859,Bras-Panon,381526771,83,False,3-7 ans
97402000AH0869,Bras-Panon,326607280,71,False,3-7 ans
97402000AH0870,Bras-Panon,326607280,71,False,3-7 ans
97402000AH0871,Bras-Panon,326607280,71,False,3-7 ans
97402000AH0987,Bras-Panon,326607280,71,False,3-7 ans
97402000AH0988,Bras-Panon,326607280,71,False,3-7 ans
97402000AH1007,Bras-Panon,434081543,73,False,3-7 ans
97402000AH1008,Bras-Panon,434081543,73,False,3-7 ans
97402000AH1009,Bras-Panon,434081543,73,False,3-7 ans
97402000AH1010,Bras-Panon,434081543,73,False,3-7 ans
97402000AH1013,Bras-Panon,434081543,73,False,3-7 ans
97402000AH1137,Bras-Panon,434081543,73,False,3-7 ans
97402000AH1139,Bras-Panon,434081543,73,False,3-7 ans
97402000AH1169,Bras-Panon,421929175,70,False,3-7 ans
97402000AH1289,Bras-Panon,326607280,71,False,3-7 ans
97402000AH1457,Bras-Panon,881181044,73,False,3-7 ans
97402000AH1538,Bras-Panon,539614628,70,False,3-7 ans
97402000AH1727,Bras-Panon,807846373,83,False,3-7 ans
97402000AH1754,Bras-Panon,789683018,72,False,3-7 ans
97402000AH1953,Bras-Panon,807846373,83,False,3-7 ans
97402000AH1970,Bras-Panon,807846373,83,False,3-7 ans
97402000AI0225,Bras-Panon,433950672,75,False,3-7 ans
97402000AI0649,Bras-Panon,434762829,70,False,3-7 ans
97402000AI0690,Bras-Panon,431802628,72,False,3-7 ans
97402000AI0691,Bras-Panon,431802628,72,False,3-7 ans
97402000AI0692,Bras-Panon,431802628,72,False,3-7 ans
97402000AI0693,Bras-Panon,431802628,72,False,3-7 ans
97402000AI0694,Bras-Panon,431802628,72,False,3-7 ans
97402000AI0725,Bras-Panon,431802628,72,False,3-7 ans
97402000AI0741,Bras-Panon,431802628,72,False,3-7 ans
97402000AI0993,Bras-Panon,384626040,77,False,3-7 ans
97402000AI1111,Bras-Panon,384535753,79,False,3-7 ans
